;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;1763;105;108;88;85;403;9,37;15,32;26,4;25,86;31,51;37,41;47,92;00:16:47;1,77;1,46;5;4,78;22,61;6,05;8,91;4,4;23,62;23,22;0,6;23,22;153,47;37,08;26,79;9,45;00:00:17;37,41;00:00:11;00:00:03;00:01:43;00:00:10;00:00:11;00:00:10;00:00:36;00:00:34;
BIANCU;1901;113;139;104;90;432;10,09;15,18;33,55;26,44;27,27;33,85;61,6;00:16:47;1,43;1,39;5,45;4,74;22,73;7,31;1;3;19;22;0;22;142,3;38,63;27,21;10,17;00:00:21;33,85;00:00:09;00:00:04;00:01:51;00:00:12;00:00:09;00:00:10;00:00:38;00:00:35;
BRIGNANI;1619;96;62;87;80;343;8,68;16,34;3,08;25,97;29,17;41,78;37,73;00:16:47;1,8;1,6;5,34;4,94;21,16;3,82;13;5;29;26;0;26;105,07;36,49;24,37;8,75;00:00:09;41,78;00:00:11;00:00:00;00:01:35;00:00:08;00:00:11;00:00:11;00:00:37;00:00:35;
CHIERICO;1976;118;73;101;111;506;10,61;16,55;0;27,61;42,28;28,95;46,52;00:16:47;2,14;1,4;5,12;5,63;25,58;3,69;11;4;23;26;0;26;239,9;40,65;22,87;10,7;00:00:12;28,95;00:00:14;00:00:00;00:02:11;00:00:11;00:00:14;00:00:10;00:00:38;00:00:42;
EMERSON;1511;90;35;68;56;250;7,85;12,81;0;17,93;16,62;45,15;21,02;00:16:47;1,1;1,19;4,47;3,71;16,54;2,3;5;4;20;15;0;15;95,05;28,68;23,16;7,92;00:00:05;45,15;00:00:07;00:00:00;00:01:10;00:00:05;00:00:07;00:00:08;00:00:35;00:00:29;
LELLA ;1928;115;144;109;110;570;10,62;19,55;47,27;42;50,15;35,73;67,38;00:16:47;2,6;2,18;5,63;5,69;29,56;7,48;15;9;34;40;1;40;247,96;46,14;30,04;10,71;00:00:22;35,73;00:00:17;00:00:05;00:02:20;00:00:15;00:00:17;00:00:16;00:00:42;00:00:41;
PALESI;1741;105;132;68;62;394;9,08;12,09;45,27;13,05;26,6;36,36;38,18;00:16:37;1,53;0,75;3,88;3,54;22,62;7,57;9;2;20;20;1;20;133,18;34,85;29,94;9,06;00:00:20;36,36;00:00:09;00:00:05;00:01:36;00:00:07;00:00:09;00:00:06;00:00:29;00:00:26;
PISANO;1654;98;52;81;76;308;8,76;14,9;3,93;23,79;34,89;41,27;43,39;00:16:47;2,11;1,44;4,88;4,61;18,6;3,15;13;5;23;20;0;20;106,17;32,11;24,51;8,82;00:00:08;41,27;00:00:13;00:00:00;00:01:23;00:00:09;00:00:13;00:00:08;00:00:33;00:00:34;
RAGATZU;1800;107;153;78;67;401;9,25;11,6;45,91;20,14;22,56;33,62;45,34;00:16:47;1,25;1,12;4,34;3,72;22,26;8,49;7;3;19;19;1;19;191,08;35,19;29,97;9,33;00:00:24;33,62;00:00:08;00:00:05;00:01:34;00:00:09;00:00:08;00:00:08;00:00:30;00:00:27;
TRAVAGLINI;1707;102;98;96;107;389;9,35;18,82;11,18;34,19;34,78;40,63;47,13;00:16:47;2,04;2;5,63;6,26;22,8;5,77;10;5;22;25;0;25;137,53;38,91;26;9,42;00:00:16;40,63;00:00:13;00:00:01;00:01:44;00:00:11;00:00:13;00:00:13;00:00:40;00:00:43;
UDHO;1778;106;194;93;88;431;9,45;15,28;73,53;27,23;30,41;36,75;70,43;00:16:47;1,71;1,53;5,24;4,95;24,25;10,89;5;4;27;19;3;19;134,93;39,15;29,88;9,52;00:00:29;36,75;00:00:09;00:00:09;00:01:42;00:00:13;00:00:09;00:00:10;00:00:35;00:00:31;
