;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;752;43;8;73;67;160;4,29;28,84;0;30,79;31,03;75,63;24,69;00:17:28;4,12;4,09;9,74;8,94;21,32;1,12;10;6,87;32,27;27,6;0;27,6;36,23;41,99;20,6;4,5;00:00:01;75,63;00:00:12;00:00:00;00:00:50;00:00:06;00:00:12;00:00:13;00:00:32;00:00:29;
BIANCU;796;45;7;63;63;159;4,35;23,74;0;21,86;27,91;74,91;17,47;00:17:31;3,51;2,75;7,89;7,89;19,93;0,83;8;4;28;32;0;32;32;38,5;20,88;4,57;00:00:01;74,91;00:00:11;00:00:00;00:00:50;00:00:04;00:00:11;00:00:10;00:00:29;00:00:28;
BOCCIA;801;48;21;86;78;198;4,96;34,99;0;44,8;42,96;73,79;46,55;00:16:51;5,37;5,59;10,72;9,8;24,73;2,61;13;15;35;29;0;29;59,16;47,17;21,46;5,02;00:00:03;73,79;00:00:15;00:00:00;00:00:57;00:00:12;00:00:15;00:00:17;00:00:33;00:00:32;
BRIGNANI;770;42;11;73;63;174;4,22;28,35;0;31,09;32,98;74,37;24,29;00:18:07;4,28;4,04;9,45;8,22;22,54;1,45;12;7;33;24;0;24;34,55;43,61;21,08;4,59;00:00:01;74,37;00:00:13;00:00:00;00:00:54;00:00:06;00:00:13;00:00:13;00:00:31;00:00:27;
CHIERICO;799;44;7;61;60;146;4,17;21,72;0;23,57;21,13;74,2;12,58;00:18:03;2,65;2,95;7,66;7,54;18,28;0,92;7;3;28;29;0;29;27,72;36,06;20,13;4,52;00:00:01;74,2;00:00:10;00:00:00;00:00:47;00:00:03;00:00:10;00:00:11;00:00:29;00:00:28;
DEMARCUS ;597;36;11;75;65;153;3,82;35,64;0;30,51;28;80,97;25,82;00:16:23;4,69;5,11;12,62;10,82;25,61;1,92;12;6;37;28;0;28;37,53;49,66;20,52;3,76;00:00:02;80,97;00:00:12;00:00:00;00:00:48;00:00:06;00:00:12;00:00:12;00:00:32;00:00:27;
EMERSON;751;45;15;78;76;174;4,54;31,23;0;33,51;34,85;75,4;29,87;00:16:48;4,64;4,46;10,42;10,17;23,19;1,94;9;9;35;28;0;28;54,66;44,06;21,11;4,58;00:00:02;75,4;00:00:14;00:00:00;00:00:52;00:00:08;00:00:14;00:00:14;00:00:34;00:00:33;
LA ROSA ;676;38;1;64;51;148;3,7;25,15;0;20,5;22,34;76,94;13,8;00:17:42;3,3;3,03;9,48;7,58;21,93;0,18;7;0;30;18;0;18;28,27;42;19,9;3,93;00:00:00;76,94;00:00:09;00:00:00;00:00:47;00:00:03;00:00:09;00:00:08;00:00:27;00:00:23;
LELLA ;790;45;4;84;78;178;4,74;34,84;0;39,41;38,7;75,35;30,66;00:17:23;4,9;4,99;10,62;9,86;22,48;0,47;11;6;36;34;0;34;39,75;45,19;19,79;4,94;00:00:00;75,35;00:00:16;00:00:00;00:00:55;00:00:09;00:00:16;00:00:17;00:00:37;00:00:36;
MANCINI;779;44;11;73;63;148;4,19;24,41;0;25,84;27,98;76,17;21,89;00:17:54;3,59;3,32;9,38;8,15;19,04;1,41;13;3;36;26;0;26;40,12;37,72;21,19;4,5;00:00:01;76,17;00:00:11;00:00:00;00:00:46;00:00:05;00:00:11;00:00:11;00:00:33;00:00:27;
OCCHIONI;821;46;4;71;67;144;4,37;24;0;28,67;31,97;73,69;20,88;00:18:01;3,89;3,49;8,67;8,11;17,53;0,53;12;10;33;31;0;31;19,24;35,89;20,83;4,73;00:00:00;73,69;00:00:14;00:00:00;00:00:46;00:00:05;00:00:14;00:00:13;00:00:33;00:00:30;
PALESI;718;40;4;70;67;153;3,94;27,24;0;28,87;27,02;77,94;22,39;00:17:55;3,76;4,02;9,69;9,33;21,31;0,51;6;7;27;25;0;25;44,2;41,3;19,71;4,24;00:00:00;77,94;00:00:10;00:00:00;00:00:47;00:00:06;00:00:10;00:00:12;00:00:30;00:00:29;
PINNA S.;717;41;9;83;73;157;4,34;36;0;34,6;42,52;75,83;31,51;00:17:22;5,93;4,82;11,54;10,25;21,82;1,23;13;10;32;31;0;31;23,96;44,21;21,05;4,53;00:00:01;75,83;00:00:16;00:00:00;00:00:50;00:00:08;00:00:16;00:00:14;00:00:35;00:00:32;
RENAULT ;792;44;7;74;74;167;4,34;28,45;0;33,99;31,64;73,58;22,19;00:18:09;4;4,29;9,3;9,41;21,09;0,92;8;5;34;29;0;29;39,86;41,83;20,36;4,72;00:00:01;73,58;00:00:13;00:00:00;00:00:52;00:00:06;00:00:13;00:00:14;00:00:33;00:00:33;
TRAVAGLINI;765;44;12;73;65;153;4,43;30,51;0;36,12;31,37;74,37;30,52;00:17:26;4,1;4,72;9,52;8,49;20,05;1,52;10;8;30;25;0;25;41,67;41,8;20,69;4,64;00:00:02;74,37;00:00:12;00:00:00;00:00:47;00:00:08;00:00:12;00:00:14;00:00:31;00:00:28;
UDHO;713;43;4;69;63;149;4,28;27,79;0;28,59;24,05;77,42;19,9;00:16:29;3,37;4,01;9,61;8,78;20,87;0,49;9;10;30;25;0;25;20,75;42,13;20,37;4,23;00:00:00;77,42;00:00:10;00:00:00;00:00:47;00:00:05;00:00:10;00:00:12;00:00:31;00:00:27;
