;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;3506;91;208;168;169;833;8,05;14,45;36,51;45,59;51,36;48,79;77,8;00:38:34;1,47;1,3;4,78;4,82;23,57;5,84;11,64;7,21;44,5;47;0,57;47;308,79;38,25;27,41;18,64;00:00:33;48,79;00:00:19;00:00:04;00:03:36;00:00:17;00:00:19;00:00:18;00:01:07;00:01:07;
BIANCU;3417;88;195;155;170;750;7,88;15,1;13,31;38,93;60,53;48,96;79,4;00:38:38;1,77;1,14;4,53;4,97;21,95;5,71;13;7;35;42;0;42;272,92;36,37;25,19;18,27;00:00:32;48,96;00:00:21;00:00:01;00:03:16;00:00:17;00:00:21;00:00:15;00:00:59;00:01:02;
BOCCIA;3722;97;311;195;197;959;8,65;15,64;71,25;50,38;69,79;47,02;107,03;00:38:29;1,87;1,35;5,25;5,29;25,76;8,35;19;7;52;58;1;58;293,77;40,93;29,34;19,99;00:00:49;47,02;00:00:26;00:00:09;00:04:04;00:00:22;00:00:26;00:00:20;00:01:16;00:01:17;
BRIGNANI;3923;101;181;165;177;1028;8,82;12,42;29,84;39,84;40,88;42,59;64,08;00:38:42;1,04;1,02;4,21;4,51;26,22;4,61;12;7;43;56;0;56;426,29;40,38;27,61;20,48;00:00:29;42,59;00:00:15;00:00:04;00:04:26;00:00:13;00:00:15;00:00:17;00:01:05;00:01:08;
CHIERICO;3574;93;189;161;172;871;8,17;13,93;18,13;42,72;54,41;48,76;64,41;00:38:34;1,52;1,2;4,52;4,81;24,36;5,3;13;7;43;51;0;51;294,21;38,89;26,32;18,91;00:00:31;48,76;00:00:20;00:00:02;00:03:48;00:00:14;00:00:20;00:00:17;00:01:04;00:01:11;
EMERSON;2913;76;50;102;112;437;6,53;10,96;16,1;31,17;37,02;52,41;30,65;00:38:18;1,27;1,07;3,5;3,83;15,01;1,7;6;5;33;31;0;31;134,59;25,78;28,85;15,01;00:00:07;52,41;00:00:15;00:00:02;00:02:02;00:00:06;00:00:15;00:00:15;00:00:54;00:00:54;
LA ROSA ;3535;92;130;139;124;734;7,91;11;11,86;38,19;19,51;45,98;46,56;00:38:24;0,55;1,08;3,93;3,51;20,75;3,68;1;5;35;27;0;27;295,1;34,46;25,42;18,22;00:00:21;45,98;00:00:08;00:00:01;00:03:16;00:00:11;00:00:08;00:00:16;00:00:57;00:00:52;
LELLA ;3498;91;173;207;194;798;8,22;17,08;50,94;65,05;64,24;49,28;104,34;00:38:34;1,84;1,86;5,9;5,56;22,8;4,96;16;4;53;57;1;57;261,62;39,18;28,16;19,02;00:00:26;49,28;00:00:22;00:00:06;00:03:32;00:00:23;00:00:22;00:00:24;00:01:19;00:01:16;
MANCINI;3451;90;213;189;188;874;8,1;16,2;21,42;49,5;54,71;51,81;98,15;00:38:18;1,59;1,43;5,49;5,46;25,34;6,18;9;8;58;51;0;51;349,92;41,55;25,71;18,62;00:00:34;51,81;00:00:19;00:00:03;00:03:45;00:00:21;00:00:19;00:00:19;00:01:10;00:01:11;
OCCHIONI;3457;90;217;176;175;833;7,96;14,75;52,72;43,78;50,65;50,67;71,27;00:38:33;1,47;1,27;5,09;5,06;24,09;6,28;13;6;50;48;1;48;292,25;39,05;27,68;18,42;00:00:34;50,67;00:00:19;00:00:07;00:03:38;00:00:15;00:00:19;00:00:19;00:01:10;00:01:10;
PALESI;3616;92;263;165;162;881;8,13;14,43;48,09;41,16;52,66;50,15;83,84;00:39:23;1,46;1,14;4,57;4,49;24,36;7,27;17;7;41;50;0;50;325,89;39,06;27,66;19,21;00:00:41;50,15;00:00:20;00:00:06;00:03:45;00:00:17;00:00:20;00:00:16;00:01:04;00:01:06;
PINNA S.;3373;88;266;176;179;819;7,91;16,12;58,39;54,61;59,43;49,39;99,89;00:38:18;1,76;1,62;5,22;5,3;24,27;7,88;11;14;45;55;1;55;338,99;39,64;29,16;18,19;00:00:42;49,39;00:00:21;00:00:07;00:03:28;00:00:21;00:00:21;00:00:21;00:01:09;00:01:12;
RENAULT ;3849;100;403;193;197;1164;8,92;15,65;73,77;48,34;53,86;47,11;98,51;00:38:38;1,4;1,26;5,02;5,11;30,25;10,48;15;7;50;57;3;57;506;45,85;27,42;20,67;00:01:04;47,11;00:00:19;00:00:10;00:04:38;00:00:21;00:00:19;00:00:18;00:01:11;00:01:12;
TRAVAGLINI;3347;87;170;140;139;754;7,56;12,66;28,55;36,9;35,8;50,37;59,28;00:38:36;1,07;1,1;4,19;4,16;22,52;5,09;4;8;32;28;1;28;299,45;36,27;26,43;17,51;00:00:27;50,37;00:00:14;00:00:03;00:03:16;00:00:13;00:00:14;00:00:15;00:00:58;00:00:58;
UDHO;3410;89;146;186;187;757;7,98;16,29;16,71;57,67;65,54;48,55;81,83;00:38:26;1,92;1,69;5,44;5,48;22,19;4,27;14;9;53;47;0;47;232,09;37,98;28,78;18,41;00:00:23;48,55;00:00:24;00:00:02;00:03:28;00:00:18;00:00:24;00:00:24;00:01:15;00:01:12;
