;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;971;69;0;59;36;148;6,14;14,45;0;17,14;6,42;60,05;4,5;00:14:00;0,66;1,76;6,09;3,72;15,29;0;0,38;1,94;26,19;6,94;0;6,94;5,4;29,98;16,66;5,16;00:00:00;60,05;00:00:03;00:00:00;00:00:53;00:00:01;00:00:03;00:00:10;00:00:35;00:00:22;
BIANCU;987;70;0;62;37;131;6,21;14,26;0;17,17;5,53;59,16;5,36;00:14:04;0,56;1,74;6,26;3,72;13,27;0;0;0;18;5;0;5;0;26,95;15,22;5,24;00:00:00;59,16;00:00:03;00:00:00;00:00:48;00:00:01;00:00:03;00:00:10;00:00:37;00:00:24;
BOCCIA;1047;74;0;76;57;198;6,83;18,43;0;24,93;11,04;59,22;8,02;00:14:04;1,05;2,38;7,24;5,48;18,95;0;1;3;36;17;0;17;9,29;35,77;16,9;5,76;00:00:00;59,22;00:00:06;00:00:00;00:01:07;00:00:02;00:00:06;00:00:14;00:00:43;00:00:34;
BRIGNANI;1047;74;0;72;33;184;6,59;14,37;0;19,05;7,36;57,94;6,2;00:14:04;0,7;1,82;6,87;3,14;17,6;0;1;5;38;10;0;10;21,55;33,28;17,91;5,56;00:00:00;57,94;00:00:04;00:00:00;00:01:03;00:00:01;00:00:04;00:00:11;00:00:43;00:00:21;
CHIERICO;1031;73;0;56;37;131;6,41;12,96;0;15,24;4,94;56,27;3,05;00:14:04;0,48;1,48;5,39;3,62;12,74;0;0;1;21;9;0;9;1,05;26,16;16,9;5,41;00:00:00;56,27;00:00:02;00:00:00;00:00:50;00:00:00;00:00:02;00:00:09;00:00:34;00:00:23;
DEMARCUS ;1009;72;0;50;34;144;6,28;13,2;0;13,07;7,57;57,44;1,53;00:14:04;0,75;1,3;4,97;3,39;14,26;0;1;2;21;8;0;8;0;27,27;14,79;5,3;00:00:00;57,44;00:00:04;00:00:00;00:00:51;00:00:00;00:00:04;00:00:07;00:00:32;00:00:21;
EMERSON;905;69;0;61;40;187;6,15;15,99;0;17,03;6,16;63,93;3,5;00:13:12;0,68;1,88;6,76;4,46;20,65;0;1;2;30;5;0;5;6,04;38,08;17,91;4,87;00:00:00;63,93;00:00:02;00:00:00;00:01:02;00:00:01;00:00:02;00:00:10;00:00:34;00:00:22;
LA ROSA ;938;67;0;42;16;111;5,67;9,79;0;11,75;2,23;61,64;1,48;00:14:04;0,24;1,25;4,49;1,74;11,87;0;0;1;21;2;0;2;0;23,73;14,99;4,78;00:00:00;61,64;00:00:01;00:00:00;00:00:41;00:00:00;00:00:01;00:00:07;00:00:26;00:00:11;
LELLA ;1024;73;0;59;31;114;6,4;13,53;0;25,23;5,24;54,97;4,74;00:14:04;0,51;2,46;5,71;2,98;11,13;0;0;5;42;5;0;5;0;25,37;15,77;5,4;00:00:00;54,97;00:00:03;00:00:00;00:00:44;00:00:01;00:00:03;00:00:15;00:00:36;00:00:20;
MANCINI;956;68;0;63;39;173;6,07;15,45;0;15,6;7,41;61,49;2,9;00:14:04;0,77;1,63;6,59;4,05;18,09;0;0;3;29;10;0;10;1,31;33,76;16,31;5,12;00:00:00;61,49;00:00:04;00:00:00;00:01:01;00:00:00;00:00:04;00:00:09;00:00:39;00:00:23;
OCCHIONI;980;70;0;64;34;153;6,19;14,82;0;18,27;7,2;60,02;1,58;00:14:04;0,73;1,86;6,58;3,48;15,6;0;1;0;32;8;0;8;0;31,13;14,87;5,22;00:00:00;60,02;00:00:04;00:00:00;00:00:58;00:00:00;00:00:04;00:00:10;00:00:39;00:00:22;
