;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;1471;66;100;47;42;226;5,53;8,81;29,81;12,06;11,04;61,08;28,51;00:22:26;0,72;0,81;3,19;2,77;14,63;6,15;2,35;1,71;11,71;11;0,94;11;78,76;24,55;23,68;7,45;00:00:15;61,08;00:00:04;00:00:03;00:00:55;00:00:05;00:00:04;00:00:05;00:00:20;00:00:17;
BIANCU;1899;85;130;56;55;340;7,18;9,61;14,46;12,16;13,36;49,15;31,91;00:22:26;0,7;0,64;2,93;2,92;17,9;6,82;2;3;11;12;0;12;162,21;28,9;25,53;9,67;00:00:20;49,15;00:00:04;00:00:02;00:01:23;00:00:06;00:00:04;00:00:04;00:00:21;00:00:20;
BOCCIA;1167;52;6;43;33;117;4,43;10,23;0;11,25;9,74;67,93;4,12;00:22:26;0,84;0,96;3,67;2,85;10,05;0,5;2;2;14;11;0;11;20,1;19,93;19,38;5,97;00:00:01;67,93;00:00:04;00:00:00;00:00:39;00:00:01;00:00:04;00:00:06;00:00:24;00:00:18;
BRIGNANI;1480;66;1;52;35;151;5,54;8,41;0;14,55;7,91;57,62;9,45;00:22:26;0,53;0,98;3,48;2,39;10,21;0,07;1;1;15;10;0;10;28,86;20,35;19,32;7,45;00:00:00;57,62;00:00:03;00:00:00;00:00:48;00:00:02;00:00:03;00:00:07;00:00:26;00:00:17;
CHIERICO;1365;61;0;37;22;95;5,01;6,3;0;10,64;5,17;60,19;2,25;00:22:26;0,38;0,78;2,71;1,61;6,92;0;2;1;14;5;0;5;0;14,35;15,16;6,74;00:00:00;60,19;00:00:02;00:00:00;00:00:34;00:00:00;00:00:02;00:00:05;00:00:22;00:00:12;
DEMARCUS ;1620;72;201;70;69;320;6,27;12,22;60,01;15,38;19,68;58,87;56,42;00:22:26;1,22;0,95;4,29;4,23;19,72;12,44;5;2;13;22;2;22;135,35;31,97;29,59;8,44;00:00:31;58,87;00:00:06;00:00:08;00:01:11;00:00:10;00:00:06;00:00:05;00:00:25;00:00:25;
EMERSON;1249;56;4;44;36;146;4,73;9,77;0;13,47;11,93;68,12;9,65;00:22:26;0,96;1,08;3,52;2,91;11,67;0,29;3;2;13;11;0;11;32,89;22,85;19,62;6,37;00:00:00;68,12;00:00:04;00:00:00;00:00:46;00:00:02;00:00:04;00:00:07;00:00:22;00:00:17;
LA ROSA ;1046;47;0;10;8;35;3,71;2,74;0;2,6;1,43;74,31;0,59;00:22:26;0,14;0,25;0,97;0,74;3,38;0;1;0;2;1;0;1;0;6,35;14,96;4,99;00:00:00;74,31;00:00:01;00:00:00;00:00:12;00:00:00;00:00:01;00:00:01;00:00:07;00:00:06;
LELLA ;1626;72;72;56;41;250;6,11;8,9;17,36;16,62;12,41;55,47;24,41;00:22:26;0,76;1,02;3,44;2,55;15,4;4,41;2;1;17;11;1;11;94,37;26,55;27,97;8,22;00:00:11;55,47;00:00:04;00:00:02;00:01:06;00:00:05;00:00:04;00:00:07;00:00:24;00:00:18;
MANCINI;1470;66;61;37;32;202;5,42;6,83;0;8,95;9,84;61,77;19,09;00:22:26;0,67;0,61;2,51;2,19;13,71;4,12;3;2;10;9;0;9;113,89;22,43;23,01;7,29;00:00:10;61,77;00:00:04;00:00:00;00:00:50;00:00:04;00:00:04;00:00:03;00:00:14;00:00:13;
OCCHIONI;1661;74;41;46;34;225;6,12;6,83;5,24;10,59;3,72;56,37;15,23;00:22:26;0,22;0,64;2,75;2,07;13,55;2,46;0;2;12;3;0;3;79,98;23,12;24,76;8,24;00:00:06;56,37;00:00:01;00:00:00;00:01:00;00:00:03;00:00:01;00:00:03;00:00:18;00:00:16;
PALESI;1383;62;138;45;42;278;5,27;10,48;26,36;15,03;14,42;65,52;35,29;00:22:26;1,04;1,09;3,25;3,05;20,08;9,96;8;3;14;15;0;15;109,28;31,84;26,17;7,1;00:00:21;65,52;00:00:05;00:00:03;00:01:05;00:00:07;00:00:05;00:00:05;00:00:17;00:00:16;
PINNA S.;1749;78;308;68;65;412;6,75;11,89;139,43;17,79;22,41;54,81;71,55;00:22:26;1,28;1,02;3,9;3,74;23,59;17,59;6;2;13;13;5;13;73,96;35,71;28,36;9,09;00:00:45;54,81;00:00:07;00:00:18;00:01:25;00:00:13;00:00:07;00:00:06;00:00:23;00:00:23;
PISANO;994;44;0;30;23;63;3,69;7,73;0;5,74;2,51;71,86;3,35;00:22:26;0,25;0,58;3,03;2,29;6,38;0;0;0;11;8;0;8;3,22;13,64;17,27;4,97;00:00:00;71,86;00:00:01;00:00:00;00:00:23;00:00:00;00:00:01;00:00:02;00:00:18;00:00:14;
RAGATZU;1393;62;131;62;56;249;5,35;11,43;15,16;17,61;14,97;62,82;41,99;00:22:26;1,07;1,26;4,42;4,02;17,9;9,44;2;1;11;14;0;14;120,9;29,83;25,62;7,21;00:00:20;62,82;00:00:04;00:00:02;00:00:57;00:00:08;00:00:04;00:00:06;00:00:22;00:00:21;
RENAULT ;1903;85;305;52;67;395;7,15;8,98;142,45;11,62;17,23;48,37;80,38;00:22:26;0,91;0,61;2,72;3,52;20,77;16;3;4;12;18;6;18;95,73;30,88;30,5;9,63;00:00:44;48,37;00:00:05;00:00:18;00:01:18;00:00:13;00:00:05;00:00:04;00:00:18;00:00:21;
TRAVAGLINI;1388;62;165;42;35;263;5,17;8,11;51,95;8,18;5,53;66,72;38,32;00:22:26;0,4;0,59;3,02;2,55;18,98;11,91;0;2;4;10;1;10;97,36;29,65;26,97;6,97;00:00:25;66,72;00:00:02;00:00:07;00:00:59;00:00:06;00:00:02;00:00:02;00:00:14;00:00:12;
