;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;4191;67;68;261;243;705;6,11;17,68;1,81;78,94;77,1;59,54;67,35;01:02:33;1,8;1,84;6,15;5,72;16,55;1,56;19,69;12,69;81,38;82,77;0;82,77;185,65;31;23,53;22,95;00:00:11;59,54;00:00:35;00:00:00;00:03:37;00:00:17;00:00:35;00:00:37;00:02:12;00:02:05;
BIANCU;4222;65;42;244;233;616;5,85;16,98;0;77,64;58,86;61,42;62,03;01:05:21;1,39;1,84;5,79;5,51;14,58;1,01;11;17;75;64;0;64;108,04;28,59;23,68;22,93;00:00:07;61,42;00:00:26;00:00:00;00:03:15;00:00:16;00:00:26;00:00:34;00:02:03;00:01:58;
BOCCIA;4871;82;148;360;336;1020;7,72;21,61;8,37;113,39;115,89;50,94;119,35;00:59:21;2,38;2,33;7,4;6,9;20,94;3,04;24;25;123;108;0;108;294,04;38,05;27,4;27,51;00:00:24;50,94;00:00:52;00:00:01;00:05:03;00:00:29;00:00:52;00:00:52;00:02:48;00:02:45;
BRIGNANI;4314;66;69;265;250;824;6,01;17,56;0;75,65;78,44;59,03;64,18;01:05:21;1,82;1,75;6,14;5,8;19,09;1,61;29;11;82;85;0;85;254,98;34,55;22,72;23,55;00:00:11;59,03;00:00:33;00:00:00;00:04:07;00:00:17;00:00:33;00:00:34;00:02:07;00:01:57;
EMERSON;3927;60;25;205;177;469;5,32;14,37;0;56,37;49,53;63,29;34,34;01:05:23;1,26;1,44;5,22;4,52;11,94;0,63;9;7;57;58;0;58;99,62;23,95;21,63;20,86;00:00:04;63,29;00:00:25;00:00:00;00:02:34;00:00:09;00:00:25;00:00:32;00:01:58;00:01:44;
GIANDONATO;3578;55;4;129;124;289;4,7;10,51;0;23,58;21,38;65,59;6,97;01:05:02;0,6;0,66;3,6;3,48;8,07;0,11;4;0;29;45;0;45;24,69;16,02;19,52;18,36;00:00:00;65,59;00:00:14;00:00:00;00:01:43;00:00:02;00:00:14;00:00:14;00:01:25;00:01:26;
LA ROSA ;4061;68;29;200;177;614;6,02;13,69;0;47,88;37,56;58,07;30,91;00:59:21;0,92;1,18;4,91;4,36;15,13;0,72;4;5;60;52;0;52;97,16;27,77;23,08;21,44;00:00:04;58,07;00:00:18;00:00:00;00:03:16;00:00:08;00:00:18;00:00:24;00:01:46;00:01:35;
LELLA ;4536;76;70;348;315;859;7,25;22,54;3,83;128,54;120,68;54,68;104,89;00:59:21;2,66;2,83;7,67;6,93;18,93;1,54;37;15;114;110;0;110;192,9;36,88;24,93;25,81;00:00:11;54,68;00:00:51;00:00:00;00:04:26;00:00:29;00:00:51;00:00:58;00:02:42;00:02:30;
MANCINI;4046;62;90;250;258;727;5,67;18,22;5,92;77,15;80,56;63,09;69,7;01:05:16;1,99;1,91;6,18;6,36;17,98;2,22;17;18;79;92;0;92;219,62;32,89;24,68;22,21;00:00:14;63,09;00:00:36;00:00:00;00:03:38;00:00:17;00:00:36;00:00:35;00:02:05;00:02:12;
PALESI;3913;66;57;246;224;648;6,06;18,73;2,26;74,07;88,76;61,1;53,7;00:59:21;2,27;1,89;6,28;5,73;16,56;1,46;28;17;81;92;0;92;180,73;31,27;24,92;21,58;00:00:09;61,1;00:00:40;00:00:00;00:03:25;00:00:13;00:00:40;00:00:39;00:02:10;00:02:00;
PINNA S.;4386;67;136;311;293;811;6,23;20,26;0;94,7;105,98;59,08;90,26;01:05:29;2,42;2,16;7,08;6,69;18,5;3,11;26;9;86;105;0;105;243,56;34,04;23,95;24,49;00:00:22;59,08;00:00:48;00:00:00;00:04:04;00:00:21;00:00:48;00:00:43;00:02:35;00:02:33;
PISANO;3880;65;36;237;213;603;5,89;16,49;0;71,42;64,73;60,49;66,84;00:59:21;1,67;1,84;6,11;5,49;15,54;0,92;21;14;88;86;0;86;210,22;29,91;22,61;20,99;00:00:06;60,49;00:00:28;00:00:00;00:03:03;00:00:17;00:00:28;00:00:32;00:01:53;00:01:48;
RENAULT ;4209;71;126;311;293;847;6,69;21,89;3,2;97,8;101,34;57,45;97,14;00:59:21;2,41;2,32;7,4;6,96;20,12;2,99;28;15;88;97;0;97;242,69;36,52;24,27;23,82;00:00:20;57,45;00:00:45;00:00:00;00:04:11;00:00:24;00:00:45;00:00:44;00:02:36;00:02:26;
TRAVAGLINI;4537;70;48;292;265;839;6,34;17,81;0;88,08;78,65;58,53;75,23;01:05:15;1,73;1,94;6,44;5,83;18,49;1,06;18;12;96;82;0;82;245,21;33,88;22,54;24,82;00:00:08;58,53;00:00:36;00:00:00;00:04:13;00:00:20;00:00:36;00:00:40;00:02:23;00:02:09;
