;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;1809;112;52;127;120;419;10,41;20,24;1,81;37,44;39,13;33,3;41,39;00:16:12;2,12;2,03;6,92;6,54;22,74;2,77;10,62;6,62;37,15;40,08;0;40,08;130,09;39,8;23,32;10,12;00:00:08;33,3;00:00:16;00:00:00;00:02:01;00:00:10;00:00:16;00:00:15;00:00:53;00:00:52;
BIANCU;1673;108;30;116;106;339;10,03;20,23;0;38,67;26,26;34,12;36,6;00:15:31;1,57;2,31;6,93;6,31;20,29;1,8;6;8;36;28;0;28;60,66;37,97;23,68;9,34;00:00:05;34,12;00:00:11;00:00:00;00:01:43;00:00:09;00:00:11;00:00:15;00:00:49;00:00:46;
BOCCIA;2066;130;125;179;170;605;12,63;25,32;8,37;52,23;60,44;26,91;83,57;00:15:52;2,93;2,53;8,66;8,21;29,27;6,07;16;12;53;57;0;57;223,32;48,89;27,4;12,02;00:00:20;26,91;00:00:24;00:00:01;00:02:44;00:00:19;00:00:24;00:00:19;00:01:09;00:01:09;
BRIGNANI;1915;117;34;120;117;452;10,72;18,33;0;34,53;35,13;28,74;27,48;00:16:21;1,83;1,8;6,28;6,1;23,6;1,79;14;6;37;36;0;36;135,54;40,58;21,66;10,52;00:00:05;28,74;00:00:14;00:00:00;00:02:13;00:00:07;00:00:14;00:00:15;00:00:52;00:00:48;
EMERSON;1649;103;25;95;88;292;9,26;16,37;0;26,09;23,37;34,97;24,48;00:16:03;1,42;1,58;5,76;5,32;17,72;1,5;5;4;23;28;0;28;89,81;32,65;21,63;8,91;00:00:04;34,97;00:00:10;00:00:00;00:01:27;00:00:06;00:00:10;00:00:12;00:00:43;00:00:41;
GIANDONATO;1330;83;4;52;52;148;7,16;11,51;0;7,45;8,33;46,24;3,58;00:16:02;0,63;0,56;3,88;3,9;11,16;0,29;1;0;10;21;0;21;21,89;20,91;19,52;6,89;00:00:00;46,24;00:00:05;00:00:00;00:00:49;00:00:00;00:00:05;00:00:04;00:00:27;00:00:29;
LA ROSA ;1829;117;29;108;101;385;10,59;16,74;0;27,5;22,15;28,23;25,45;00:15:36;1,21;1,5;5,89;5,53;21,06;1,58;2;4;35;31;0;31;84,37;37,1;23,08;9,92;00:00:04;28,23;00:00:09;00:00:00;00:01:56;00:00:06;00:00:09;00:00:12;00:00:46;00:00:44;
LELLA ;1969;109;45;170;157;471;10,67;26,22;3,83;64,38;61,61;34,28;61,57;00:18:02;3,13;3,27;8,63;7,99;23,91;2,29;19;10;56;53;0;53;114,57;44,26;24,93;11,54;00:00:07;34,28;00:00:24;00:00:00;00:02:20;00:00:16;00:00:24;00:00:27;00:01:10;00:01:05;
MANCINI;1801;111;60;127;131;447;10,4;21,48;5,92;38,9;43,09;34,81;42,65;00:16:16;2,39;2,16;7,08;7,26;24,79;3,34;12;11;37;48;0;48;142,79;42,49;24,68;10,16;00:00:09;34,81;00:00:18;00:00:00;00:02:07;00:00:10;00:00:18;00:00:16;00:00:55;00:00:57;
PALESI;1812;113;55;120;109;409;10,51;19,73;2,26;32,32;43,86;33,13;34,96;00:15:58;2,42;1,78;6,6;6,01;22,56;3,03;12;7;34;42;0;42;145,48;39,18;24,92;10,08;00:00:09;33,13;00:00:18;00:00:00;00:01:59;00:00:08;00:00:18;00:00:14;00:00:53;00:00:50;
PINNA S.;1909;118;108;152;152;516;11,31;23,34;0;42,96;58,17;31,93;52,44;00:16:06;3,05;2,25;7,99;7,94;27,05;5,68;14;4;39;54;0;54;183,4;45,19;23,95;10,93;00:00:17;31,93;00:00:24;00:00:00;00:02:23;00:00:12;00:00:24;00:00:17;00:01:03;00:01:05;
PISANO;1672;100;19;122;103;355;9,18;18,92;0;32,26;33,29;40,41;36,78;00:16:46;1,99;1,93;7,28;6,16;21,25;1,16;12;7;41;41;0;41;139,54;38,1;20,94;9,23;00:00:03;40,41;00:00:14;00:00:00;00:01:44;00:00:09;00:00:14;00:00:13;00:00:51;00:00:46;
RENAULT ;1948;120;116;163;151;532;11,61;25,22;3,2;53,32;55,05;31,28;72,05;00:16:15;2,83;2,74;8,35;7,76;27,28;5,93;17;8;47;49;0;49;187,64;46,52;24,27;11,33;00:00:19;31,28;00:00:21;00:00:00;00:02:26;00:00:17;00:00:21;00:00:21;00:01:05;00:01:01;
TRAVAGLINI;1937;122;31;124;122;494;11,23;18,9;0;36,08;37,98;27,28;36,41;00:15:52;1,96;1,86;6,38;6,3;25,48;1,61;8;5;35;33;0;33;162,1;42,85;22,54;10,7;00:00:05;27,28;00:00:15;00:00:00;00:02:20;00:00:09;00:00:15;00:00:14;00:00:50;00:00:51;
