;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;1066;73;276;58;51;312;6,51;14,66;88,48;16,6;12,18;60,15;68,86;00:14:31;1,16;1,57;5,45;4,81;29,22;25,85;2,71;3,64;15,79;10,93;2,07;10,93;96,89;44,28;27,7;5,67;00:00:42;60,15;00:00:03;00:00:12;00:01:00;00:00:12;00:00:03;00:00:05;00:00:19;00:00:15;
BIANCU;1113;77;273;53;47;313;6,76;13,37;89,5;15,95;6,87;59,91;72,51;00:14:26;0,62;1,43;4,74;4,19;28,14;24,52;1;1;15;9;2;9;103,46;43,11;28,18;5,86;00:00:41;59,91;00:00:01;00:00:12;00:01:01;00:00:12;00:00:01;00:00:04;00:00:16;00:00:12;
BOCCIA;1016;70;258;66;49;276;6,26;14,97;85,73;15,38;8,44;60,85;74,67;00:14:26;0,83;1,51;6,48;4,81;27,2;25,44;2;4;17;11;2;11;78,42;42,72;28,71;5,42;00:00:38;60,85;00:00:02;00:00:11;00:00:53;00:00:13;00:00:02;00:00:05;00:00:20;00:00:14;
BRIGNANI;1153;80;316;56;45;363;6,93;12,11;72,66;16,99;16,46;55,35;59,4;00:14:26;1,43;1,47;4,89;3,94;31,52;27,45;2;2;19;10;3;10;114,58;45,48;28,8;6;00:00:49;55,35;00:00:04;00:00:09;00:01:10;00:00:11;00:00:04;00:00:06;00:00:19;00:00:12;
EMERSON;1096;76;275;58;50;311;6,68;13,66;123,83;10,91;7,9;61,82;75,66;00:14:26;0,72;0,99;5,29;4,58;28,36;25,1;1;2;12;11;1;11;84,97;43,49;28,72;5,79;00:00:41;61,82;00:00:02;00:00:16;00:01:00;00:00:13;00:00:02;00:00:03;00:00:19;00:00:14;
GIANDONATO;972;67;209;43;37;273;5,87;12,6;4,36;11,81;4,55;63,89;47,63;00:14:26;0,47;1,22;4,44;3,82;28,14;21,51;0;2;11;1;0;1;126,64;42,93;24,78;5,08;00:00:33;63,89;00:00:01;00:00:00;00:00:56;00:00:09;00:00:01;00:00:04;00:00:15;00:00:11;
LA ROSA ;1076;75;254;54;43;291;6,48;12,37;117,22;14,06;8,54;58,03;63,08;00:14:26;0,79;1,31;5,01;4;27,06;23,63;1;2;14;7;1;7;88,17;41,49;27,17;5,61;00:00:37;58,03;00:00:02;00:00:16;00:00:56;00:00:11;00:00:02;00:00:04;00:00:17;00:00:11;
LELLA ;1143;79;269;69;52;319;7,02;14,56;62,49;19,64;10,61;55,67;64,19;00:14:26;0,93;1,72;6,02;4,57;27,87;23,5;2;4;23;11;1;11;98,91;42,74;25,8;6,08;00:00:41;55,67;00:00:03;00:00:08;00:01:03;00:00:12;00:00:03;00:00:06;00:00:23;00:00:15;
MANCINI;1066;71;297;72;68;337;6,48;18,15;125,38;17,44;21,11;63,86;87,83;00:15:01;1,98;1,64;6,79;6,39;31,64;27,91;3;5;18;14;4;14;108,89;48,67;27,72;5,85;00:00:44;63,86;00:00:05;00:00:17;00:01:04;00:00:16;00:00:05;00:00:05;00:00:21;00:00:19;
PALESI;1139;79;344;64;53;354;7,02;14,95;140,36;18,98;17,19;57,2;86,87;00:14:26;1,51;1,67;5,58;4,63;31,1;30,23;5;4;15;14;5;14;100,62;45,58;29,18;6,08;00:00:51;57,2;00:00:05;00:00:19;00:01:05;00:00:15;00:00:05;00:00:06;00:00:19;00:00:16;
PINNA S.;1087;74;302;53;51;319;6,48;13,51;85,77;18,78;12,29;58,61;62,9;00:14:44;1,13;1,73;4,89;4,71;29,33;27,81;4;4;13;11;2;11;93,36;42,9;27,53;5,73;00:00:46;58,61;00:00:03;00:00:11;00:00:59;00:00:11;00:00:03;00:00:06;00:00:19;00:00:15;
PISANO;1054;71;278;59;57;295;6,32;14,95;78,78;20,51;13;58,62;63,68;00:14:50;1,23;1,95;5,56;5,43;27,95;26,34;4;9;18;13;1;13;96,33;42,93;27,97;5,63;00:00:42;58,62;00:00:04;00:00:10;00:00:56;00:00:11;00:00:04;00:00:06;00:00:17;00:00:17;
RAGATZU;1127;78;295;54;57;347;6,88;13,8;79,05;13,47;10,76;56,75;61,65;00:14:26;0,95;1,19;4,77;5,08;30,75;26,19;3;2;13;11;2;11;99,35;44,78;27,05;5,96;00:00:45;56,75;00:00:04;00:00:11;00:01:08;00:00:11;00:00:04;00:00:04;00:00:19;00:00:18;
TRAVAGLINI;1014;70;273;63;55;306;6,39;17,54;85,78;19,37;12,87;63,29;79,48;00:14:26;1,27;1,91;6,18;5,4;30,13;26,9;3;4;18;13;2;13;84,24;46,89;28,27;5,54;00:00:41;63,29;00:00:03;00:00:11;00:01:00;00:00:14;00:00:03;00:00:07;00:00:20;00:00:17;
UDHO;873;60;220;50;51;261;5,55;18,61;87,85;19,16;19,86;68,15;64,51;00:14:26;2,27;2,19;5,68;5,79;29,88;25,25;7;6;15;17;3;17;78,5;46,14;27,98;4,81;00:00:33;68,15;00:00:05;00:00:11;00:00:51;00:00:11;00:00:05;00:00:06;00:00:16;00:00:15;
