;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;6986;81;181;341;327;1094;7,19;14,04;26,87;99,14;99,5;49,01;106,16;01:25:47;1,41;1,4;4,84;4,66;15,46;2,58;24,14;13,64;101,93;104,57;0,36;104,57;319,16;28,23;26,81;37,03;00:00:29;49,01;00:00:43;00:00:03;00:05:20;00:00:25;00:00:43;00:00:46;00:02:47;00:02:41;
BIANCU;6671;79;195;356;358;1145;7,05;16,01;18,46;104,79;109,37;54,47;127,06;01:24:55;1,64;1,57;5,33;5,37;17,17;2,92;28;14;90;114;0;114;386,37;31,26;25,87;35,94;00:00:32;54,47;00:00:44;00:00:02;00:05:31;00:00:29;00:00:44;00:00:42;00:02:38;00:02:38;
BOCCIA;7818;91;183;458;421;1363;8,18;16,19;18,76;136,6;121,93;41,9;118,98;01:26:00;1,56;1,75;5,85;5,38;17,43;2,34;24;28;176;144;0;144;386,48;31,94;26,94;42,19;00:00:29;41,9;00:00:57;00:00:02;00:06:53;00:00:29;00:00:57;00:01:06;00:03:46;00:03:36;
BRIGNANI;7764;90;169;349;342;1293;7,91;12,93;14,04;100,79;95,27;41,22;91,96;01:25:49;1,23;1,3;4,49;4,41;16,65;2,18;18;8;110;111;0;111;401,87;29,3;25,74;40,72;00:00:28;41,22;00:00:42;00:00:01;00:06:19;00:00:22;00:00:42;00:00:48;00:02:53;00:02:47;
EMERSON;6992;81;198;310;308;1060;7,11;12,85;52,39;77,1;94,26;48,92;96,15;01:25:50;1,35;1,1;4,43;4,41;15,16;2,84;15;11;88;100;0;100;309,57;27,11;27,08;36,64;00:00:31;48,92;00:00:42;00:00:07;00:05:05;00:00:21;00:00:42;00:00:40;00:02:42;00:02:36;
GIANDONATO;6091;71;18;179;195;505;5,96;9,26;0;41,99;47,5;54,18;20,54;01:26:21;0,78;0,69;2,94;3,19;8,29;0,29;9;3;47;72;0;72;61,46;16,15;23;30,9;00:00:02;54,18;00:00:25;00:00:00;00:02:48;00:00:05;00:00:25;00:00:23;00:01:48;00:01:56;
LA ROSA ;7654;89;81;276;245;1053;7,6;10,52;9,98;69,86;60,61;43,34;56,6;01:26:11;0,79;0,91;3,61;3,21;13,76;1,05;14;8;66;72;0;72;215,39;24,96;25,51;39,28;00:00:13;43,34;00:00:27;00:00:01;00:05:19;00:00:15;00:00:27;00:00:32;00:02:14;00:02:04;
LELLA ;8080;94;242;481;446;1520;8,56;17,8;46,49;162,42;170,25;42,28;177,59;01:26:01;2,11;2,01;5,95;5,52;18,82;3;45;19;143;143;1;143;420,09;34,37;27,69;44,2;00:00:38;42,28;00:01:11;00:00:06;00:07:24;00:00:43;00:01:11;00:01:13;00:03:41;00:03:25;
MANCINI;5843;68;109;265;238;748;5,91;12,31;1,82;66,91;68,37;57,83;61,42;01:25:52;1,17;1,15;4,53;4,08;12,8;1,87;16;7;78;69;0;69;183,67;24,13;24,4;30,48;00:00:18;57,83;00:00:31;00:00:00;00:03:49;00:00:14;00:00:31;00:00:31;00:02:16;00:02:06;
PALESI;7094;83;232;345;329;1172;7,31;14,42;31,14;104,66;104,66;49,44;121,71;01:25:58;1,48;1,48;4,87;4,64;16,52;3,28;35;16;110;108;0;108;390,6;29,88;26,15;37,7;00:00:37;49,44;00:00:45;00:00:04;00:05:34;00:00:28;00:00:45;00:00:49;00:02:47;00:02:39;
PINNA S.;7310;85;319;380;386;1332;7,61;15,44;36,93;107,59;123,83;44,95;141,99;01:25:50;1,69;1,47;5,2;5,28;18,23;4,36;34;17;107;121;1;121;398,08;31,95;26,22;39,19;00:00:51;44,95;00:00:53;00:00:05;00:06:10;00:00:33;00:00:53;00:00:50;00:03:01;00:03:08;
PISANO;6549;77;205;321;301;951;6,78;13,85;60,95;97,7;94,21;50,9;117,37;01:25:05;1,44;1,49;4,9;4,6;14,53;3,13;21;19;101;110;1;110;259;27,22;31,26;34,63;00:00:31;50,9;00:00:42;00:00:07;00:04:33;00:00:26;00:00:42;00:00:41;00:02:35;00:02:33;
RAGATZU;6071;71;230;338;298;981;6,27;14,68;33;91,04;86,34;55,92;126,47;01:25:54;1,42;1,5;5,56;4,9;16,16;3,79;21;11;104;93;1;93;361,47;29,74;27,36;32,33;00:00:37;55,92;00:00:40;00:00:04;00:04:34;00:00:28;00:00:40;00:00:41;00:02:39;00:02:27;
TRAVAGLINI;7791;92;215;416;423;1381;8,26;16,37;28,76;140,94;132,61;42,53;149,07;01:24:57;1,7;1,81;5,33;5,42;17,72;2,77;34;19;123;113;0;113;449,21;32,42;28,51;42,1;00:00:34;42,53;00:00:53;00:00:03;00:06:39;00:00:36;00:00:53;00:01:04;00:03:10;00:03:10;
UDHO;6081;70;139;295;293;806;6,22;13,96;23,52;85,62;83,8;58,17;79,34;01:26:16;1,38;1,41;4,84;4,82;13,26;2,28;24;11;84;94;1;94;244,96;24,93;29,58;32,18;00:00:22;58,17;00:00:37;00:00:03;00:04:00;00:00:19;00:00:37;00:00:42;00:02:41;00:02:35;
