;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;690;101;6;41;41;125;9,23;17,56;0;11,25;11,42;36,69;8,32;00:06:48;1,65;1,63;5,97;5,93;17,5;0,88;3;1,6;12,93;13,6;0;13,6;22,37;32,19;19,75;3,77;00:00:01;36,69;00:00:05;00:00:00;00:00:39;00:00:02;00:00:05;00:00:05;00:00:20;00:00:20;
BIANCU;835;123;2;39;53;189;11,12;17,16;0;9,41;12,89;26,28;10,99;00:06:48;1,54;1,13;4,65;6,37;22,62;0,19;2;1;9;10;0;10;40,23;38,41;19,31;4,54;00:00:00;26,28;00:00:05;00:00:00;00:00:56;00:00:03;00:00:05;00:00:03;00:00:16;00:00:22;
BOCCIA;603;89;0;42;34;86;8,04;17,35;0;10,23;10,02;40,11;2,91;00:06:48;1,66;1,7;6,99;5,62;14,23;0;3;3;20;10;0;10;7,44;28,67;18,37;3,29;00:00:00;40,11;00:00:05;00:00:00;00:00:31;00:00:00;00:00:05;00:00:05;00:00:24;00:00:19;
BRIGNANI;737;108;12;49;44;161;9,83;17,22;0;16,28;9,12;31,81;12,19;00:06:48;1,24;2,21;6,61;5,98;21,8;1,67;2;1;19;13;0;13;57,5;38,13;19,85;4,01;00:00:02;31,81;00:00:03;00:00:00;00:00:47;00:00:03;00:00:03;00:00:06;00:00:21;00:00:19;
EMERSON;596;88;10;29;27;72;7,65;12,99;0;7,59;6,96;42,12;5,12;00:06:48;1,17;1,27;4,79;4,58;12,03;1,7;3;2;10;10;0;10;14,76;24,2;22,4;3,13;00:00:01;42,12;00:00:03;00:00:00;00:00:23;00:00:01;00:00:03;00:00:03;00:00:14;00:00:13;
GIANDONATO;685;101;0;25;28;70;8,77;12,55;0;6,72;5,71;30,05;4,28;00:06:48;0,83;0,98;3,66;4,15;10,26;0;2;2;7;11;0;11;4,53;20,53;16,84;3,58;00:00:00;30,05;00:00:03;00:00:00;00:00:24;00:00:01;00:00:03;00:00:03;00:00:14;00:00:16;
LA ROSA ;780;115;0;25;25;122;9,88;11,42;0;3,83;5,07;26,49;1,16;00:06:48;0,65;0,49;3,16;3,26;15,58;0;0;1;5;9;0;9;8,99;27,28;17,22;4,04;00:00:00;26,49;00:00:03;00:00:00;00:00:39;00:00:00;00:00:03;00:00:02;00:00:13;00:00:14;
LELLA ;848;125;8;62;65;193;11,82;22,5;0;19,16;21,61;26,12;14,98;00:06:48;2,55;2,26;7,36;7,68;22,78;0,91;3;2;14;19;0;19;31,67;40,63;22,67;4,83;00:00:01;26,12;00:00:09;00:00:00;00:01:00;00:00:03;00:00:09;00:00:08;00:00:28;00:00:29;
OCCHIONI;824;121;0;49;48;171;11;17,37;0;8,93;10,81;26,17;3,8;00:06:48;1,31;1,08;5,89;5,82;20,79;0;2;0;19;20;0;20;6,84;36,73;16,99;4,49;00:00:00;26,17;00:00:05;00:00:00;00:00:56;00:00:01;00:00:05;00:00:04;00:00:24;00:00:24;
PALESI;569;84;0;36;29;81;7,66;18,33;0;11,2;10,45;49,5;5,15;00:06:48;1,83;1,97;6,33;5,06;14,31;0;5;1;14;15;0;15;2,36;29,26;16,73;3,13;00:00:00;49,5;00:00:05;00:00:00;00:00:29;00:00:01;00:00:05;00:00:05;00:00:19;00:00:15;
PINNA S.;643;94;11;47;45;134;8,86;21,24;0;12,97;14,12;44,13;10,9;00:06:48;2,2;2,02;7,32;6,94;20,86;1,75;4;2;10;15;0;15;19,15;37,87;22,11;3,62;00:00:01;44,13;00:00:05;00:00:00;00:00:42;00:00:02;00:00:05;00:00:06;00:00:21;00:00:20;
PISANO;618;91;2;37;41;103;8,27;17,69;0;9,28;12,43;42,74;9,95;00:06:48;2,01;1,5;5,95;6,69;16,74;0,39;4;2;10;12;0;12;25,81;31,5;19,37;3,38;00:00:00;42,74;00:00:05;00:00:00;00:00:33;00:00:02;00:00:05;00:00:03;00:00:17;00:00:19;
RAGATZU;630;93;10;45;41;113;8,51;18,71;0;11,35;12,17;40,97;8,89;00:06:48;1,93;1,8;7,15;6,56;17,96;1,55;3;3;17;14;0;14;31,19;33,34;20,87;3,47;00:00:01;40,97;00:00:05;00:00:00;00:00:35;00:00:02;00:00:05;00:00:05;00:00:21;00:00:19;
RENAULT ;738;108;27;60;62;174;10,32;23;0;17,22;16,79;36,39;16,7;00:06:48;2,28;2,33;8,17;8,42;23,59;3,68;5;3;22;23;0;23;56,49;40,97;21,87;4,21;00:00:04;36,39;00:00:08;00:00:00;00:00:51;00:00:04;00:00:08;00:00:08;00:00:28;00:00:29;
TRAVAGLINI;738;108;10;49;52;165;10,25;22,17;0;18,87;17,43;35,95;14,83;00:06:48;2,36;2,56;6,6;7,11;22,31;1,29;4;1;15;14;0;14;25,45;40,06;23,8;4,19;00:00:01;35,95;00:00:06;00:00:00;00:00:50;00:00:03;00:00:06;00:00:08;00:00:22;00:00:22;
UDHO;499;73;0;24;24;33;6,44;13,63;0;5,73;5,7;51,48;2,96;00:06:48;1,14;1,15;4,88;4,8;6,7;0;3;0;3;9;0;9;3,18;15,31;17,82;2,63;00:00:00;51,48;00:00:03;00:00:00;00:00:13;00:00:00;00:00:03;00:00:03;00:00:15;00:00:15;
