;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;6611;62;269;385;367;1225;5,62;16,3;32,17;120,21;128,91;62,75;146,77;01:45:57;1,94;1,81;5,81;5,54;18,53;4,08;31,69;25,54;119,54;119,54;0,31;119,54;426,38;33,1;27,24;35,72;00:00:43;62,75;00:00:54;00:00:04;00:05:37;00:00:34;00:00:54;00:00:52;00:02:59;00:03:16;
BIANCU;6147;57;418;332;305;1222;5,1;15,35;14,97;96,89;107,66;66,94;153;01:47:42;1,75;1,58;5,4;4,96;19,88;6,79;32;25;100;93;0;93;360,94;33,73;25,31;32,93;00:01:08;66,94;00:00:41;00:00:02;00:05:14;00:00:35;00:00:41;00:00:38;00:02:19;00:07:05;
BOCCIA;7133;68;426;378;374;1393;5,83;11,1;157,82;113,84;125,4;54,58;166,85;01:45:15;1,76;1,6;5,3;5,24;19,54;5,98;32;27;126;136;1;136;345,59;34,21;34,26;36,8;00:01:01;54,58;00:00:52;00:00:18;00:06:01;00:00:36;00:00:52;00:00:47;00:02:52;00:02:52;
BRIGNANI;6263;60;213;327;335;1130;5,35;15,77;12,79;106,82;120,4;63,16;122,77;01:44:57;1,92;1,71;5,22;5,35;18,05;3,4;35;24;102;110;0;110;373,81;31,88;26,01;33,67;00:00:34;63,16;00:00:51;00:00:01;00:05:12;00:00:29;00:00:51;00:00:48;00:02:39;00:02:39;
EMERSON;7156;66;251;439;406;1145;5,96;16,96;55,61;143,99;144,2;60,66;170,43;01:48:45;2,01;2,01;6,14;5,68;16;3,51;26;35;148;140;0;140;360,82;30,51;32,93;38,87;00:00:39;60,66;00:01:04;00:00:07;00:05:26;00:00:39;00:01:04;00:01:07;00:03:33;00:03:20;
LA ROSA ;6289;58;209;326;302;1206;5,09;14,19;0;90,82;91,97;66,81;93,49;01:49:11;1,46;1,44;5,18;4,81;19,17;3,32;22;13;101;101;0;101;490,83;32,56;22,63;33,35;00:00:35;66,81;00:00:43;00:00:00;00:05:33;00:00:22;00:00:43;00:00:43;00:02:42;00:02:32;
LELLA ;6493;63;281;479;435;1294;5,93;21,27;68,17;178,34;169,17;64,27;206,4;01:42:45;2,61;2,75;7,37;6,7;19,93;4,33;45;37;142;149;2;149;492,12;36,78;29,37;36,57;00:00:44;64,27;00:01:13;00:00:09;00:05:57;00:00:49;00:01:13;00:01:19;00:03:37;00:03:26;
PALESI;6283;60;175;356;343;1123;5,37;16,21;14,89;99,11;115,26;64,98;103,63;01:45:16;1,83;1,58;5,66;5,47;17,87;2,78;26;10;101;112;0;112;396,66;32;26,05;33,91;00:00:28;64,98;00:00:49;00:00:02;00:05:20;00:00:24;00:00:49;00:00:45;00:02:53;00:02:49;
PINNA S.;6417;60;181;365;369;1165;5,44;16,33;10,28;112,54;126,99;62,51;128,79;01:46:10;1,98;1,75;5,69;5,75;18,16;2,83;35;24;111;119;0;119;392,3;32,88;26,64;34,67;00:00:30;62,51;00:00:53;00:00:01;00:05:29;00:00:31;00:00:53;00:00:49;00:02:49;00:02:51;
PISANO;6143;58;330;338;314;1062;5,14;15,08;5,06;98,72;112,8;66,11;158,58;01:46:21;1,84;1,61;5,5;5,11;17,3;5,37;26;26;108;95;0;95;429,23;31,12;24,84;32,83;00:00:54;66,11;00:00:46;00:00:00;00:04:42;00:00:36;00:00:46;00:00:42;00:02:38;00:02:27;
RAGATZU;6564;62;281;373;340;1183;5,55;15,57;18,73;109,72;106,68;62,9;136,07;01:45:45;1,63;1,67;5,69;5,18;18,02;4,28;25;18;113;100;0;100;491,57;32,03;26,47;35,23;00:00:46;62,9;00:00:47;00:00:02;00:05:22;00:00:32;00:00:47;00:00:49;00:02:59;00:02:44;
RENAULT ;7033;67;274;413;400;1456;6,04;17,1;30,02;111,01;142,4;61,73;143,24;01:45:35;2,02;1,58;5,87;5,69;20,7;3,89;43;28;122;136;1;136;596,28;35,49;27,04;38,25;00:00:44;61,73;00:00:58;00:00:04;00:06:34;00:00:34;00:00:58;00:00:49;00:03:12;00:03:07;
TRAVAGLINI;7147;68;195;414;404;1329;6,16;17,65;20,27;154,22;148,67;59,5;149,85;01:45:41;2,08;2,16;5,79;5,66;18,59;2,73;38;33;136;141;0;141;378,79;34;26,3;39,05;00:00:31;59,5;00:00:59;00:00:02;00:06:20;00:00:37;00:00:59;00:01:02;00:03:03;00:03:01;
UDHO;6877;66;263;463;448;1218;6,12;19,6;9,55;146,74;164,28;61,42;174,97;01:43:56;2,39;2,13;6,74;6,51;17,71;3,83;27;32;144;122;0;122;434,07;33,35;26,3;38,2;00:00:44;61,42;00:01:06;00:00:01;00:05:53;00:00:41;00:01:06;00:01:02;00:03:36;00:03:31;
