;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;2864;67;150;161;164;673;6,03;15,51;16,51;45,02;54,35;59,96;67,76;00:42:43;1,85;1,56;5,55;5,58;22,44;5,09;12,77;8,15;45,85;51,08;0,31;51,08;257,63;37,8;26,81;15,46;00:00:24;59,96;00:00:21;00:00:02;00:02:59;00:00:15;00:00:21;00:00:18;00:01:07;00:01:08;
BIANCU;2221;59;127;140;138;518;5,39;18,74;9,6;36,77;49,37;66,35;76,53;00:37:52;2,22;1,66;6,29;6,2;23,3;5,72;14;8;29;40;0;40;208,65;40,01;25,31;12,25;00:00:20;66,35;00:00:17;00:00:01;00:02:18;00:00:17;00:00:17;00:00:13;00:00:49;00:00:51;
BOCCIA;2477;99;138;143;157;673;9,02;17,92;26,96;37,22;52,8;44,03;60,43;00:25:04;2,13;1,5;5,77;6,35;27,19;5,58;15;6;42;61;0;61;171,42;43,52;28,34;13,56;00:00:21;44,03;00:00:20;00:00:03;00:03:00;00:00:12;00:00:20;00:00:14;00:00:57;00:01:04;
BRIGNANI;2302;61;134;117;133;616;5,54;17,83;10,84;33,5;48,62;65,45;43,58;00:37:52;2,11;1,46;5,1;5,76;26,73;5,8;15;8;35;43;0;43;196,75;41,95;26,01;12,6;00:00:21;65,45;00:00:18;00:00:01;00:02:44;00:00:09;00:00:18;00:00:14;00:00:51;00:00:52;
EMERSON;2324;75;126;145;145;549;6,85;18,41;19,84;42,5;44,49;57,45;64,03;00:31:05;1,91;1,83;6,25;6,25;23,63;5,42;9;10;50;53;0;53;184,97;40,39;26,19;12,78;00:00:20;57,45;00:00:16;00:00:02;00:02:27;00:00:14;00:00:16;00:00:17;00:00:59;00:00:56;
LA ROSA ;2594;68;144;133;136;720;6,12;15,4;0;35,65;38,17;62,87;46,1;00:37:52;1,47;1,37;5,14;5,23;27,77;5,56;5;3;39;46;0;46;315,97;43,2;22,63;13,9;00:00:24;62,87;00:00:16;00:00:00;00:03:08;00:00:10;00:00:16;00:00:14;00:00:55;00:00:57;
LELLA ;2497;78;218;186;175;680;7,45;22,62;47,37;64,04;63,62;58,09;109,05;00:31:50;2,55;2,56;7,43;6,99;27,23;8,73;21;17;51;63;2;63;251,76;45,69;29,37;14,22;00:00:34;58,09;00:00:24;00:00:06;00:02:54;00:00:25;00:00:24;00:00:25;00:01:10;00:01:07;
PALESI;2428;64;137;140;145;622;5,84;17,77;14,89;37,8;48,72;65,21;52,99;00:37:52;2,01;1,56;5,77;5,95;25,63;5,63;10;4;33;45;0;45;237,68;41,83;26,05;13,28;00:00:22;65,21;00:00:18;00:00:02;00:02:46;00:00:12;00:00:18;00:00:16;00:01:02;00:01:01;
PINNA S.;2540;82;81;150;169;630;7,54;18,7;10,28;42,56;55,66;53,12;52,85;00:30:57;2,19;1,68;5,89;6,64;24,8;3,2;15;8;41;57;0;57;193,31;41,63;26,64;14;00:00:13;53,12;00:00:22;00:00:01;00:02:56;00:00:12;00:00:22;00:00:17;00:01:01;00:01:10;
PISANO;2273;86;151;115;104;498;7,6;14,17;0;31,27;32,27;49,45;56,73;00:26:26;1,42;1,38;5,08;4,58;21,92;6,63;10;9;34;31;0;31;225,98;36,6;23,62;12,05;00:00:25;49,45;00:00:12;00:00:00;00:02:07;00:00:13;00:00:12;00:00:12;00:00:44;00:00:41;
RAGATZU;8093;46;340;408;386;1301;3,92;10,4;38,6;115,96;124,74;66,88;161,02;02:56:19;1,54;1,43;5,04;4,77;16,08;4,2;27;19;123;110;1;110;558,22;29,59;36,66;41,49;00:00:55;66,88;00:00:52;00:00:04;00:05:49;00:00:35;00:00:52;00:00:53;00:03:23;00:03:06;
RENAULT ;2780;111;211;161;173;893;10,12;17,83;27,3;34,42;55,61;40,84;61,14;00:25:03;2;1,24;5,78;6,24;32,12;7,6;13;6;46;53;1;53;429,65;48,57;27,04;15,21;00:00:34;40,84;00:00:21;00:00:03;00:03:43;00:00:13;00:00:21;00:00:14;00:01:01;00:01:06;
TRAVAGLINI;2519;79;47;125;133;573;7,13;16,73;2,38;40,96;43,74;53,15;45,64;00:31:55;1,74;1,63;4,96;5,28;22,73;1,89;6;6;38;32;0;32;174,96;38,6;24,34;13,66;00:00:07;53,15;00:00:17;00:00:00;00:02:41;00:00:11;00:00:17;00:00:16;00:00:52;00:00:55;
UDHO;2178;87;101;132;134;473;7,94;18,44;6,53;32,57;48,73;49,77;50,81;00:25:09;2,24;1,5;6,04;6,17;21,71;4,65;6;2;35;30;0;30;199,85;37,44;26,3;11,98;00:00:16;49,77;00:00:17;00:00:00;00:02:10;00:00:11;00:00:17;00:00:13;00:00:52;00:00:53;
