;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;965;91;9;58;56;172;8,35;17,51;0,68;16,68;20,25;43,74;14,22;00:10:33;2,01;1,72;5,82;5,59;16,38;0,87;5,92;3,31;17,15;18,92;0;18,92;38,21;30,63;20,42;5,29;00:00:01;43,74;00:00:08;00:00:00;00:00:53;00:00:03;00:00:08;00:00:07;00:00:27;00:00:26;
ARBOLEDA;1116;106;19;91;99;279;10,54;28,93;5,92;36,82;45,43;37,59;32,54;00:10:33;4,07;3,3;8,12;8,83;24,96;1,66;17;12;36;38;0;38;56,92;44,58;25,58;6,68;00:00:02;37,59;00:00:17;00:00:00;00:01:24;00:00:08;00:00:17;00:00:16;00:00:40;00:00:42;
BIANCU;1198;113;2;68;68;228;10,28;17,17;0;13,43;24,04;28,78;14,12;00:10:33;2,01;1,12;5,68;5,66;19,03;0,16;5;2;15;19;0;19;57,29;34,28;19,29;6,52;00:00:00;28,78;00:00:09;00:00:00;00:01:11;00:00:03;00:00:09;00:00:06;00:00:28;00:00:28;
BOCCIA;666;63;0;44;39;68;5,71;17,08;0;16,79;10,34;59,83;4,74;00:10:33;1,55;2,52;6,62;5,92;10,25;0;0;4;18;17;0;17;0;23,2;15,79;3,62;00:00:00;59,83;00:00:05;00:00:00;00:00:26;00:00:01;00:00:05;00:00:08;00:00:26;00:00:24;
BRIGNANI;1114;105;6;68;66;212;9,68;18,6;0;17,41;25,28;33,12;12,91;00:10:33;2,27;1,56;6,1;5,93;19,04;0,53;7;2;17;25;0;25;36,91;34,87;21,42;6,13;00:00:01;33,12;00:00:09;00:00:00;00:01:05;00:00:03;00:00:09;00:00:08;00:00:29;00:00:28;
CHIERICO;1240;117;4;73;66;244;10,58;16,54;0;18,76;19,59;26,68;9,87;00:10:33;1,58;1,51;5,93;5,3;19,69;0,35;4;1;14;19;0;19;27,24;35,35;21,05;6,71;00:00:00;26,68;00:00:09;00:00:00;00:01:20;00:00:02;00:00:09;00:00:09;00:00:35;00:00:31;
EMERSON;1087;103;3;64;67;164;9,47;18,96;0;19,35;25,61;30,78;14,96;00:10:33;2,36;1,78;5,93;6,12;15,05;0,3;12;3;23;24;0;24;20,5;30,66;21,13;6,01;00:00:00;30,78;00:00:11;00:00:00;00:00:54;00:00:04;00:00:11;00:00:08;00:00:29;00:00:30;
LA ROSA ;1077;102;0;42;38;157;8,79;11,4;0;5,86;7,95;33,38;2,27;00:10:33;0,74;0,54;3,86;3,54;14,6;0;1;0;8;13;0;13;26,64;25,55;18,9;5,57;00:00:00;33,38;00:00:04;00:00:00;00:00:51;00:00:00;00:00:04;00:00:03;00:00:22;00:00:21;
MANCINI;522;49;3;23;19;40;4,28;11,95;0;7,72;7,32;73,83;5,72;00:10:33;1,4;1,48;4,4;3,62;7,68;0,58;2;2;6;9;0;9;15,45;16,74;19,61;2,71;00:00:00;73,83;00:00:03;00:00:00;00:00:12;00:00:01;00:00:03;00:00:03;00:00:15;00:00:12;
PINNA S.;1197;113;26;76;77;277;10,37;18,27;0;14,23;27,96;31,84;22,34;00:10:33;2,34;1,19;6,38;6,47;23,16;2,19;11;1;20;24;0;24;112,78;38,9;21,64;6,57;00:00:04;31,84;00:00:11;00:00:00;00:01:18;00:00:05;00:00:11;00:00:06;00:00:31;00:00:33;
PISANO;849;80;32;56;52;143;7,5;20,6;2,13;20,15;22,81;52,11;28,16;00:10:33;2,69;2,37;6,65;6,17;16,84;3,81;7;4;14;16;0;16;49,47;32,98;24,96;4,76;00:00:05;52,11;00:00:07;00:00:00;00:00:41;00:00:06;00:00:07;00:00:07;00:00:22;00:00:20;
RAGATZU;837;79;0;53;48;127;7,29;18,9;0;17;16,12;47,85;12,29;00:10:33;1,93;2,03;6,3;5,79;15,22;0;5;6;21;14;0;14;16,79;30,9;17,88;4,62;00:00:00;47,85;00:00:07;00:00:00;00:00:41;00:00:03;00:00:07;00:00:08;00:00:25;00:00:22;
TRAVAGLINI;1174;111;20;78;76;272;10,33;20,14;0,84;26,35;26,55;33,84;24,81;00:10:33;2,26;2,24;6,68;6,51;23,13;1,71;4;5;27;22;0;22;76,76;40,84;24,21;6,55;00:00:03;33,84;00:00:10;00:00:00;00:01:20;00:00:06;00:00:10;00:00:10;00:00:33;00:00:32;
UDHO;465;44;0;14;13;20;3,71;9,11;0;2,97;4,24;79,04;0,07;00:10:33;0,91;0,64;2,99;2,84;4,23;0;2;1;4;6;0;6;0;9,41;14;2,35;00:00:00;79,04;00:00:02;00:00:00;00:00:07;00:00:00;00:00:02;00:00:02;00:00:11;00:00:09;
