;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;4740;59;163;184;168;617;5,08;10,69;41,71;52,23;44,3;64,01;70,26;01:20:00;0,93;1,09;3,84;3,53;12,91;3,37;10,21;11,64;59,5;50,29;1,29;50,29;218,47;23,36;26,45;24,38;00:00:25;64,01;00:00:19;00:00:05;00:02:46;00:00:16;00:00:19;00:00:23;00:01:30;00:01:22;
ARBOLEDA;5197;65;317;273;223;859;5,73;14,06;60,15;97,79;58,27;61,45;138,68;01:20:03;1,12;1,88;5,25;4,29;16,52;6,1;16;28;92;66;1;66;381;30,17;30,4;27,53;00:00:50;61,45;00:00:25;00:00:08;00:03:39;00:00:32;00:00:25;00:00:41;00:02:02;00:01:43;
BIANCU;5059;63;201;191;165;678;5,39;10,31;68,88;50,96;37,9;63,12;86,59;01:20:03;0,75;1,01;3,78;3,26;13,4;3,98;5;12;62;54;2;54;223,5;24,1;28,51;25,91;00:00:30;63,12;00:00:15;00:00:09;00:02:59;00:00:18;00:00:15;00:00:21;00:01:26;00:01:14;
BOCCIA;4605;58;22;164;160;457;4,92;10,42;0,98;44,03;32,38;62,7;42,11;01:20:03;0,7;0,96;3,57;3,47;9,93;0,47;5;13;49;42;0;42;127,94;19,33;24,32;23,61;00:00:03;62,7;00:00:16;00:00:00;00:02:20;00:00:11;00:00:16;00:00:20;00:01:30;00:01:25;
BRIGNANI;4683;59;49;174;151;510;5,05;10,37;0;46,65;40,21;61,81;44,11;01:19:09;0,86;1;3,71;3,23;10,88;1,05;14;8;60;53;0;53;163,33;21,25;21,67;24,01;00:00:08;61,81;00:00:18;00:00:00;00:02:34;00:00:11;00:00:18;00:00:23;00:01:31;00:01:18;
CHIERICO;5206;65;169;201;192;709;5,61;11,54;30,52;71,13;61,82;58,65;72,88;01:20:03;1,19;1,37;3,86;3,69;13,62;3,25;17;14;65;60;1;60;217,17;24,76;27,53;26,97;00:00:26;58,65;00:00:27;00:00:04;00:03:17;00:00:17;00:00:27;00:00:32;00:01:43;00:01:36;
EMERSON;4325;54;21;163;155;347;4,62;11,26;0;41,16;45,42;66,59;32,77;01:20:33;1,05;0,95;3,77;3,58;8,02;0,49;9;10;40;49;0;49;116,73;16,49;21,72;22,35;00:00:03;66,59;00:00:23;00:00:00;00:01:56;00:00:08;00:00:23;00:00:20;00:01:40;00:01:38;
LA ROSA ;4102;51;16;103;67;353;4,22;6,34;0;29,13;11,5;69,04;18,13;01:20:03;0,28;0,71;2,51;1,62;8,61;0,39;1;5;33;18;0;18;81,05;15,95;19,94;20,26;00:00:02;69,04;00:00:06;00:00:00;00:01:46;00:00:05;00:00:06;00:00:14;00:01:01;00:00:46;
LELLA ;5374;67;332;227;213;790;5,8;11,64;111,44;77,65;61,44;60,35;130,88;01:20:02;1,14;1,44;4,21;3,97;14,7;6,17;15;18;67;61;3;61;244,35;26,19;30,21;27,86;00:00:50;60,35;00:00:22;00:00:14;00:03:15;00:00:27;00:00:22;00:00:30;00:01:40;00:01:30;
MANCINI;4890;61;146;200;193;656;5,25;11,06;31,29;49,69;52,81;64,38;74,94;01:20:03;1,08;1,02;4,1;3,95;13,42;2,98;15;11;71;61;1;61;256,99;24,39;27,09;25,22;00:00:23;64,38;00:00:22;00:00:04;00:02:59;00:00:16;00:00:22;00:00:20;00:01:30;00:01:27;
PINNA S.;4611;58;268;190;173;702;4,94;10,92;59,65;44,61;49,85;64,58;80,13;01:20:03;1,08;0,97;4,12;3,75;15,23;5,81;14;7;58;48;1;48;324,84;26,03;28,55;23,75;00:00:42;64,58;00:00:20;00:00:07;00:02:53;00:00:17;00:00:20;00:00:18;00:01:30;00:01:22;
PISANO;4109;52;247;147;171;675;4,46;10,38;102,34;41,03;41,8;68,02;66,91;01:18:44;1,02;1;3,57;4,17;16,41;6,01;8;7;56;48;4;48;224,77;27,31;28,51;21,06;00:00:37;68,02;00:00:16;00:00:13;00:02:46;00:00:13;00:00:16;00:00:18;00:01:10;00:01:15;
RAGATZU;4384;55;182;155;144;550;4,66;10,02;59,51;40,67;37,95;66,62;60,82;01:20:03;0,87;0,93;3,53;3,28;12,54;4,15;6;9;62;42;2;42;166,57;22,13;29,56;22,4;00:00:27;66,62;00:00:17;00:00:07;00:02:26;00:00:13;00:00:17;00:00:17;00:01:21;00:01:13;
TRAVAGLINI;4993;62;182;188;145;645;5,3;9,7;53,89;53,6;32,02;63,18;64,87;01:20:03;0,64;1,07;3,76;2,9;12,92;3,64;2;13;58;37;3;37;231,91;23,26;27,29;25,44;00:00:27;63,18;00:00:14;00:00:07;00:02:51;00:00:15;00:00:14;00:00:23;00:01:29;00:01:11;
UDHO;4818;59;133;195;202;702;5,13;11,62;5,28;43,16;56,81;65,6;69,77;01:21:06;1,18;0,9;4,05;4,19;14,57;2,75;16;8;60;65;0;65;298,43;25,79;24,95;24,97;00:00:21;65,6;00:00:22;00:00:00;00:03:09;00:00:15;00:00:22;00:00:18;00:01:31;00:01:27;
