;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;1856;91;67;94;91;354;8,06;16,17;11,4;28,17;28,84;43,49;33,17;00:20:28;1,78;1,71;5,58;5,31;17,85;3,22;7,42;4,67;27,58;27,67;0,17;27,67;99,84;31,86;23,37;9,9;00:00:10;43,49;00:00:12;00:00:01;00:01:40;00:00:07;00:00:12;00:00:12;00:00:41;00:00:40;
ARBOLEDA;2293;107;154;157;162;545;10,07;21,05;29,15;54,26;55,43;34,98;82,98;00:21:20;2,42;2,37;6,84;7,07;23,76;6,74;11;11;51;55;0;55;143,95;41,49;26,09;12,89;00:00:24;34,98;00:00:22;00:00:04;00:02:29;00:00:18;00:00:22;00:00:22;00:01:03;00:01:05;
BIANCU;2275;107;114;99;91;445;9,31;12,88;11,56;27,23;27,47;35,2;43,63;00:21:20;1,21;1,2;4,35;4,01;19,57;5,01;4;4;22;19;0;19;135,18;33,33;25,25;11,92;00:00:18;35,2;00:00:09;00:00:01;00:01:57;00:00:10;00:00:09;00:00:09;00:00:35;00:00:34;
BOCCIA;2131;100;61;107;105;396;8,92;15,33;0;33,27;37,22;37,31;27,7;00:21:20;1,75;1,56;5,01;4,94;18,59;2,86;7;6;39;32;0;32;103,02;32,83;23,74;11,42;00:00:10;37,31;00:00:16;00:00:00;00:01:57;00:00:07;00:00:16;00:00:16;00:00:51;00:00:51;
CHIERICO;2291;107;60;98;104;418;9,43;13,44;1,39;28,75;31,66;31,14;29,4;00:21:20;1,38;1,25;4,26;4,52;18,23;2,63;9;4;29;36;0;36;134,11;31,77;24,22;12,07;00:00:10;31,14;00:00:13;00:00:00;00:02:00;00:00:07;00:00:13;00:00:13;00:00:44;00:00:46;
EMERSON;1825;86;19;73;69;232;7,39;11,56;4,54;24,24;19,22;42,99;21,88;00:21:20;1,05;1,33;4,02;3,78;12,69;1,04;5;3;19;19;0;19;34,2;24,03;24,82;9,46;00:00:02;42,99;00:00:08;00:00:00;00:01:12;00:00:04;00:00:08;00:00:11;00:00:40;00:00:35;
LA ROSA ;2299;108;49;92;90;469;9,37;12,3;6,34;22,24;24,27;35,61;20,52;00:21:20;1,06;0,97;4;3,93;20,38;2,11;9;7;28;33;0;33;141,85;34,05;25,42;11,99;00:00:08;35,61;00:00:10;00:00:00;00:02:13;00:00:05;00:00:10;00:00:10;00:00:41;00:00:42;
LELLA ;965;88;12;107;103;232;8,8;29,48;0;39,99;34,65;48,69;19,04;00:10:59;3,59;4,14;11,11;10,66;24;1,24;6;4;31;29;0;29;50,44;45,1;20,84;5,8;00:00:02;48,69;00:00:17;00:00:00;00:01:17;00:00:05;00:00:17;00:00:20;00:00:56;00:00:54;
MANCINI;2091;98;44;97;102;393;8,68;14,44;0;22,93;30,92;40,63;28,25;00:21:20;1,48;1,1;4,64;4,87;18,82;2,11;12;2;22;31;0;31;124,28;32,74;22,92;11,11;00:00:07;40,63;00:00:11;00:00:00;00:01:52;00:00:06;00:00:11;00:00:09;00:00:40;00:00:44;
PINNA S.;21;1;0;2;2;1;0,1;29,89;0;0,75;0,87;99,29;0;00:21:20;4,17;3,59;10,81;9,26;6,48;0;0;0;0;2;0;2;0;17,55;8,56;0,13;00:00:00;99,29;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01;00:00:01;
PISANO;1842;86;79;82;86;296;7,53;12,73;40,37;24,68;28,53;43,15;35,51;00:21:20;1,55;1,34;4,48;4,66;16,08;4,28;10;5;28;29;2;29;72,31;28,79;27,71;9,64;00:00:11;43,15;00:00:11;00:00:05;00:01:21;00:00:07;00:00:11;00:00:10;00:00:34;00:00:36;
RAGATZU;2022;95;70;91;73;362;8,22;12,06;3,5;25,2;23,85;38,47;35,4;00:21:20;1,18;1,25;4,5;3,61;17,92;3,44;8;5;30;22;0;22;118,61;31,38;24,45;10,52;00:00:11;38,47;00:00:09;00:00:00;00:01:39;00:00:07;00:00:09;00:00:10;00:00:38;00:00:33;
TRAVAGLINI;2217;104;137;123;110;457;9,27;15,27;39,89;34,51;31,97;36,95;53,71;00:21:20;1,44;1,56;5,56;4,96;20,63;6,2;8;5;32;25;0;25;140,18;35,67;26,4;11,87;00:00:21;36,95;00:00:13;00:00:05;00:02:02;00:00:11;00:00:13;00:00:13;00:00:49;00:00:43;
