;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;1958;61;51;90;82;265;5,3;12,26;9,55;27,61;26,21;62,05;32,61;00:32:10;1,29;1,35;4,5;4,06;13,07;2,46;7,54;5,15;27,31;29,23;0,23;29,23;84,65;24,92;24,89;10,23;00:00:08;62,05;00:00:11;00:00:01;00:01:16;00:00:07;00:00:11;00:00:12;00:00:41;00:00:37;
ARBOLEDA;2534;78;169;172;167;518;7,32;20,48;40,94;65,94;68,76;49,82;91,74;00:32:17;2,71;2,6;6,77;6,59;20,43;6,68;18;14;47;66;1;66;185,5;37,07;28,79;14,18;00:00:26;49,82;00:00:27;00:00:05;00:02:19;00:00:20;00:00:27;00:00:27;00:01:13;00:01:09;
BIANCU;1705;53;43;56;50;174;4,47;9,28;20,07;15,43;9,57;70,89;26,09;00:32:17;0,56;0,9;3,31;2,91;10,22;2,54;0;3;20;14;0;14;29,61;19,93;28,58;8,65;00:00:06;70,89;00:00:04;00:00:02;00:00:52;00:00:05;00:00:04;00:00:06;00:00:27;00:00:22;
BOCCIA;1983;61;25;110;88;220;5,39;13,36;1,54;33,74;25,33;59,16;18,55;00:32:17;1,28;1,7;5,53;4,45;11,08;1,26;8;4;42;35;0;35;52,94;23,27;24,55;10,44;00:00:04;59,16;00:00:12;00:00:00;00:01:13;00:00:04;00:00:12;00:00:16;00:00:58;00:00:47;
CHIERICO;2153;67;66;89;79;331;5,75;11,42;5,31;23,81;31,08;56,06;29,86;00:32:17;1,44;1,11;4,14;3,67;15,35;3,08;9;1;24;28;0;28;95,27;27,42;26,29;11,14;00:00:10;56,06;00:00:11;00:00:00;00:01:32;00:00:06;00:00:11;00:00:11;00:00:38;00:00:34;
EMERSON;1710;53;10;70;66;201;4,54;10,77;0;15,79;17,4;66,91;12,45;00:32:17;1,02;0,92;4,07;3,85;11,74;0,57;4;1;21;25;0;25;70,1;22,23;20,14;8,79;00:00:01;66,91;00:00:08;00:00:00;00:01:03;00:00:02;00:00:08;00:00:08;00:00:38;00:00:33;
LA ROSA ;2216;72;38;95;85;304;6,21;11,57;0;27,51;20,97;56,1;22,07;00:30:49;0,95;1,24;4,27;3,85;13,74;1,7;5;3;24;31;0;31;96,27;25,78;23,09;11,48;00:00:06;56,1;00:00:09;00:00:00;00:01:30;00:00:05;00:00:09;00:00:11;00:00:43;00:00:39;
LELLA ;2051;64;55;123;97;356;5,71;16,09;12,55;43,2;36,92;62,38;53,36;00:32:17;1,8;2,11;6,02;4,73;17,36;2,69;13;9;36;32;0;32;140,64;33,57;25,79;11,06;00:00:09;62,38;00:00:15;00:00:01;00:01:40;00:00:13;00:00:15;00:00:17;00:00:50;00:00:38;
MANCINI;1450;45;30;49;46;134;3,79;8,92;0;9,85;12,59;73,66;9,7;00:32:17;0,87;0,68;3,37;3,19;9,24;2,09;3;1;15;14;0;14;34,14;18,06;23,43;7,34;00:00:05;73,66;00:00:05;00:00:00;00:00:40;00:00:02;00:00:05;00:00:04;00:00:25;00:00:22;
PINNA S.;2394;74;97;97;106;372;6,43;12,04;25,46;30,6;34,99;49,57;47,01;00:32:17;1,46;1,28;4,07;4,43;15,53;4,06;15;5;31;30;1;30;118,3;27,42;25,57;12,46;00:00:15;49,57;00:00:13;00:00:03;00:01:39;00:00:09;00:00:13;00:00:10;00:00:40;00:00:46;
PISANO;2029;63;32;99;86;245;5,44;11,85;0;28,85;23,32;59,95;27,02;00:32:17;1,15;1,42;4,86;4,26;12,08;1,6;9;8;35;34;0;34;85,1;24,04;22,78;10,54;00:00:05;59,95;00:00:11;00:00:00;00:01:13;00:00:06;00:00:11;00:00:13;00:00:47;00:00:43;
RAGATZU;1686;52;31;86;77;206;4,58;13,4;0,28;22,65;23,37;68,48;33,21;00:32:17;1,39;1,34;5,08;4,57;12,19;1,85;5;8;24;28;0;28;83,76;24,22;24,05;8,88;00:00:05;68,48;00:00:09;00:00:00;00:01:00;00:00:08;00:00:09;00:00:10;00:00:40;00:00:37;
TRAVAGLINI;2114;65;49;75;66;244;5,58;10,14;17,98;28,4;20,89;56,81;34,46;00:32:17;0,99;1,34;3,56;3,12;11,56;2,31;7;9;21;25;1;25;75,99;22,55;27,66;10,81;00:00:07;56,81;00:00:08;00:00:02;00:01:08;00:00:08;00:00:08;00:00:12;00:00:35;00:00:29;
UDHO;1424;44;22;48;45;134;3,75;10,02;0;13,18;15,54;76,54;18,42;00:32:17;1,09;0,93;3,39;3,19;9,43;1,57;2;1;15;18;0;18;32,78;18,43;22,9;7,27;00:00:03;76,54;00:00:06;00:00:00;00:00:40;00:00:03;00:00:06;00:00:04;00:00:22;00:00:22;
