;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;560;100;6;34;36;106;9,17;18,57;0;9,19;12,07;38,17;8,9;00:05:37;2,07;1,62;5,97;6,34;18,29;1,09;3;1,15;9,85;12,77;0;12,77;28,14;33,24;19,84;3,09;00:00:01;38,17;00:00:04;00:00:00;00:00:32;00:00:02;00:00:04;00:00:04;00:00:15;00:00:16;
ARBOLEDA;569;101;19;53;53;132;10,02;27,96;0;16,46;19,99;39,35;21,8;00:05:37;3,52;2,89;9,23;9,37;23,19;3,39;5;5;21;14;0;14;46,71;44,24;22,08;3,38;00:00:03;39,35;00:00:07;00:00:00;00:00:39;00:00:05;00:00:07;00:00:06;00:00:19;00:00:19;
BRIGNANI;540;96;13;28;32;102;8,66;16,49;0;4,93;10,78;39,52;4,11;00:05:37;2;0,91;5,2;5,91;18,91;2,33;3;0;5;14;0;14;38,65;32,96;20,15;2,92;00:00:02;39,52;00:00:04;00:00:00;00:00:29;00:00:01;00:00:04;00:00:02;00:00:12;00:00:13;
CHIERICO;711;127;0;36;41;152;11,56;17,93;0;9,68;14,61;24,11;3,41;00:05:37;2,05;1,36;5,08;5,78;21,38;0;6;1;12;16;0;16;18,02;37,36;17,72;3,9;00:00:00;24,11;00:00:06;00:00:00;00:00:48;00:00:01;00:00:06;00:00:04;00:00:17;00:00:18;
EMERSON;567;101;11;41;45;130;9,55;22,39;0;8,98;22,24;37,91;16,74;00:05:37;3,93;1,58;7,2;7,86;22,99;2;6;1;14;15;0;15;49,65;39,25;22,68;3,22;00:00:01;37,91;00:00:07;00:00:00;00:00:36;00:00:03;00:00:07;00:00:03;00:00:15;00:00:17;
GIANDONATO;589;105;0;16;27;90;9,08;11,9;0;0,45;6,53;33,05;0;00:05:37;1,11;0,08;2,71;4,64;15,24;0;2;0;5;10;0;10;20,49;25,32;18,79;3,06;00:00:00;33,05;00:00:03;00:00:00;00:00:28;00:00:00;00:00:03;00:00:00;00:00:08;00:00:15;
LADINETTI;611;109;7;31;43;122;9,91;17,85;0;7,52;11,74;33,05;6,66;00:05:37;1,92;1,23;5,15;6,96;20,04;1,08;3;0;6;18;0;18;15,4;34,18;21,87;3,34;00:00:01;33,05;00:00:05;00:00:00;00:00:37;00:00:01;00:00:05;00:00:03;00:00:14;00:00:19;
LELLA ;648;115;4;48;49;145;11,07;24,01;0;15,91;18,72;29,63;15,15;00:05:37;2,89;2,45;7,48;7,54;22,32;0,57;2;1;12;21;0;21;28,97;41,05;19,62;3,73;00:00:00;29,63;00:00:07;00:00:00;00:00:45;00:00:04;00:00:07;00:00:06;00:00:20;00:00:21;
MANCINI;616;110;1;39;42;124;10,22;20,44;0;13,69;10,84;31,1;9,8;00:05:37;1,76;2,22;6,27;6,75;20,19;0,2;2;3;9;15;0;15;34,74;36,86;19,29;3,44;00:00:00;31,1;00:00:05;00:00:00;00:00:37;00:00:02;00:00:05;00:00:05;00:00:17;00:00:19;
PINNA S.;601;107;12;47;52;145;10,28;24,21;0;11,47;21,91;35,66;14,4;00:05:37;3,64;1,91;7,77;8,57;24,06;1,95;8;2;17;18;0;18;50,22;41,6;21,38;3,47;00:00:02;35,66;00:00:08;00:00:00;00:00:42;00:00:03;00:00:08;00:00:05;00:00:19;00:00:22;
PISANO;407;73;0;19;18;32;6,29;12,14;0;5,79;3,72;51,19;3,19;00:05:37;0,91;1,42;4,63;4,31;7,85;0;0;1;6;5;0;5;3,57;18,15;18,64;2,12;00:00:00;51,19;00:00:02;00:00:00;00:00:11;00:00:00;00:00:02;00:00:02;00:00:10;00:00:11;
RAGATZU;384;68;0;14;14;28;5,85;10,64;0;3,9;2,55;54,14;2,11;00:05:37;0,66;1,02;3,72;3,7;7,32;0;0;1;4;5;0;5;0,18;15,59;16;1,97;00:00:00;54,14;00:00:01;00:00:00;00:00:10;00:00:00;00:00:01;00:00:01;00:00:08;00:00:08;
TRAVAGLINI;514;91;13;36;32;113;8,45;19,35;0;11,71;8,57;46,98;13,82;00:05:37;1,67;2,28;7,08;6,27;22,04;2,55;1;0;11;9;0;9;49,51;40,14;20,68;2,85;00:00:02;46,98;00:00:03;00:00:00;00:00:32;00:00:03;00:00:03;00:00:04;00:00:14;00:00:12;
UDHO;519;92;0;32;25;63;8,3;16,04;0;8,96;4,68;40,53;4,52;00:05:37;0,9;1,73;6,1;4,78;12,23;0,04;1;0;6;6;0;6;9,71;25,36;19,03;2,8;00:00:00;40,53;00:00:01;00:00:00;00:00:22;00:00:01;00:00:01;00:00:04;00:00:16;00:00:13;
