;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;540;92;6;31;33;89;8,33;16,74;0;8,51;9,26;42,09;7,54;00:05:53;1,6;1,56;5,66;5,8;15,55;0,96;2,7;1,4;9,7;11;0;11;20,95;29,03;18,65;2,94;00:00:00;42,09;00:00:04;00:00:00;00:00:28;00:00:01;00:00:04;00:00:03;00:00:14;00:00:15;
ARBOLEDA;581;99;25;54;59;137;9,87;29,25;0;22,78;24,16;40,6;22,51;00:05:53;4,16;3,92;9,21;10,08;23,62;4,35;6;5;18;25;0;25;41,73;43,7;23,9;3,49;00:00:04;40,6;00:00:09;00:00:00;00:00:41;00:00:05;00:00:09;00:00:09;00:00:22;00:00:25;
BRIGNANI;507;86;0;20;20;65;7,38;10,81;0;2,64;2,07;43,5;0,55;00:05:53;0,41;0,52;4,01;3,86;12,88;0;0;1;5;4;0;4;7,21;24,07;18,89;2,61;00:00:00;43,5;00:00:01;00:00:00;00:00:22;00:00:00;00:00:01;00:00:01;00:00:10;00:00:10;
EMERSON;643;109;21;36;38;155;9,89;17,05;0;2,83;10,7;36,34;10,56;00:05:53;1,67;0,44;5,65;5,96;24,05;3,22;4;0;10;10;0;10;38,56;39,85;22,87;3,49;00:00:03;36,34;00:00:03;00:00:00;00:00:42;00:00:02;00:00:03;00:00:01;00:00:14;00:00:15;
GIANDONATO;515;88;0;15;15;46;7,44;9,72;0;3,73;3,09;39,75;0,96;00:05:53;0,6;0,72;2,91;2,93;8,87;0;0;0;6;5;0;5;0,28;16,92;16,1;2,63;00:00:00;39,75;00:00:01;00:00:00;00:00:15;00:00:00;00:00:01;00:00:01;00:00:07;00:00:09;
LADINETTI;533;91;0;27;22;51;7,95;13,44;0;6,85;4,06;39,37;1,93;00:05:53;0,76;1,29;4,99;4,12;9,49;0;1;0;8;6;0;6;0;20,27;14,49;2,81;00:00:00;39,37;00:00:03;00:00:00;00:00:19;00:00:00;00:00:03;00:00:03;00:00:16;00:00:14;
PINNA S.;663;113;8;49;64;175;10,78;23,58;0;9,74;21,22;32,27;13,33;00:05:53;3,2;1,47;7,38;9,65;26,46;1,17;8;2;13;27;0;27;66,02;43,91;19,82;3,81;00:00:01;32,27;00:00:09;00:00:00;00:00:51;00:00:03;00:00:09;00:00:03;00:00:19;00:00:26;
PISANO;474;81;4;26;26;48;7,14;14,45;0;6,86;6,67;45,75;7,47;00:05:53;1,41;1,45;5,42;5,58;10,21;0,89;2;1;7;9;0;9;13,15;22,22;21,14;2,52;00:00:00;45,75;00:00:03;00:00:00;00:00:16;00:00:01;00:00:03;00:00:02;00:00:11;00:00:13;
RAGATZU;552;94;0;32;37;91;8,55;17,76;0;9,33;9,81;39,17;7,18;00:05:53;1,78;1,69;5,74;6,76;16,43;0;5;0;10;15;0;15;27,55;30,18;18,31;3,02;00:00:00;39,17;00:00:05;00:00:00;00:00:28;00:00:01;00:00:05;00:00:04;00:00:15;00:00:17;
TRAVAGLINI;576;98;0;42;35;113;9,16;20,86;0;15,28;9,22;40,82;10,11;00:05:53;1,6;2,65;7,33;6,08;19,61;0;1;4;15;8;0;8;14,95;38,6;18,83;3,23;00:00:00;40,82;00:00:04;00:00:00;00:00:36;00:00:03;00:00:04;00:00:07;00:00:19;00:00:15;
UDHO;352;60;0;14;10;14;5,12;10,49;0;5,09;1,62;63,34;0,82;00:05:53;0,46;1,45;3,99;2,97;3,86;0;0;1;5;1;0;1;0;10,61;12,19;1,81;00:00:00;63,34;00:00:01;00:00:00;00:00:06;00:00:00;00:00:01;00:00:03;00:00:11;00:00:08;
