;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1594;60;203;99;87;348;5,71;21,97;14,42;35,92;30,53;0;45,88;00:26:23;1,89;2,23;6,18;5,43;21,79;12,9;9,93;8,86;31,71;31,14;1,57;31,14;127,86;36,6;0;
BIANCU;1193;45;100;74;66;225;4,28;22,8;0;34,48;19,56;0;27,5;00:26:30;1,64;2,89;6,2;5,54;18,89;8,36;4;12;26;22;0;22;73,65;34,74;0;
CETER;1522;57;293;116;88;418;5,6;26,24;3,47;50,65;33,16;0;59,98;00:26:33;2,18;3,33;7,63;5,76;27,47;19,24;13;17;36;35;1;35;232,78;47,04;0;
CUSUMANO;1507;57;67;70;79;204;5,22;19,09;0;19,18;30;0;9,72;00:26:36;1,99;1,27;4,64;5,25;13,5;4,48;8;2;16;34;0;34;59,37;23,34;0;
MARTINIELLO;1574;60;326;137;97;426;5,91;27,09;0;50,41;32,13;0;70,56;00:26:11;2,04;3,2;8,72;6,14;27,05;20,71;13;11;41;28;0;28;245,87;45,33;0;
MASTINO;1748;67;168;106;90;327;6,3;22,08;45,26;40,67;36,53;0;53,55;00:26:12;2,09;2,33;6,08;5,15;18,72;9,63;12;12;45;37;3;37;86,36;32,77;0;
MURONI;2261;82;56;104;79;371;7,34;15,99;0;29,53;23,65;0;12,08;00:27:39;1,05;1,31;4,58;3,51;16,42;2,48;6;3;37;28;0;28;40,42;28,48;0;
PENNINGTON;1618;66;182;84;92;385;6,23;21,14;3,44;23,16;33,59;0;43,6;00:24:22;2,08;1,43;5,18;5,66;23,81;11,27;11;5;26;28;0;28;117,86;38,27;0;
PINNA S.;1118;41;143;52;46;224;3,68;17,25;30,39;15,69;16,67;0;25,63;00:27:35;1,49;1,4;4,61;4,09;19,99;12,78;4;4;12;19;5;19;58,36;32;0;
PISANO;1522;58;48;68;66;189;5,26;17,28;0;17,22;23,1;0;8,57;00:26:16;1,52;1,13;4,47;4,37;12,43;3,16;8;3;17;26;0;26;48,05;22,13;0;
PITZALIS;1022;40;168;53;50;234;3,74;19,49;40,41;19,18;16,14;0;27,44;00:25:15;1,58;1,88;5,21;4,91;22,92;16,44;5;3;16;15;4;15;77,24;35,81;0;
RAGATZU;1319;49;215;91;78;320;4,62;21,49;0;30,55;19,17;0;37,02;00:26:49;1,45;2,32;6,91;5,95;24,25;16,28;7;5;28;29;0;29;149,55;41,39;0;
SENESI;2464;93;366;161;132;593;8,83;22,71;0;62,43;39,55;0;77,16;00:26:30;1,6;2,53;6,53;5,34;24,07;14,87;14;18;53;42;0;42;249,36;41,46;0;
TETTEH;1345;51;275;98;89;374;4,97;24,99;5,53;36,23;32,29;0;56,99;00:26:11;2,4;2,69;7,25;6,64;27,8;20,45;9;10;25;33;1;33;145,37;44,41;0;
VALLOCCHIA;2105;79;431;178;162;583;7,91;29,9;73,4;73,54;71,91;0;132,57;00:26:46;3,42;3,49;8,45;7,68;27,71;20,49;25;19;66;60;8;60;205,74;45,18;0;
