;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;8146;84;1146;410;383;2014;7,81;19,65;143,83;149,02;129,03;0;195,53;01:36:33;1,58;1,82;5,04;4,7;24,52;13,97;38,6;33,7;114,2;127;3,9;127;701,73;38,76;0;
BIANCU;9344;97;1198;482;437;2343;8,97;19,78;170,34;177,61;141,48;0;227,05;01:36:33;1,51;1,9;5,16;4,68;25,07;12,82;45;46;122;142;5;142;729,41;40,03;0;
GOZZI;6724;70;681;345;331;1385;6,46;19,79;51,7;115,67;103,88;0;108,69;01:36:33;1,54;1,72;5,13;4,92;20,59;10,13;32;13;78;114;2;114;500,23;33,53;0;
LELLA ;9138;95;1410;465;477;2372;8,86;20,94;146,87;185,3;179,12;0;246,88;01:36:33;1,96;2,03;5,09;5,22;25,96;15,43;54;44;140;158;4;158;819,04;40,75;0;
MASTINO;8227;85;1179;464;443;2091;8,06;22,27;179,05;176,41;171,89;0;247,28;01:36:33;2,09;2,14;5,64;5,39;25,41;14,33;52;54;144;169;4;169;706,68;40,98;0;
MURONI;9770;101;1418;466;403;2678;9,31;18,81;92,42;171,53;131,46;0;163,22;01:36:33;1,35;1,76;4,77;4,12;27,41;14,51;45;41;165;157;3;157;1018,36;42,35;0;
OGUNSEYE;8280;86;1188;404;384;2020;7,93;19,42;176,04;153,98;120,31;0;222,68;01:36:33;1,45;1,86;4,88;4,63;24,4;14,35;32;32;90;118;4;118;730,85;38,4;0;
PARIGI;6370;66;1018;356;322;1631;6,15;20,46;165,2;123,37;109,39;0;180,44;01:36:33;1,72;1,94;5,59;5,06;25,6;15,97;31;27;82;91;4;91;607,77;40,2;0;
PENNINGTON;8176;85;1683;370;379;2451;7,83;19,42;201,86;123,68;125,06;0;240,09;01:36:33;1,53;1,51;4,53;4,63;29,97;20,58;35;25;98;100;5;100;879,01;44,79;0;
PISANO;7372;76;554;328;285;1251;6,87;16,32;103,51;100,78;85,49;0;129,23;01:36:33;1,16;1,37;4,45;3,87;16,97;7,52;27;19;90;94;3;94;304,84;28,6;0;
PITZALIS;8060;83;1133;419;365;1923;7,71;19,34;151,36;161,91;122,25;0;189,78;01:36:33;1,52;2,01;5,19;4,53;23,85;14,06;33;36;133;127;5;127;721,14;38,01;0;
