;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;10211;107;685;516;518;2620;9,63;15,95;152,8;149,83;187,63;39,47;270,8;01:35:17;1,82;1,45;5,02;5,03;25,35;6,6;48,64;27,76;139,17;154,83;3,2;154,83;954,26;40,53;29,27;
ALTARE ;10464;110;886;586;582;2824;9,97;17,29;277,26;190,77;218,24;38,64;379,02;01:35:15;2,09;1,82;5,6;5,56;26,98;8,47;49;38;144;168;6;168;1017,29;42,91;31,95;
ARBOLEDA;9239;118;809;653;634;2775;11,18;22,06;221,34;216,86;260,15;35,02;407,71;01:18:04;2,82;2,35;7,07;6,86;30,03;8,75;70;41;168;201;6;201;1038,38;48,44;31,89;
COCCO;9323;98;512;392;395;2108;8,57;13,14;142,4;112,66;128,5;43,25;193,86;01:35:17;1,38;1,21;4,2;4,23;22,61;5,49;27;14;121;115;4;115;693,11;36,49;28,92;
DORATIOTTO ;8382;112;654;391;426;2284;9,99;15,65;151,65;110,54;152,68;37,81;200,7;01:15:07;1,82;1,32;4,67;5,08;27,25;7,81;46;21;109;133;5;133;686,04;42,56;29,06;
EMERSON;8863;93;368;455;420;1771;8,31;15,4;98,08;108,54;140,88;44,73;185,05;01:35:17;1,59;1,22;5,13;4,73;19,98;4,15;29;13;119;97;1;97;490,5;34,12;30,34;
GAGLIANO;6941;108;596;380;333;1933;9,77;16,66;42,89;115,89;131,2;40,89;201,51;01:04:09;1,89;1,67;5,48;4,8;27,85;8,59;38;26;110;107;0;107;836,91;43,96;27,26;
LA ROSA ;11149;117;545;483;465;2965;10,29;13,68;69,53;126,23;147,66;34,07;188,17;01:35:17;1,32;1,13;4,34;4,17;26,6;4,88;41;21;120;135;2;135;1272,32;41,23;28,01;
LELLA ;5314;117;483;288;318;1510;10,71;18,6;135,81;80,82;130,53;34,75;171,77;00:45:33;2,46;1,52;5,41;5,98;28,41;9,08;41;19;83;104;2;104;543,68;44,2;29,64;
PENNINGTON;7515;118;497;351;386;2153;10,53;15,71;59,03;95,92;122,43;36,88;152,63;01:03:53;1,63;1,28;4,67;5,14;28,65;6,61;32;19;100;117;0;117;856,06;44,52;26,73;
PISANO;8875;93;421;373;406;1765;8,21;13,88;89,91;104,66;149,25;44,63;202,14;01:35:17;1,68;1,18;4,2;4,58;19,89;4,74;37;22;99;128;1;128;608,96;33,1;28,93;
