;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;4678;106;719;258;242;1283;9,98;21,26;85,14;91,47;81,65;0;118,61;00:43:12;1,68;1,96;5,49;5,1;26,97;14,74;24,31;17,31;64,06;80,5;5,38;80,5;453,95;42,12;0;
BIANCU;5672;124;935;297;328;1748;11,7;21,87;63,08;91,81;104,61;0;110,3;00:45:44;1,84;1,62;5,23;5,78;30,83;16,48;30;16;65;99;4;99;664,19;46,24;0;
COTALI;4846;106;849;220;195;1228;9,69;18,2;170,89;78,79;62,99;0;146,22;00:45:44;1,3;1,63;4,53;4,03;25,34;17,51;20;14;52;56;7;56;413,22;38,37;0;
DAMETTO;4503;98;573;229;204;1038;9,1;19,45;34,35;83,56;65,99;0;91,16;00:45:44;1,47;1,86;5,09;4,53;23,05;12,72;19;12;65;69;7;69;402,17;37,39;0;
DELVECCHIO;5076;112;906;304;273;1509;10,57;22,16;196,21;108,83;79,32;0;163,26;00:45:23;1,56;2,14;5,99;5,38;29,73;17,84;23;24;80;85;7;85;496,47;45,88;0;
FEOLA;4927;108;618;270;268;1267;10,15;21,71;49,61;90,23;89,86;0;109,5;00:45:44;1,82;1,83;5,48;5,44;25,71;12,55;31;19;58;87;6;87;398,12;40,76;0;
IOTTI;4433;97;556;256;219;1013;9,03;20,45;112,83;96,14;70,07;0;107,63;00:45:44;1,58;2,17;5,78;4,95;22,85;12,55;15;12;63;64;4;64;338,31;37,35;0;
MURGIA;5341;117;602;250;270;1614;10,9;20,73;0;85,89;97,86;0;62,56;00:45:48;1,83;1,61;4,68;5,05;30,22;11,27;34;14;69;112;0;112;546,25;45,59;0;
MURONI;5218;114;710;272;222;1455;10,58;19,69;69,34;96,14;82,7;0;101,86;00:45:42;1,58;1,84;5,21;4,26;27,88;13,61;22;17;84;84;3;84;538,41;43,3;0;
OLIVEIRA;4665;102;464;323;283;1302;9,83;24,75;53,67;111,33;101,69;0;103,56;00:45:48;2,18;2,39;6,92;6,06;27,91;9,95;26;15;77;115;2;115;311,88;44,57;0;
PINNA S.;5024;111;1086;272;266;1470;10,5;21,9;191,5;100,96;95,99;0;181,53;00:45:07;1,91;2,01;5,41;5,29;29,25;21,62;29;18;60;85;13;85;525,83;44,43;0;
PISANO;490;70;24;25;20;105;6,47;18,78;0;9,64;3,69;0;4,96;00:06:57;0,75;1,97;5,15;4,17;21,39;4,86;1;2;7;4;0;4;13,37;35,52;0;
RAGATZU;4852;106;750;269;236;1312;9,89;20,18;98,54;89,11;62,72;0;118,75;00:45:38;1,29;1,84;5,54;4,86;27,04;15,45;19;20;63;79;7;79;432,44;41,79;0;
SENESI;4500;99;805;223;218;1146;9,19;20,05;128,42;74,77;73,87;0;153,04;00:45:29;1,64;1,66;4,95;4,84;25,47;17,88;26;19;61;70;10;70;404,1;40,01;0;
SILENZI;5124;112;759;305;289;1313;10,74;23,88;74,38;122,1;117,99;0;172,92;00:45:44;2,3;2,38;5,96;5,64;25,63;14,82;35;27;79;94;7;94;485,57;41,03;0;
SONG ;5170;114;762;289;298;1498;10,77;22,51;19,68;94,27;97,98;0;99,49;00:45:31;1,9;1,82;5,59;5,76;28,98;14,73;33;22;58;99;2;99;610,12;44,72;0;
VALLOCCHIA;5010;110;1103;318;277;1511;10,59;23,83;99,78;130,02;99,05;0;171;00:45:21;1,98;2,6;6,36;5,53;30,17;22,02;26;26;84;86;7;86;682,69;47,03;0;
