;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1455;97;252;62;65;396;8,85;18,26;32,62;22,58;21,16;0;36,48;00:15:02;1,47;1,57;4,3;4,52;27,18;17,41;7,2;6,3;19,7;25,8;0,9;25,8;146,2;41,34;0;
BELLODI ;1405;93;142;58;68;331;8,59;18,7;10,33;21,61;20,11;0;20,96;00:15:02;1,43;1,54;4,11;4,87;23,57;10,13;5;1;12;27;0;27;77,02;37,19;0;
CETER;1270;84;271;71;63;345;7,97;21,81;46,3;29,96;23,05;0;67,06;00:15:02;1,81;2,36;5,62;4,99;27,19;21,36;6;15;31;24;1;24;155,35;44,19;0;
COTALI;1507;100;231;74;83;455;9,46;21,87;25,75;27,95;27,06;0;32,84;00:15:02;1,8;1,85;4,93;5,49;30,22;15,34;8;5;19;36;1;36;133,26;45,56;0;
IOTTI;1448;96;221;61;70;373;8,86;18,82;57,94;19,04;22,49;0;28,87;00:15:02;1,55;1,31;4,23;4,86;25,75;15,29;6;2;13;25;2;25;110,05;39,49;0;
MURONI;1594;106;203;68;55;443;9,6;16,97;0;22,41;16,61;0;22,06;00:15:02;1,04;1,41;4,24;3,48;27,76;12,75;8;4;19;23;0;23;174,54;42,24;0;
OGUNSEYE;1320;88;273;54;57;358;7,93;16,77;51,91;19,13;19,14;0;37,63;00:15:02;1,45;1,45;4,1;4,29;27,13;20,65;6;8;20;22;2;22;158,54;41,99;0;
PENNINGTON;1658;110;307;50;62;475;9,84;15,25;26,85;16,56;16,2;0;30,2;00:15:02;0,98;1;3,04;3,76;28,62;18,54;8;4;17;18;1;18;183,53;41,04;0;
PINNA S.;1455;97;263;49;62;401;8,64;15,36;9,75;15,21;20,91;0;15,32;00:15:02;1,44;1,05;3,36;4,24;27,58;18,08;8;3;21;27;0;27;185,83;39,03;0;
RAGATZU;1504;100;262;67;66;360;9,11;17,64;18,77;29,01;23,64;0;42,91;00:15:02;1,57;1,93;4,47;4,41;23,97;17,42;10;13;26;27;1;27;154,4;37,54;0;
VALLOCCHIA;1390;92;341;69;67;417;8,54;19,42;78,56;24,9;22,42;0;66,94;00:15:02;1,61;1,79;4,95;4,82;29,99;24,52;7;8;19;29;1;29;129,49;45,19;0;
