;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;5220;114;288;221;223;1121;9,99;13,41;61,99;63,83;75,15;31,16;113,21;00:45:54;1,43;1,22;4,22;4,26;21,27;5,47;17;11;58,5;62;2;62;382,97;34,92;28,26;
ARBOLEDA;5494;120;447;294;309;1412;10,9;17,73;101,11;93,12;111,75;30,67;181,99;00:45:54;2,03;1,69;5,34;5,63;25,71;8,14;27;18;82;93;3;93;549,18;41,49;31,58;
BOCCIA;5163;112;283;227;220;1070;9,88;13,54;94,46;69,5;60,67;33,42;114,34;00:45:54;1,18;1,35;4,4;4,26;20,72;5,48;11;14;60;57;3;57;278,65;34,55;29,95;
CHIERICO;5586;122;227;203;217;1185;10,52;11,72;30,29;54,37;69,87;26,96;70,17;00:45:54;1,25;0,97;3,64;3,89;21,22;4,06;14;6;55;68;1;68;382,19;34,22;28,05;
EMERSON;4894;107;135;164;143;855;9,07;9,92;0,56;43,03;39,43;34,69;44,59;00:45:54;0,81;0,88;3,35;2,91;17,48;2,77;9;5;43;34;0;34;279,62;29,12;24,08;
GIANDONATO;4493;98;38;120;138;692;8,27;9,13;0;32,55;37,51;36,46;31,81;00:45:54;0,83;0,72;2,66;3,08;15,41;0,84;8;2;35;39;0;39;228,32;25,78;21,89;
LA ROSA ;5958;130;210;191;169;1405;11,07;10,23;26,3;37,88;48,35;24,54;49,09;00:45:54;0,81;0,64;3,2;2,84;23,59;3,52;10;2;38;42;1;42;526,22;36,53;26,51;
LELLA ;5691;124;481;281;298;1460;11,21;16,84;97,3;96,6;120,4;26,88;191,01;00:45:53;2,12;1,7;4,94;5,24;25,65;8,45;34;17;80;92;2;92;471,32;41,39;30,52;
RAGATZU;4951;108;366;201;238;1025;9,48;13,51;82,96;54,12;86,24;32,11;131,43;00:45:54;1,74;1,09;4,06;4,82;20,71;7,38;23;13;57;68;3;68;437,56;33,94;30,93;
TRAVAGLINI;5149;112;334;249;226;1148;9,9;14,08;30,05;60,86;79,52;32,01;102,76;00:45:54;1,54;1,18;4,83;4,39;22,29;6,49;17;10;61;66;1;66;362,47;36,53;27,89;
UDHO;4819;105;365;278;270;959;9,54;17,38;156,91;96,29;97,79;33,82;214,84;00:45:52;2,03;2;5,76;5,6;19,9;7,58;17;23;74;61;6;61;314,19;35,67;31,15;
