;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1262;84;93;54;53;274;7,4;13,66;20,93;16,29;20,03;51,18;31,49;00:15:00;1,59;1,28;4,28;4,19;21,49;7,28;5,6;3,1;14,3;15,9;0,6;15,9;106,44;35,2;26,59;
ARBOLEDA;1313;87;109;56;58;290;7,8;15,22;31,55;17,71;20,89;49,27;32,42;00:15:00;1,59;1,35;4,29;4,43;22,1;8,33;5;5;19;17;1;17;88,04;36,36;27,1;
BRIGNANI;1213;81;79;46;41;233;6,95;11,19;17,82;15,62;15,14;49,67;18,32;00:15:00;1,25;1,29;3,77;3,37;19,21;6,49;2;0;14;8;1;8;93,27;31,89;26,38;
CHIERICO;1366;91;65;50;53;268;7,9;12,19;21,06;17,39;19,27;45,92;30,53;00:15:00;1,41;1,27;3,65;3,86;19,6;4,78;4;5;11;16;1;16;90,53;32,67;27,58;
EMERSON;1014;68;60;36;45;180;5,91;12,95;14,01;8,26;16,8;60,64;17,59;00:15:00;1,66;0,81;3,5;4,43;17,76;5,92;4;2;10;17;0;17;58,02;29,87;25,77;
LELLA ;1398;93;116;66;52;333;8,2;13,84;26,28;21,64;18,78;47,43;45,73;00:15:00;1,34;1,55;4,74;3,71;23,82;8,32;5;6;14;19;1;19;144,88;38,74;27,15;
OCCHIONI;1402;93;147;73;81;412;8,54;18,21;9,36;25,74;30,96;52,95;49,52;00:15:00;2,21;1,84;5,22;5,78;29,38;10,45;11;4;20;25;0;25;230,57;45,9;25,5;
PALESI;1336;89;64;49;39;285;7,56;9,8;5,31;9,26;10,5;49,65;17,31;00:15:00;0,79;0,69;3,65;2,91;21,3;4,81;3;0;9;11;0;11;133,39;33,97;24,35;
RAGATZU;1244;83;138;68;55;260;7,4;15,3;36,55;15,44;28,91;46,45;49,67;00:15:00;2,32;1,24;5,43;4,4;20,89;11,12;9;2;20;19;1;19;79,81;35,21;29,64;
TRAVAGLINI;1203;80;96;53;55;261;7,07;13,99;47,32;16,31;14,88;55,17;32,28;00:15:00;1,24;1,36;4,43;4,57;21,7;7,96;4;3;15;13;1;13;58,32;35,4;28,82;
UDHO;1134;76;53;47;50;217;6,66;13,91;0;15,53;24,2;54,62;21,54;00:15:00;2,13;1,37;4,1;4,43;19,13;4,65;9;4;11;14;0;14;87,62;32,01;23,63;
