;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1898;127;158;95;93;520;11,34;15,78;43,93;25,39;33,51;28,78;53,09;00:15:00;1,77;1,34;5,04;4,93;27,22;8,31;7,9;3,4;22;26,7;1,2;26,7;195,2;42,49;28,8;
BOCCIA;1872;125;170;107;105;519;11,41;18,18;55,89;26,21;43,17;28,99;64,47;00:15:00;2,31;1,4;5,7;5,59;27,72;9,07;9;5;23;29;2;29;143,36;43,12;30,58;
CHIERICO;2111;141;127;89;90;629;12,43;14,08;33,31;22,89;30,07;23,57;31,64;00:15:00;1,42;1,08;4,21;4,25;29,8;6,01;8;3;18;23;1;23;229,89;45,04;27,76;
EMERSON;1635;109;92;71;70;369;9,49;12,53;38,43;12,14;19,44;37,83;29,15;00:15:00;1,19;0,74;4,33;4,28;22,55;5,61;3;1;18;25;1;25;172,11;35,43;30,35;
LA ROSA ;1842;123;122;81;74;429;10,76;13,22;67,93;17,15;23,69;27,04;36,11;00:15:00;1,29;0,93;4,4;4,04;23,27;6,61;7;2;20;20;2;20;101,37;37,31;29,14;
LELLA ;2050;137;125;100;103;586;12,29;16,21;4,33;34,29;42,51;24,88;48,9;00:15:00;2,07;1,67;4,86;5,03;28,59;6,12;13;5;31;34;0;34;216,36;44,21;25,61;
MANCINI;1807;120;146;94;90;512;10,9;16,9;21,67;29,43;31,53;32,47;49,64;00:15:00;1,75;1,63;5,18;4,97;28,36;8,11;8;7;26;27;1;27;247,97;44,41;28,68;
PALESI;1967;131;270;90;90;577;11,58;14,18;64,9;20,49;33,59;27,77;63,94;00:15:00;1,71;1,04;4,56;4,59;29,32;13,74;9;1;16;22;1;22;214,46;44,05;29,26;
RAGATZU;2075;138;143;101;94;618;12,23;14,22;33,04;22,7;29,6;24,04;55,42;00:15:00;1,43;1,09;4,87;4,55;29,78;6,88;6;1;21;25;0;25;316;45,12;28,99;
TRAVAGLINI;1869;125;218;110;112;523;11,46;18,81;52,72;34,02;42,53;30,14;74,36;00:15:00;2,28;1,82;5,87;5,99;27,96;11,64;9;2;20;28;2;28;174,37;44,22;27,85;
UDHO;1755;117;162;113;106;436;10,82;19,51;67,14;34,61;38,93;31,08;77,27;00:15:00;2,22;1,97;6,45;6,05;24,84;9,25;7;7;27;34;2;34;136,14;41,95;29,82;
