;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1438;96;178;56;53;304;8,3;11,82;27,41;14,72;18,55;44,17;35,98;00:15:00;1,26;1,01;3,82;3,67;20,81;12,04;5,5;2,4;14,6;14,3;0,8;14,3;104,73;33,52;0;
ALTARE ;1433;95;145;64;66;308;8,43;14,2;5,98;19,74;24,6;43,18;39,72;00:15:00;1,72;1,38;4,43;4,58;21,51;10,14;7;8;16;18;0;18;102,21;36,14;0;
CANDELA;1697;113;356;88;88;458;10,2;16,69;116,94;27,74;30,82;38,49;81,5;00:15:00;1,82;1,64;5,18;5,16;26,98;20,98;10;3;20;21;5;21;131;42,07;0;
COCCO;1325;88;182;60;51;276;7,7;12,7;5,81;18,4;13,86;47,65;27,15;00:15:00;1,05;1,39;4,51;3,87;20,84;13,75;4;2;16;13;0;13;131,2;35,07;0;
GIANDONATO;1329;89;42;27;35;167;7,35;7,35;0;6,32;9,93;41,45;7,12;00:15:00;0,75;0,48;2,04;2,65;12,55;3,13;3;1;8;14;0;14;39,88;20,78;0;
GOZZI;1218;81;138;36;33;222;6,83;8,73;6,49;6,47;8,67;51,39;17,05;00:15:00;0,71;0,53;2,97;2,73;18,18;11,34;3;0;12;8;0;8;104,44;29,17;0;
LA ROSA ;1594;106;153;45;40;348;8,89;8,19;0;9;9,58;39,15;13,22;00:15:00;0,6;0,56;2,83;2,5;21,83;9,58;3;2;13;12;0;12;115,29;33,95;0;
LELLA ;1638;109;238;71;71;399;9,61;13,78;28,3;17,19;30,7;37,44;50,48;00:15:00;1,87;1,05;4,36;4,31;24,37;14,53;6;2;16;21;0;21;152,14;38,16;0;
OGUNSEYE;1252;83;133;59;53;239;7,38;14,43;26,26;19,29;20,25;53,64;40,23;00:15:00;1,62;1,54;4,73;4,22;19,07;10,6;6;1;19;13;1;13;69,74;33,12;0;
PISANO;1371;91;88;31;29;245;7,54;6,72;0;5,34;6,1;45,15;10,61;00:15:00;0,44;0,39;2,27;2,12;17,88;6,39;3;1;10;5;0;5;72,01;27,8;0;
VALLOCCHIA;1525;102;305;75;69;380;9,07;15,42;84,36;17,67;31,02;44,18;72,67;00:15:00;2,03;1,16;4,91;4,55;24,95;19,98;10;4;16;18;2;18;129,38;38,95;0;
