;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;4844;100;607;190;189;1023;8,67;12,39;94,05;53,12;69,67;40,5;118,41;00:48:40;1,42;1,09;3,88;3,86;20,84;12,25;20,2;9,5;47,8;52,8;2,2;52,8;345,79;33,76;0;
ALTARE ;4702;97;676;223;224;1045;8,61;15,18;134,71;76,17;80,15;42;167,19;00:48:40;1,7;1,62;4,74;4,76;22,23;14,37;23;20;66;60;2;60;350,92;37,15;0;
CANDELA;5810;119;1075;255;274;1511;10,62;14,97;275,23;77,28;107,77;33,4;228,94;00:48:40;1,86;1,33;4,39;4,71;26,01;18,51;30;10;50;61;9;61;515,28;40,55;0;
COCCO;4480;92;470;184;172;846;7,99;12,21;5,81;54,86;59,32;43,27;71,49;00:48:40;1,32;1,22;4,11;3,84;18,88;10,48;15;7;47;49;0;49;343,4;31,86;0;
GIANDONATO;4420;91;215;109;123;629;7,61;8,35;7,18;26,84;39,83;40,26;33,83;00:48:40;0,9;0,61;2,46;2,79;14,23;4,86;11;4;31;44;0;44;155,1;23,44;0;
GOZZI;4199;86;442;131;123;781;7,3;9,4;47,38;25,84;40,31;47,69;57,91;00:48:40;0,96;0,62;3,11;2,94;18,59;10,52;12;1;36;38;1;38;231,3;29,65;0;
LA ROSA ;5285;109;615;177;165;1110;9,25;10,06;49,58;41,95;49,59;35,24;75,36;00:48:40;0,94;0,79;3,35;3,12;21;11,64;14;12;42;49;1;49;416,28;33,38;0;
LELLA ;5362;110;780;248;252;1300;9,78;14,65;115,69;61,67;107,23;34,97;157;00:48:40;2;1,15;4,62;4,71;24,25;14,55;31;10;55;72;2;72;465,14;38,34;0;
OGUNSEYE;4423;91;461;189;185;877;8,05;14,42;68,33;63,49;76,76;46,99;129,31;00:48:40;1,74;1,44;4,28;4,18;19,82;10,41;20;9;50;43;3;43;276,81;33,78;0;
PISANO;4694;96;440;145;136;865;8,16;9,38;63,4;34,42;38,7;40,7;71,52;00:48:40;0,82;0,73;3,1;2,91;18,42;9,36;16;11;37;40;1;40;260,07;29,83;0;
VALLOCCHIA;5068;104;901;237;233;1266;9,3;15,34;173,15;68,62;97,03;40,44;191,59;00:48:40;1,91;1,35;4,67;4,6;24,98;17,78;30;11;64;72;3;72;443,55;39,59;0;
