;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1400;93;206;61;56;358;8,43;17,36;15;20,36;19,65;0;25,75;00:15:06;1,35;1,45;4,27;3,93;24,95;14,09;6;4,22;17,56;20,67;0,33;20,67;142,63;38,22;0;
CETER;1658;110;295;81;75;458;10,16;19,65;32,87;28,39;31,2;0;48,58;00:15:06;1,88;1,71;4,89;4,53;27,61;17,77;9;8;18;24;0;24;163,57;42,45;0;
COTALI;1269;84;68;47;40;221;7,51;15,45;13,73;17,1;11,89;0;17,35;00:15:06;0,94;1,35;3,7;3,13;17,37;5,32;3;4;17;15;0;15;42,75;28,82;0;
DALLA BERNARDINA ;1199;79;144;52;47;290;7,26;18,12;19,54;21,18;13,56;0;16,33;00:15:06;1,13;1,77;4,35;3,9;24,17;11,97;4;4;14;16;1;16;108,21;37,8;0;
GEMMI;1607;106;329;70;75;528;9,84;19,54;0;25,45;33,26;0;22,19;00:15:06;2,07;1,58;4,37;4,65;32,87;20,5;11;4;26;33;0;33;266,66;46,6;0;
PERALTA;1085;72;164;34;31;241;6,33;13,84;30,6;10,78;11,75;0;23,19;00:15:06;1,08;0,99;3,1;2,89;22,2;15,09;4;0;8;11;1;11;77,81;33,42;0;
PISANO;1163;77;79;48;40;211;6,91;16,09;0;18,71;10,57;0;10,05;00:15:06;0,91;1,61;4,16;3,47;18,19;6,82;2;3;16;14;0;14;65,73;30,32;0;
RAGATZU;1734;115;316;81;66;500;10,48;17,98;19,47;22,35;22,48;0;41,45;00:15:06;1,3;1,29;4,69;3,79;28,85;18,19;8;5;22;22;0;22;218,03;43,49;0;
SENESI;1312;87;161;61;53;316;7,84;16,69;17,4;16,58;15,59;0;16,97;00:15:06;1,19;1,26;4,64;4,01;24,09;12,29;3;3;14;24;1;24;116,17;37,39;0;
VALLOCCHIA;1571;104;296;71;78;459;9,57;18,86;1,34;22,69;26,5;0;35,64;00:15:06;1,69;1,44;4,52;4,99;29,2;18,86;10;7;23;27;0;27;224,61;43,71;0;
