;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1497;96;188;80;72;375;8,97;20,38;15;26,88;24,46;0;33,41;00:15:32;1,64;1,8;5,38;4,83;24,92;12,53;7,4;6;22,4;23,8;0,3;23,8;133,91;39,76;0;
BELLODI ;1516;98;132;76;66;360;8,98;18,94;10,98;31,26;20,72;0;26,1;00:15:32;1,37;2,06;4,98;4,35;23,78;8,69;6;6;24;28;0;28;87,63;38,26;0;
COTALI;1413;91;128;67;54;285;8,3;17,86;0;24,78;17,43;0;19,96;00:15:32;1,23;1,75;4,71;3,83;20,2;9,09;3;4;19;18;0;18;105,61;33,92;0;
IOTTI;1442;93;153;100;85;353;8,9;23,87;10,57;28,55;30,68;0;38,99;00:15:32;2,13;1,98;6,96;5,91;24,47;10,6;10;5;23;27;0;27;112,33;40,65;0;
MAFFEI;1321;85;182;82;71;311;8,03;22;2,02;27,19;22,29;0;34,99;00:15:32;1,69;2,06;6,24;5,34;23,5;13,75;5;8;24;24;0;24;118,33;38,69;0;
MURONI;1587;102;239;84;67;438;9,49;19,97;0,67;31,23;24,04;0;28,32;00:15:32;1,51;1,97;5,32;4,22;27,62;15,03;9;9;22;23;0;23;192,15;43;0;
OGUNSEYE;1427;92;162;83;72;315;8,65;21,68;29,97;26,3;25,43;0;47,2;00:15:32;1,78;1,84;5,83;5,06;22,08;11,33;4;5;20;19;1;19;108,13;36,5;0;
PENNINGTON;1672;108;208;71;87;434;10,04;20,52;10,47;27,32;29,46;0;34,63;00:15:32;1,76;1,63;4,23;5,2;25,99;12,42;10;9;23;31;0;31;160,73;41,01;0;
PERALTA;1609;104;244;71;68;463;9,52;18,76;19,08;22,46;26,02;0;27,91;00:15:32;1,62;1,4;4,41;4,23;28,74;15,18;10;5;23;21;0;21;177,39;43,21;0;
PINNA S.;1567;101;218;94;74;405;9,35;19,8;21,44;26,35;21,27;0;40,16;00:15:32;1,36;1,68;6;4,74;25,85;13,91;8;5;19;19;1;19;160,5;41,22;0;
VALLOCCHIA;1413;91;216;73;77;381;8,48;20,41;44,75;23,36;27,3;0;35,86;00:15:32;1,93;1,65;5,16;5,42;26,97;15,27;9;4;27;28;1;28;116,3;41,13;0;
