;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;953;70;63;72;63;178;6,8;25,3;0,51;28,1;23,12;0;18,65;00:13:36;2,41;2,95;7,53;6,58;18,29;6,34;7,38;8,31;26,88;26,44;0,06;26,44;52,12;33,66;0;
BIANCU;920;67;9;51;44;111;6,25;19,86;0;19,19;11,88;0;6,49;00:13:39;1,29;2,09;5,58;4,76;12,02;0,96;2;2;21;14;0;14;8,79;24,85;0;
CALIGARA;1048;77;55;88;73;187;7,52;26,24;0;31,16;22,61;0;15,66;00:13:36;2,16;2,97;8,42;6,97;17,88;5,27;9;8;31;33;0;33;51,26;33,8;0;
CETER;864;63;45;67;63;162;6,23;26,82;0;31,76;23,37;0;15,82;00:13:36;2,7;3,67;7,74;7,35;18,69;5,17;3;11;32;27;0;27;36,71;34,95;0;
CUSUMANO;1107;81;134;60;63;246;7,78;23,58;6,83;21,64;26,41;0;25,84;00:13:36;2,39;1,95;5,43;5,7;22,26;12,1;9;6;16;22;1;22;77,47;36,66;0;
IOTTI;1010;74;74;83;62;230;7,16;24,72;0;25,75;24,48;0;20,95;00:13:36;2,42;2,55;8,19;6,14;22,8;7,34;5;7;32;19;0;19;70,2;39,47;0;
MARTINIELLO;932;68;43;71;60;135;6,67;25,91;0;28,2;21,25;0;14,64;00:13:36;2,28;3,03;7,6;6,39;14,47;4,63;6;8;19;26;0;26;43,19;29,21;0;
MASTINO;791;59;8;51;49;101;5,6;23,38;0;21,94;19,89;0;9,2;00:13:29;2,51;2,77;6,39;6,17;12,74;1,05;7;10;26;24;0;24;7,76;26,56;0;
MURONI;1031;76;24;64;54;146;7,07;20,7;0;24,24;19,43;0;8,14;00:13:36;1,89;2,35;6,17;5,21;14,21;2,37;7;8;28;27;0;27;18,71;27,15;0;
PINNA S.;933;69;64;59;53;170;6,41;20,84;0;19,59;15,49;0;10,08;00:13:36;1,66;2,1;6,28;5,66;18,21;6,88;7;6;26;22;0;22;58,45;31,42;0;
PISANO;910;67;98;91;80;222;7,01;35,53;0;41,61;38,24;0;42,17;00:13:36;4,2;4,57;9,96;8,84;24,35;10,79;18;12;30;34;0;34;88,19;43,96;0;
PITZALIS;656;48;0;40;28;49;4,4;17,86;0;16,73;9,51;0;1,48;00:13:36;1,45;2,55;6,06;4,25;7,53;0;0;8;23;11;0;11;0;17,43;0;
RAGATZU;957;70;56;76;68;209;6,85;25,84;0;34,72;19,22;0;16,06;00:13:36;2,01;3,63;7,95;7,08;21,86;5,85;9;12;33;35;0;35;54,83;39,32;0;
SENESI;1076;79;94;79;69;214;7,62;24,62;0;35,31;19,64;0;25,71;00:13:36;1,83;3,28;7,35;6,41;19,87;8,73;5;10;33;26;0;26;77,44;37,3;0;
TETTEH;984;72;130;105;95;251;7,49;33,83;0;38,16;36,49;0;35,98;00:13:36;3,71;3,88;10,66;9,67;25,54;13,17;13;9;31;41;0;41;100,71;44,03;0;
VALLOCCHIA;1094;80;106;99;90;243;8,16;31,19;1,34;36,12;39,6;0;38,06;00:13:36;3,62;3,3;9,06;8,18;22,19;9,66;14;12;31;42;0;42;81,91;40,79;0;
VERGARA;935;69;70;72;62;168;6,59;23,95;0;23,49;22,41;0;12,09;00:13:36;2,4;2,51;7,69;6,59;17,93;7,45;4;4;18;20;0;20;58,38;31,63;0;
