;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1457;97;232;77;72;404;8,99;20,02;18,33;24,15;21,21;0;30,46;00:15:04;1,43;1,64;5,27;4,91;27,35;15,49;5,6;4,9;18,1;24,21;0,5;24,21;158,4;42,09;0;
BELLODI ;1262;84;98;68;59;281;7,74;19,54;0;20,41;16,15;0;12,84;00:15:04;1,28;1,62;5,4;4,7;22,27;7,76;0;2;15;19;0;19;93,34;36,25;0;
BIANCU;1549;103;318;82;75;475;9,59;20,33;44,08;30,59;21,46;0;34,61;00:15:02;1,39;1,97;5,32;4,82;30,69;20,54;5;8;20;28;0;28;200,2;46,15;0;
CALIGARA;1430;95;207;78;72;416;8,84;20,44;0;19,34;18,26;0;33,03;00:15:04;1,28;1,35;5,45;5,05;29,08;14,48;3;3;12;20;0;20;148,66;44,82;0;
COTALI;1368;91;150;62;57;324;8,26;17,6;8,31;16,31;14,21;0;13,48;00:15:04;1,04;1,19;4,51;4,2;23,68;10,98;2;2;14;17;0;17;113,05;37,4;0;
IOTTI;1307;87;84;73;62;249;8,02;19,46;0;23,02;18,95;0;18,62;00:15:04;1,45;1,76;5,59;4,72;19,05;6,42;6;4;18;14;0;14;65,88;32,79;0;
MURONI;1583;105;233;77;73;488;9,75;19,95;0;22,29;27,26;0;18,32;00:15:04;1,72;1,41;4,84;4,59;30,85;14,73;8;5;25;33;0;33;214,91;46,04;0;
OGUNSEYE;1431;95;269;80;82;427;8,86;20,59;21,51;23,43;19,85;0;27,24;00:15:04;1,39;1,64;5,6;5,71;29,82;18,79;4;4;17;30;1;30;207,91;45,23;0;
PISANO;1372;91;196;59;54;326;8,19;16,29;18,15;15,52;10,35;0;20,6;00:15:04;0,75;1,13;4,27;3,91;23,73;14,25;7;4;12;20;1;20;124,5;36,34;0;
RAGATZU;1682;112;410;105;93;520;10,54;22,14;69,13;36,18;28,1;0;73,01;00:15:04;1,67;2,15;6,23;5,51;30,9;24,4;7;7;19;24;3;24;223,06;46,62;0;
VALLOCCHIA;1586;105;358;87;94;531;10,08;23,89;22,08;34,34;37,51;0;52,8;00:15:04;2,36;2,17;5,47;5,93;33,48;22,55;14;10;29;37;0;37;192,15;49,28;0;
