;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1499;100;95;62;69;360;8,8;13,9;17,24;16,49;24,47;41,66;29,01;00:15:01;1,63;1,1;4,12;4,62;23,67;6,29;5,56;3,33;16,22;19,67;0,33;19,67;129,59;37,45;25,54;
ARBOLEDA;1606;107;97;76;87;377;9,59;16;19,61;18,75;32,92;38,85;36,04;00:15:01;2,05;1,17;4,74;5,41;23,47;6,05;5;5;21;31;1;31;101,56;38,47;28,88;
BIANCU;1586;106;75;80;92;413;9,53;16,65;0;26,54;29,16;39,02;38,12;00:15:01;1,84;1,67;5,02;5,8;26,03;4,75;10;6;19;22;0;22;216,93;41,93;22,43;
BRIGNANI;1328;88;47;57;56;278;7,78;13,83;2,27;17,84;20,06;46,08;23,15;00:15:01;1,51;1,34;4,27;4,22;20,93;3,56;6;4;15;14;0;14;78,73;34,68;24,82;
CHIERICO;1604;107;34;55;60;369;9,22;11,56;0;15,18;19,55;37,51;11,65;00:15:01;1,22;0,95;3,43;3,77;23,02;2,13;7;3;16;17;0;17;142,19;35,89;21,46;
EMERSON;1172;78;44;36;43;186;6,7;11;7,95;7,35;12,75;52,03;9,04;00:15:01;1,09;0,63;3,1;3,69;15,88;3,72;1;3;8;13;0;13;41,22;26,87;25,16;
PALESI;1754;117;138;56;68;506;10,15;12,32;34,63;10,2;22,94;34,58;18,72;00:15:01;1,31;0,58;3,21;3,89;28,84;7,89;5;2;15;22;1;22;189,01;41,8;27,17;
RAGATZU;1475;98;198;69;71;406;8,74;15,09;32,39;15,89;32,18;43,93;54,65;00:15:01;2,18;1,08;4,7;4,8;27,53;13,44;8;4;19;21;0;21;129,69;42,22;25,94;
TRAVAGLINI;1531;102;52;53;58;331;8,75;10,98;0,7;10,2;11,96;40,64;16,7;00:15:01;0,78;0,67;3,44;3,78;21,61;3,37;0;1;8;11;0;11;119,21;34,64;24,21;
UDHO;1439;96;168;75;90;370;8,72;17,67;57,6;26,51;38,68;42,31;53,05;00:15:01;2,69;1,84;5,18;6,23;25,73;11,68;8;2;25;26;1;26;147,81;40,51;29,74;
