;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;9646;101;591;448;440;2127;8,99;14,24;109,13;125,83;147,24;40,69;218,01;01:35:03;1,5;1,27;4,57;4,5;21,75;6,01;37,47;20,52;115,18;126,31;2,65;126,31;767,02;35,53;28,86;
ALTARE ;8989;95;456;388;409;1843;8,31;13,57;124,07;103,91;126,18;43,85;198,88;01:35:03;1,4;1,16;4,32;4,55;20,5;5,07;33;20;111;131;3;131;587,71;33,95;31,4;
BIANCU;6952;115;405;467;420;1836;10,82;21,13;67,42;155,64;158,29;34,71;244,04;01:00:15;2,28;2,24;6,72;6,04;26,41;5,82;33;24;96;100;2;100;661,38;44,21;28,78;
COCCO;9235;97;676;438;415;2095;8,59;14,29;81,81;130,11;139,09;44,5;221,76;01:35:03;1,51;1,41;4,75;4,49;22,68;7,32;33;19;104;113;1;113;827,71;37,02;27,72;
EMERSON;5827;83;169;170;192;828;7,08;9,98;27,58;32,79;54;48,72;48,6;01:10:02;0,93;0,56;2,91;3,3;14,21;2,9;16;7;52;64;1;64;215,84;23,84;28,03;
GIANDONATO;6481;94;209;211;220;1066;8,01;10,62;21,3;55,02;80,95;40,52;77,96;01:09:15;1,25;0,85;3,26;3,4;16,45;3,23;21;11;58;71;1;71;422,15;27,25;26,63;
LA ROSA ;9817;103;599;432;420;2066;9,06;13,29;138,04;113,91;121,15;39,02;192,68;01:35:03;1,23;1,16;4,4;4,28;21,04;6,1;28;16;108;129;3;129;662,64;34,7;28,48;
LADINETTI;10499;110;691;519;488;2519;9,83;14,99;101,51;150,2;169,68;37,62;245,15;01:35:03;1,62;1,43;4,95;4,64;23,99;6,58;45;18;130;137;2;137;973,61;38,61;28,09;
LELLA ;6628;109;558;361;400;1799;9,91;17,82;150,81;98,79;136,91;39,72;183,24;01:01:00;2,07;1,49;5,44;6,04;27,15;8,42;40;22;105;122;5;122;597,67;42,74;29,18;
RAGATZU;8430;109;701;396;357;2017;9,65;14,14;111,73;110,01;125,85;36,27;234,33;01:17:12;1,49;1,3;4,7;4,23;23,92;8,32;34;18;106;87;2;87;844,68;38,44;31,41;
