;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1985;99;112;100;96;432;8,83;15,42;31,16;28,38;35,43;41,83;48,32;00:20:06;1,78;1,44;4,99;4,81;21,38;5,45;7,62;6,05;24,98;27,79;0,67;27,79;138,78;35,7;27,66;
BRIGNANI;1868;93;87;84;70;338;8,1;12,61;0;25;23,43;42,46;25,01;00:20:06;1,25;1,34;4,5;3,73;18,11;4,64;6;6;26;21;0;21;101,52;30,66;23,83;
DEMARCUS ;1751;87;133;128;120;472;8,32;23,35;32,17;47,92;54,02;51,35;71,25;00:20:06;3,08;2,74;7,31;6,84;26,98;7,61;15;13;35;35;1;35;179,73;45,51;27,71;
EMERSON;1668;83;29;57;54;230;7,1;10,49;14,95;12,46;20,08;48,59;18,19;00:20:06;1,2;0,75;3,42;3,23;13,8;1,71;4;0;14;21;0;21;74,05;24,23;27,59;
MANCINI;1826;91;70;92;89;344;8,08;14,98;26,34;25,24;34,8;43,94;35,56;00:20:06;1,91;1,38;5,03;4,89;18,84;3,82;7;3;21;29;1;29;88,2;32,49;29,69;
OCCHIONI;2200;118;139;115;118;552;10,68;16,66;49,11;30,65;40,81;32,39;61,9;00:18:36;1,85;1,39;5,21;5,37;25,07;6,33;5;6;20;30;1;30;191,52;41,18;28,45;
PALESI;2348;117;184;125;122;616;10,56;16,85;79,91;28,25;44,9;35,74;73,29;00:20:06;1,91;1,2;5,3;5,21;26,23;7,85;10;8;44;35;1;35;177,71;41,93;30,1;
PINNA S.;2170;108;173;105;102;520;9,68;15,81;47,14;25,94;36,94;38,23;62,4;00:20:06;1,7;1,2;4,86;4,72;23,97;7,99;9;5;22;27;1;27;183,19;38,5;28,1;
RAGATZU;1769;88;47;68;72;278;7,6;11,6;1,12;23,18;22,49;44,07;26,16;00:20:06;1,27;1,31;3,86;4,08;15,74;2,64;4;9;22;28;0;28;94,73;28,12;24,32;
TRAVAGLINI;2118;105;139;115;111;507;9,51;16,53;27,39;34,7;38,81;39;57,55;00:20:06;1,83;1,64;5,45;5,26;23,94;6,57;8;4;19;22;1;22;148,04;39,1;29,18;
