;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1168;58;151;87;67;253;5,51;23,26;18,43;32,59;23,41;0;33,95;00:20:28;1,98;2,79;7,52;5,69;21;12,48;6,8;6,47;26,87;22,73;1,53;22,73;84,52;35,59;0;
BIANCU;1754;82;206;126;94;380;7,82;22,77;1,34;48,26;27,96;0;32,07;00:21:19;1,59;2,75;7,2;5,36;21,68;11,77;9;8;44;37;0;37;142,41;37,49;0;
CETER;1366;58;309;114;86;357;5,69;26,06;57,63;50,48;29,72;0;71,45;00:23:25;2,18;3,69;8,31;6,32;26,13;22,63;5;9;36;25;5;25;151,92;43,42;0;
CUSUMANO;845;36;12;51;34;75;3,23;16,9;0;16,29;9,26;0;6,92;00:23:39;1,09;1,93;6,04;4;8,92;1,39;4;4;17;9;0;9;11,77;18,6;0;
IOTTI;844;34;15;45;36;84;3,1;16,23;0;13,73;11,59;0;5,17;00:24:29;1,37;1,63;5,31;4,26;10;1,81;2;1;7;8;0;8;14,15;19;0;
MARTINIELLO;1221;68;242;118;93;359;6,99;33,27;49,46;52,42;39,48;0;66,56;00:18:02;3,23;4,29;9,7;7,65;29,35;19,81;19;10;36;39;5;39;122,79;48,41;0;
MURONI;1504;66;81;112;86;302;6,31;24,29;0;43,19;30,63;0;21,53;00:22:55;2,04;2,87;7,45;5,72;20,11;5,4;8;11;39;37;0;37;74,36;36,02;0;
PENNINGTON;1862;88;245;103;97;434;8,24;20,67;32,94;31,3;33,14;0;34,35;00:21:06;1,78;1,68;5,53;5,23;23,3;13,18;8;4;34;29;2;29;149,01;36,58;0;
PINNA S.;1308;57;171;91;72;277;5,46;22,75;21,09;33,72;28,81;0;30,04;00:22:46;2,2;2,58;6,95;5,51;21,2;13,06;13;6;26;27;2;27;103,02;34,47;0;
PISANO;803;44;53;69;47;149;4,24;23,31;2,71;25,51;15,62;0;16,43;00:18:06;1,94;3,18;8,57;5,84;18,58;6,57;2;6;20;15;1;15;28,37;33,52;0;
PITZALIS;750;47;70;54;31;134;4,36;19,63;0;18,06;8,81;0;17,2;00:15:55;1,17;2,41;7,15;4,08;17,82;9,34;2;4;14;7;0;7;36,65;31,71;0;
RAGATZU;1088;52;215;85;75;266;5,01;25,7;32,5;32,65;26,37;0;49,29;00:21:06;2,42;3;7,84;6,87;24,48;19,76;9;5;22;29;2;29;93,5;40,46;0;
SENESI;1110;70;250;91;59;313;6,78;24,52;39,74;32,54;21,67;0;57,22;00:15:46;1,95;2,93;8,16;5,34;28,21;22,49;6;8;30;18;3;18;126,37;45,19;0;
TETTEH;1096;57;216;97;81;299;5,63;27,57;10,9;35,13;28,67;0;46;00:19:12;2,62;3,21;8,87;7,4;27,31;19,69;7;10;29;26;2;26;111,26;43,61;0;
VALLOCCHIA;912;58;177;75;63;242;5,67;25,39;28,09;29,26;22,41;0;49,87;00:15:37;2,46;3,21;8,25;6,89;26,5;19,37;5;9;28;23;1;23;91,82;43,4;0;
VERGARA;1060;45;10;79;51;121;4,18;19,83;0;26,32;16,96;0;5,13;00:23:31;1,6;2,48;7,49;4,85;11,4;0,98;3;2;21;12;0;12;10,35;21,95;0;
