;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;4407;97;603;239;208;1094;9,03;19,99;85,23;85,76;70;0;100,64;00:45:19;1,6;1,96;5,45;4,75;24,75;13,69;24;22;75,8;82,7;2,4;82,7;361,83;39,36;0;
BELLODI ;4553;100;424;231;200;996;9,27;19,23;48,58;84,36;64,02;0;78,5;00:45:19;1,41;1,85;5,07;4,38;21,88;9,31;21;23;80;87;2;87;265,37;36,06;0;
BIANCU;4501;99;716;229;210;1125;9,21;19,82;89,92;73,95;74,39;0;99,44;00:45:19;1,65;1,64;5,1;4,66;24,98;15,9;34;15;62;80;2;80;431,91;38,95;0;
CETER;3866;85;645;261;213;987;8,09;22,58;146,17;92,31;71,75;0;152,77;00:45:19;1,86;2,39;6,75;5,51;25,54;16,68;18;25;68;63;6;63;331,75;41,62;0;
COTALI;4398;97;681;247;200;1106;9;19,76;165,87;86,38;66,22;0;122,34;00:45:19;1,51;1,96;5,62;4,54;25,15;15,48;21;16;69;70;4;70;360,22;39,78;0;
IOTTI;4208;93;349;201;180;875;8,49;18,11;24,2;70,12;60,53;0;52,44;00:45:19;1,44;1,67;4,77;4,28;20,8;8,3;21;11;60;67;0;67;233,15;34,01;0;
MURONI;4872;108;587;277;248;1275;10,11;21,53;78,99;98,07;83,93;0;104,21;00:45:19;1,72;2,01;5,69;5,08;26,17;12,04;26;26;85;102;2;102;375,65;41,82;0;
PINNA S.;4399;97;557;233;213;1022;9,04;20,26;87,37;92,45;71,69;0;96,58;00:45:19;1,63;2,1;5,3;4,85;23,23;12,66;28;28;79;98;3;98;305,96;37,59;0;
PIREDDA;4940;109;858;228;209;1504;9,96;17,99;28,63;81,99;62,44;0;79,9;00:45:19;1,26;1,66;4,62;4,23;30,45;17,36;17;29;83;76;1;76;624,58;44,91;0;
RAGATZU;4356;96;580;236;186;1017;8,8;18,33;65,82;77,85;61;0;100,93;00:45:19;1,4;1,79;5,43;4,28;23,35;13,31;20;20;77;83;1;83;350,27;37,57;0;
VALLOCCHIA;3976;88;629;245;225;1032;8,31;22,32;116,77;100,08;83,99;0;119,25;00:45:19;2,11;2,52;6,15;5,65;25,95;15,83;34;27;95;101;3;101;339,4;41,26;0;
