;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;10304;106;754;536;536;2666;9,55;16,33;162,34;166,16;197,67;39,61;284,9;01:37:24;1,88;1,58;5,11;5,13;25,27;6,96;47,25;27,84;133,33;155,63;3,41;155,63;1031,44;40,45;29,14;
ALTARE ;10203;105;794;549;524;2591;9,41;16;193,67;169,79;165,9;40,08;304,94;01:37:22;1,63;1,66;5,38;5,13;25,4;7,78;44;39;149;165;4;165;1073,01;40,97;32,63;
CADILI;12456;128;1191;660;718;3891;11,69;18,08;316,92;212,19;290,81;31,88;375,19;01:37:24;2,33;1,7;5,3;5,76;31,24;9,56;78;37;168;225;6;225;1602,85;47,17;30,8;
EMERSON;9198;94;312;361;349;1595;8,19;12,09;75,83;103,62;121,01;41,06;145,94;01:37:24;1,32;1,13;3,92;3,8;17,34;3,39;32;18;103;117;2;117;545,42;29,48;28,85;
GIANDONATO;4780;49;146;189;215;958;4,3;13,26;0;54,68;72,8;69,52;54,29;01:37:24;1,52;1,14;3,95;4,49;20,05;3,06;14;11;45;60;0;60;333,31;32,75;23,94;
LA ROSA ;8452;108;700;422;399;2221;9,67;15,42;131,39;113,63;124,31;39,45;217,35;01:18:03;1,47;1,34;4,99;4,72;26,28;8,29;30;10;96;102;2;102;976,65;41,45;27,87;
LADINETTI;11378;117;813;638;575;2937;10,55;16,66;106,1;197,2;207,93;35,07;299,09;01:37:22;1,83;1,73;5,61;5,06;25,81;7,14;44;23;150;156;4;156;1157,2;42,06;28,99;
LELLA ;11160;115;788;556;597;2890;10,34;16,53;94,32;165,74;220,17;32,82;250,23;01:37:23;1,97;1,49;4,98;5,35;25,9;7,06;53;22;144;185;2;185;1117,85;40,93;27,15;
MARIGOSU;11803;121;1005;733;721;3355;11,3;20,49;289,92;260,75;301,43;31,56;490,76;01:37:24;2,55;2,21;6,21;6,11;28,42;8,51;68;48;175;204;7;204;1290,78;45,96;29,66;
PENNINGTON;9147;119;708;380;407;2472;10,49;13,84;146;96,29;123,31;33,55;196,22;01:16:48;1,35;1,05;4,15;4,45;27,02;7,74;22;16;86;105;2;105;940,17;41,27;29,15;
UDHO;8027;105;611;539;523;2082;9,83;21,3;167,79;183,87;225,45;39,78;336,91;01:16:38;2,81;2,29;6,72;6,52;25,93;7,61;58;37;134;140;3;140;632,57;43,53;32,35;
