;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;5085;106;351;329;332;1325;9,84;20,24;82,79;106,73;128,4;39,82;176,12;00:48:10;2,49;2,07;6,41;6,48;25,84;6,79;32;17;79,89;95,23;2,22;95,23;469,01;42,7;29,3;
ALTARE ;4641;96;349;300;293;1161;8,91;19,45;73,89;97,6;102,12;45,86;181,86;00:48:10;2,2;2,1;6,47;6,32;25,02;7,51;27;22;84;87;2;87;372,94;41,77;33,27;
ARBOLEDA;5114;106;429;414;434;1473;10,31;25,52;129,75;155,01;168,89;41,77;237,05;00:48:10;3,3;3,03;8,1;8,49;28,8;8,38;43;24;110;131;4;131;470,5;47,99;29,59;
CADILI;5386;112;508;406;415;1710;10,77;24,5;136,21;134,14;163,9;39,71;230,72;00:48:10;3,04;2,49;7,54;7,71;31,75;9,44;43;23;105;118;4;118;670,25;50,15;31,56;
EMERSON;4317;90;138;198;213;887;7,98;15,06;28,13;47,05;72,75;46,99;64,29;00:48:10;1,69;1,09;4,58;4,92;20,55;3,2;11;6;45;56;1;56;297,07;34,05;29,13;
GIANDONATO;4807;100;130;219;220;931;8,85;14,53;19,61;57,69;70,19;38,18;82,01;00:48:10;1,46;1,2;4,56;4,58;19,37;2,71;18;6;42;58;0;58;287,57;33,4;26,2;
LADINETTI;5397;112;174;347;341;1470;10,43;20,23;2,51;109,59;127,64;39,09;119,81;00:48:09;2,37;2,03;6,43;6,32;27,25;3,22;27;15;65;100;0;100;591,92;44,81;24,21;
LELLA ;5564;116;568;363;401;1614;10,87;21,61;118,85;112,4;176,04;34,26;211,56;00:48:10;3,16;2,02;6,53;7,21;29,01;10,2;50;10;84;126;3;126;550,33;46,22;26,98;
RAGATZU;5369;111;406;319;312;1263;10,22;18,52;90,21;101,36;120,57;32,68;194,01;00:48:10;2,25;1,89;5,94;5,8;23,52;7,56;28;22;82;90;2;90;454,33;39,65;30,63;
UDHO;5164;107;457;390;360;1412;10,19;22,78;145,97;145,67;153,48;39,84;263,74;00:48:09;2,97;2,82;7,55;6,96;27,34;8,84;41;25;102;91;4;91;525,99;46,23;32,11;
