;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;10714;106;1887;580;530;3040;9,86;20,77;242,99;205,03;181,76;0;297,72;01:41:30;1,7;1,92;5,44;4,96;28,11;17,39;57,72;41,4;158,68;187,75;5,94;187,75;1130,27;43,19;0;
BELLODI ;9443;97;853;497;418;2162;8,99;19,74;122,52;178,13;122,35;0;167,85;01:37:20;1,3;1,89;5,26;4,42;22,9;9,03;33;24;118;141;2;141;569,5;37,89;0;
BIANCU;10749;106;2275;596;597;3311;10;22,02;356,71;210,3;211,49;0;357,31;01:41:30;1,97;1,96;5,54;5,55;30,8;21,17;75;36;156;219;6;219;1243,07;45,94;0;
CETER;10104;104;2425;666;587;3042;9,92;23,44;484,82;247,34;219,3;0;491,72;01:37:20;2,17;2,45;6,59;5,81;30,11;24;61;55;189;180;13;180;1258,65;46,21;0;
GEMMI;9417;120;1913;432;452;3113;11,14;19,96;27,35;158,4;176,13;0;171,16;01:18:27;1,87;1,68;4,59;4,8;33,05;20,31;71;35;142;182;0;182;1514,03;47,44;0;
IOTTI;9487;98;973;568;473;2171;9,16;21,17;144,07;196,68;160,8;0;205,07;01:37:08;1,7;2,07;5,99;4,98;22,89;10,26;44;24;118;141;5;141;554,34;37,89;0;
OGUNSEYE;10078;104;1945;592;546;2937;9,8;22,24;329,1;214,88;180,62;0;352,96;01:37:20;1,79;2,13;5,88;5,42;29,14;19,3;47;42;156;174;7;174;959,53;44,66;0;
PERALTA;10147;129;1914;482;415;3232;11,81;18,32;48,18;153,7;121,89;0;185,8;01:18:42;1,2;1,51;4,75;4,09;31,86;18,87;39;41;132;143;2;143;1491,03;47,46;0;
PINNA S.;9709;100;1876;529;467;2776;9,35;20,29;266,72;195,33;157,01;0;287,7;01:36:41;1,62;2,01;5,45;4,81;28,6;19,32;52;45;168;196;8;196;992,21;43,65;0;
PISANO;9304;96;1132;458;409;2130;8,82;19,17;205,23;150,43;134,29;0;223,52;01:37:20;1,44;1,62;4,92;4,4;22,89;12,17;43;32;126;153;5;153;603,61;36,89;0;
VALLOCCHIA;10685;110;2153;548;540;3248;10,27;20,66;263,33;191,68;197,67;0;311,27;01:37:10;1,85;1,79;5,13;5,05;30,4;20,15;69;49;163;208;7;208;1270,77;45,43;0;
