;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;280;45;87;27;23;80;4,46;29,18;1,36;10,28;7,99;0;20,57;00:06:18;2,83;3,68;9,65;7,93;28,43;30,59;2,1;2,3;10,1;9,5;0;9,5;44,38;45,94;0;
BIANCU;262;42;79;28;26;81;4,47;38,87;0,67;14,28;9,46;0;20,07;00:06:18;3,61;5,44;10,66;9,83;31,03;30,05;2;1;9;11;0;11;44,64;49,97;0;
DEMARCUS ;240;38;98;29;27;88;4,05;37,01;5,5;11,06;10,43;0;28,88;00:06:18;4,34;4,6;12,09;11,1;36,63;40,6;1;3;10;8;0;8;36,22;56,1;0;
DORATIOTTO ;286;45;100;33;27;89;4,63;31,82;2,04;12,18;13,03;0;30,6;00:06:18;4,55;4,26;11,38;9,43;30,98;34,93;3;2;14;13;0;13;37,85;49,84;0;
LELLA ;287;46;92;29;30;78;4,62;30,96;2,04;11,71;8,79;0;24,07;00:06:18;3,06;4,08;10,04;10,38;27,13;31,99;3;4;10;13;0;13;43,21;44,76;0;
MARTINIELLO;322;51;90;24;18;83;4,94;24,79;0;9,39;5,12;0;11,72;00:06:18;1,59;2,91;7,47;5,54;25,88;27,94;3;3;7;8;0;8;63,59;41,5;0;
MURONI;203;32;26;11;3;33;2,81;12,79;0;5,89;0,77;0;5,7;00:06:18;0,38;2,9;5,18;1,38;16,11;12,97;0;3;5;1;0;1;24,06;31,01;0;
OGUNSEYE;316;50;102;34;23;82;4,99;28,34;0;13,39;5,37;0;22,26;00:06:18;1,7;4,23;10,9;7,23;26,06;32,09;2;3;12;13;0;13;50,99;45,09;0;
PARIGI;285;45;105;24;19;85;4,39;25,22;3,36;5,78;6,7;0;17,85;00:06:18;2,35;2,03;8,32;6,81;29,74;36,67;2;0;10;10;0;10;57,76;45,6;0;
PENNINGTON;301;48;83;28;28;93;4,81;30,14;0;7,35;10,25;0;17,92;00:06:18;3,41;2,44;9,36;9,22;30,81;27,47;1;3;10;10;0;10;45,12;48,18;0;
VALLOCCHIA;301;48;94;33;25;90;4,87;31,88;0;11,73;9,97;0;26,68;00:06:18;3,32;3,9;11,11;8,37;29,88;31,23;4;1;14;8;0;8;40,33;47,35;0;
