;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1588;103;204;97;86;401;9,77;22,69;26,59;34,98;29,21;0;40,08;00:15:26;1,84;2,2;6,11;5,42;25,13;12,78;9,1;7,4;26;30,4;0,7;30,4;124,14;40,74;0;
BELLODI ;1529;99;124;87;66;334;9,11;18,89;0;28,09;17,94;0;10,34;00:15:26;1,17;1,84;5,67;4,31;21,84;8,1;5;6;24;20;0;20;75,94;35,71;0;
BIANCU;1594;103;277;103;105;467;10,05;25,84;21,57;33,14;39,77;0;49,84;00:15:26;2,5;2,08;6,48;6,58;29,31;17,38;12;4;27;36;1;36;171,71;46,19;0;
CETER;1557;101;261;120;108;422;9,94;27,39;58,98;52,33;43,62;0;69,95;00:15:26;2,8;3,36;7,7;6,93;27,09;16,78;15;17;34;39;1;39;129,6;44,36;0;
COTALI;1586;103;165;85;62;349;9,47;19,18;33,61;31,26;19,17;0;32,32;00:15:26;1,21;1,97;5,34;3,91;21,99;10,38;7;5;23;24;1;24;93,77;36,43;0;
IOTTI;1487;96;114;75;62;281;8,91;19,53;23,59;28,52;20,71;0;20,25;00:15:26;1,39;1,92;5,03;4,19;18,9;7,68;4;4;17;22;0;22;59,45;32,39;0;
MURONI;1628;105;151;104;88;405;10,07;23,39;21,25;40,9;33,04;0;34,48;00:15:26;2,03;2,51;6,36;5,4;24,89;9,26;14;10;35;37;1;37;114,12;41,45;0;
OGUNSEYE;1486;96;162;92;85;335;9,34;25,28;15,43;38,15;26,93;0;49,44;00:15:26;1,81;2,57;6,2;5,72;22,5;10,87;10;8;21;30;0;30;94,99;39,07;0;
PINNA S.;1616;105;272;95;101;444;9,92;22,5;59,58;27,37;30,14;0;52,87;00:15:26;1,87;1,69;5,89;6,27;27,5;16,85;9;4;17;33;2;33;164,27;42,58;0;
RAGATZU;1852;120;280;116;97;554;11,45;23,29;7,75;43,71;32,48;0;42,65;00:15:26;1,75;2,36;6,27;5,23;29,92;15,11;8;11;31;35;0;35;216,39;46,89;0;
VALLOCCHIA;1549;100;238;96;88;424;9,44;21,62;24,13;26,32;28,3;0;38,65;00:15:26;1,83;1,7;6,21;5,66;27,38;15,36;7;5;31;28;1;28;121,13;42,31;0;
