;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1145;75;172;44;39;280;6,66;14,81;14,08;15,83;10,38;0;19,75;00:15:16;0,9;1,36;3,83;3,35;24,08;14,75;2,33;5;16,89;15,67;0,56;15,67;111,26;36,71;0;
CALAMAI;1175;77;129;35;31;261;6,73;13,13;0;14,34;8,95;0;7,22;00:15:16;0,76;1,22;3;2,61;22,18;10,96;2;3;12;12;0;12;113,23;34,22;0;
COTALI;1215;80;258;53;47;352;7,22;17,31;52,28;22,26;14,35;0;32,22;00:15:16;1,18;1,83;4,37;3,87;29,01;21,23;3;8;23;18;2;18;145,06;42,69;0;
IOTTI;983;64;73;35;30;148;5,6;12,45;20,01;9,77;8,45;0;17,88;00:15:16;0,86;0,99;3,53;3,02;15,08;7,38;2;1;11;11;1;11;27,65;25,35;0;
OGUNSEYE;1218;80;238;54;39;334;7,13;15,59;35,88;20,36;8,74;0;33,08;00:15:16;0,72;1,67;4,42;3,22;27,39;19,58;2;8;19;11;2;11;139,97;41,29;0;
PENNINGTON;1281;84;154;47;50;344;7,58;16,73;0;18;17,18;0;17,35;00:15:16;1,34;1,4;3,68;3,91;26,82;11,98;6;6;18;20;0;20;107,75;40,52;0;
PINNA S.;1087;71;143;36;42;228;6,3;14,5;17,17;14,22;9,93;0;18,51;00:15:16;0,91;1,31;3,32;3,88;20,99;13,19;1;4;14;18;0;18;97,92;32,97;0;
PISANO;946;62;81;33;23;167;5,35;11,58;0;8,96;6,15;0;2,58;00:15:16;0,65;0,95;3,44;2,48;17,66;8,59;0;0;16;11;0;11;81,26;27,85;0;
RAGATZU;1380;90;271;60;45;382;8,04;15,12;0;19,64;9,86;0;27,55;00:15:16;0,71;1,42;4,33;3,3;27,67;19,67;3;9;17;19;0;19;152,05;41,44;0;
VALLOCCHIA;1016;67;205;44;39;304;6,02;16,93;1,34;14,94;9,78;0;21,31;00:15:16;0,96;1,47;4,36;3,82;29,9;20,15;2;6;22;21;0;21;136,49;44,07;0;
