;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1317;88;159;65;62;332;8,16;19,36;14,67;23,09;22,14;0;25,2;00:15:00;1,58;1,68;4,78;4,47;23,96;11,46;7,49;5,62;19,24;24,33;0,31;24,33;109,01;37,98;0;
BIANCU;1401;93;235;77;81;417;8,9;23,15;8,85;31,72;29,95;0;30;00:15:00;2,14;2,26;5,51;5,77;29,73;16,75;12;11;30;37;0;37;145,88;46,64;0;
COCCO;600;50;61;7;1;65;4,01;4,09;0;0,38;0;0;2,79;00:12:04;0;0,06;1,24;0,12;10,88;10,21;0;0;2;0;0;0;45,98;16,81;0;
DALLA BERNARDINA ;1224;82;62;64;48;206;7,55;19,56;0;21,05;17,08;0;18,35;00:15:00;1,4;1,72;5,2;3,93;16,85;5,08;6;5;15;16;0;16;57,69;30,87;0;
GOZZI;1113;74;53;53;49;188;6,76;17,72;0;16,17;14,61;0;10,66;00:15:00;1,31;1,45;4,73;4,44;16,85;4,78;2;3;14;18;0;18;45,47;29,29;0;
LELLA ;1464;98;217;71;78;415;9,13;20,81;14,31;26;26,97;0;25,19;00:15:00;1,84;1,78;4,86;5,31;28,33;14,82;8;7;22;31;1;31;174,92;43,16;0;
MASTINO;1426;95;193;87;78;419;9,14;24,19;0,68;33,8;27,65;0;34,58;00:15:00;1,94;2,37;6,12;5,49;29,35;13,51;12;9;28;35;0;35;130,21;46,53;0;
MURONI;1661;111;247;80;91;588;10,47;22,12;4,18;26,03;37,06;0;25,69;00:15:00;2,23;1,57;4,81;5,49;35,4;14,86;16;3;21;36;0;36;215,2;50,87;0;
OGUNSEYE;1219;100;239;74;67;379;9,38;21,11;69,9;22,77;21,43;0;49,59;00:12:10;1,76;1,87;6,06;5,52;31,13;19,62;4;6;21;22;1;22;109,9;46,5;0;
PISANO;1167;78;30;52;38;182;7,05;17,08;12,99;19,97;12,45;0;18,86;00:15:00;1,07;1,71;4,44;3,28;15,57;2,6;3;4;15;14;0;14;13,61;28,05;0;
PITZALIS;1385;92;190;61;65;337;8,66;21,17;30,2;24,11;25,69;0;26,64;00:15:00;1,85;1,74;4,38;4,66;24,33;13,68;9;6;17;25;1;25;109,44;38,58;0;
