;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;5884;80;354;322;297;1471;7,22;16,06;53,8;92,22;90,43;55,81;135,92;01:13:13;1,53;1,56;5,46;5,03;24,8;5,9;22,8;15,13;97,67;85,67;1,07;85,67;514,32;40,62;27,33;
ARBOLEDA;6260;83;517;412;363;1690;7,61;18,88;169,14;143,92;119,04;55,18;232,08;01:15:38;1,9;2,3;6,58;5,79;27;8,25;30;33;139;113;4;113;538,56;44,48;30,21;
BOCCIA;6361;92;555;379;392;1849;8,47;18,49;141,34;103,62;122,77;49,87;191,48;01:08:54;1,93;1,63;5,96;6,15;29,06;8,72;38;12;122;110;5;110;637,97;45,74;30,64;
CHIERICO;6259;83;319;308;298;1525;7,4;14,95;24,09;89,28;85,17;54;140,1;01:15:17;1,36;1,43;4,91;4,77;24,36;5,1;19;12;98;92;0;92;529,01;39,53;26,38;
DEMARCUS ;6260;83;475;384;330;1785;7,52;17,49;55,1;117,97;98,63;56,9;158,7;01:15:40;1,58;1,88;6,14;5,27;28,51;7,59;24;26;127;91;1;91;733,11;45,47;26,98;
EMERSON;5597;75;282;295;275;1302;6,68;15,69;19,84;70,77;87,93;57,83;95,69;01:15:03;1,57;1,26;5,27;4,91;23,27;5,04;24;13;96;77;0;77;439,27;38,65;26,05;
GIANDONATO;4617;67;59;202;184;815;5,84;12,49;0;56,48;48,86;59,2;48,92;01:08:50;1,06;1,22;4,38;3,98;17,66;1,27;15;8;60;61;0;61;236,8;30,63;22,82;
LA ROSA ;6024;80;283;254;223;1424;6,93;12,5;20,69;65,29;50,89;54,9;79,08;01:15:40;0,84;1,08;4,21;3,7;23,64;4,69;13;12;82;63;0;63;541,86;38,17;26,88;
LELLA ;6351;84;494;384;321;1550;7,64;17,29;86,18;114,05;106,69;54,34;196,68;01:15:24;1,68;1,8;6,05;5,06;24,4;7,78;32;21;126;101;1;101;603,96;41,11;29,41;
MANCINI;6036;87;530;328;327;1779;7,88;16,57;73,84;80,89;105,3;53,49;156,39;01:09:05;1,74;1,34;5,44;5,42;29,47;8,78;23;14;88;95;2;95;678,61;45,57;28,21;
OCCHIONI;6124;82;452;300;302;1638;7,25;14,78;93,24;87,9;81,91;56,31;127,03;01:15:02;1,34;1,44;4,9;4,94;26,74;7,38;18;9;95;84;1;84;499,81;42,38;27,92;
PALESI;5864;85;264;266;250;1499;7,52;14,21;37,63;60,93;88,12;53,98;72,48;01:08:54;1,5;1,04;4,54;4,26;25,56;4,49;25;7;81;102;1;102;485,6;40,35;27,13;
PINNA S.;6066;81;376;441;402;1543;7,5;20,24;39,06;140,66;135,62;55,27;203,03;01:15:18;2,24;2,32;7,27;6,63;25,44;6,2;28;19;94;90;1;90;503,03;43,47;27,57;
RAGATZU;5220;70;278;307;269;1198;6,28;16,69;22,08;85,24;64,54;62,1;126,39;01:15:05;1,24;1,63;5,87;5,16;22,96;5,33;15;22;94;82;0;82;496,96;38,86;26,9;
TRAVAGLINI;5780;83;175;260;211;1272;7,29;12,9;14,97;73,81;59,08;53,8;87,14;01:09:18;1,02;1,28;4,5;3,65;22,01;3,02;15;10;75;50;0;50;386,08;36,86;27,08;
UDHO;5441;72;251;309;309;1194;6,57;17,26;9,85;92,46;101,82;59,27;123,67;01:15:12;1,87;1,7;5,68;5,68;21,94;4,61;23;9;88;74;0;74;404,14;37,69;25,78;
