;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;4868;98;667;248;225;1236;9,08;19,81;54,4;88,92;79,21;0;107,71;00:49:45;1,61;1,83;5,11;4,62;25,09;13,43;23,11;17,78;66;71,11;1,22;71,11;439,11;39,41;0;
IOTTI;4487;90;357;261;234;1028;8,44;20,88;25,53;87,95;66,36;0;77,72;00:49:45;1,48;1,96;5,82;5,21;22,91;7,95;18;12;55;69;0;69;246,44;37,62;0;
LA ROSA ;4590;92;372;230;182;1038;8,44;18,14;35,92;85,7;54,73;0;67;00:49:45;1,19;1,87;5,01;3,97;22,62;8,11;14;12;61;47;1;47;239,68;36,56;0;
LELLA ;5045;101;722;263;239;1214;9,46;20,54;47,38;104,03;91,47;0;122,96;00:49:45;1,81;2,06;5,22;4,74;24,07;14,31;27;30;76;85;1;85;466,39;38,19;0;
MASTINO;4986;100;941;271;292;1519;9,53;22,87;159,67;97,72;129,92;0;185,5;00:49:45;2,61;1,96;5,43;5,86;30,46;18,88;35;23;83;95;4;95;512,73;45,99;0;
MURONI;5407;109;889;267;237;1592;10,05;19,48;23,07;96,53;86,32;0;98,96;00:49:45;1,6;1,79;4,95;4,39;29,45;16,44;31;14;69;84;1;84;646,22;44,53;0;
OGUNSEYE;4132;83;558;203;174;871;7,6;18,29;11,79;73,54;50,97;0;85,25;00:49:45;1,23;1,78;4,92;4,21;21,09;13,5;14;13;58;56;0;56;381,55;34,17;0;
PARIGI;4691;94;559;227;170;1024;8,59;17,66;22,88;72,32;56,21;0;86,19;00:49:45;1,2;1,54;4,83;3,63;21,83;11,91;18;14;55;49;0;49;417,99;35,23;0;
PENNINGTON;5754;116;1099;271;270;1786;10,71;19,69;98,79;86,72;93,09;0;139,3;00:49:45;1,62;1,51;4,7;4,7;31,04;19,1;26;23;72;83;2;83;713,45;45,76;0;
PITZALIS;4718;95;505;239;230;1054;8,86;20,76;64,56;95,77;83,81;0;106,53;00:49:45;1,78;2,03;5,06;4,88;22,35;10,69;25;19;65;72;2;72;327,53;36,63;0;
