;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1637;109;136;90;91;423;9,93;17,54;20,34;26,37;35,75;36,45;50;00:15:01;2,15;1,59;5,45;5,5;25,59;8,18;9,33;4,11;21,67;23,89;0,44;23,89;173,33;41,16;26;
BIANCU;1689;113;91;105;92;451;10,52;20,76;17,05;30,67;37,24;37,04;52,86;00:15:00;2,2;1,82;6,19;5,43;26,69;5,42;13;8;24;23;0;23;182,22;44,19;25,35;
BRIGNANI;1602;107;91;83;71;383;9,54;15,57;0;22,58;26,26;36,47;48,76;00:15:01;1,64;1,41;5,15;4,41;23,91;5,7;9;5;16;15;0;15;159,65;39,27;23,56;
CHIERICO;1710;114;256;85;98;484;10,4;18,06;47,29;24,12;42,41;33,61;61,12;00:15:01;2,48;1,41;4,99;5,74;28,3;15;8;3;21;22;1;22;166,64;42,86;30,45;
EMERSON;1421;95;58;48;57;253;8,16;11,47;0;11,82;19,62;41,94;15,67;00:15:01;1,38;0,83;3,41;4,04;17,83;4,11;7;0;10;16;0;16;106,55;29,52;22,32;
LELLA ;1824;121;212;119;123;585;11,52;22,51;33,16;45,5;56,6;32,12;81,7;00:15:01;3,1;2,49;6,51;6,75;32,05;11,65;16;8;28;38;1;38;296,14;49,49;26,99;
MANCINI;1662;111;158;113;109;513;10,33;20,67;6,06;30,37;46,24;37,86;47,43;00:15:01;2,78;1,83;6,8;6,56;30,89;9,51;12;3;31;33;0;33;226,02;48,08;24,98;
PISANO;1562;104;103;73;80;339;9,21;14,44;21,08;17,07;23,65;37,94;35,2;00:15:01;1,51;1,09;4,66;5,12;21,72;6,61;6;4;19;23;0;23;104,15;35,84;25,32;
RAGATZU;1630;109;131;90;85;400;9,67;15,16;30,92;23,6;29,66;36,49;52,82;00:15:01;1,82;1,45;5,5;5,21;24,54;8,02;4;2;23;16;1;16;190,35;40,25;27,79;
TRAVAGLINI;1628;108;125;95;101;397;10;19,19;27,53;31,62;40,06;34,6;54,4;00:15:01;2,46;1,94;5,86;6,22;24,41;7,65;9;4;23;29;1;29;128,25;40,95;27,2;
