;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;4667;103;275;215;203;989;9,14;14,08;74,13;63,95;71,39;37,98;108,85;00:45:08;1,52;1,35;4,58;4,33;21,06;5,89;18,3;10,4;59,11;58,21;1,8;58,21;332;34,82;29,25;
ARBOLEDA;4795;106;293;260;264;1112;9,7;18;122,94;81,21;102,09;38,24;152,15;00:45:08;2,13;1,69;5,42;5,51;23,2;6,12;31;23;74;86;3;86;325,1;38,61;33,31;
BIANCU;4904;109;301;189;208;1098;9,49;12,83;63,88;46,51;59,27;36,09;97,15;00:45:08;1,21;0,95;3,85;4,25;22,4;6,14;13;8;44;58;2;58;409,6;35,77;28,69;
BRIGNANI;4741;105;219;197;157;1019;9,14;12,49;33,07;63,6;55,91;36,22;76,11;00:45:08;1,18;1,34;4,16;3,32;21,49;4,61;17;14;67;53;1;53;439,79;34,9;27,14;
EMERSON;4386;97;160;145;123;724;8,23;9,37;38,99;33,8;33,97;41,42;58,05;00:45:08;0,77;0,77;3,3;2,81;16,51;3,64;6;1;40;23;1;23;218,98;27,57;29,48;
GIANDONATO;4266;95;182;141;132;636;8,07;10,33;42,48;44,36;47,22;37,99;74,38;00:45:08;1,11;1,04;3,31;3,1;14,92;4,28;12;8;42;40;1;40;194,42;25,74;28,72;
LELLA ;5188;115;295;280;259;1236;10,35;16,37;28,9;102,16;96,65;32,31;127,32;00:45:08;1,86;1,97;5,39;5;23,82;5,69;19;15;76;69;0;69;436,13;39,77;27,59;
PALESI;4535;100;466;201;202;1114;8,89;14,3;181,03;49,82;75,6;43,62;134,61;00:45:08;1,67;1,1;4,42;4,45;24,57;10,28;22;8;48;67;4;67;382,75;37,87;30,66;
RAGATZU;4513;100;283;201;202;890;8,81;13,8;79,96;55,67;76,74;37,17;106,66;00:45:08;1,7;1,23;4,46;4,48;19,73;6,27;22;8;53;61;3;61;273,6;32,97;28,43;
TRAVAGLINI;4908;109;291;306;247;1147;9,9;17,64;61,79;99,98;79,03;36,4;119,05;00:45:08;1,61;2,04;6,23;5,03;23,37;5,93;21;11;85;59;2;59;350,13;39,89;29,48;
UDHO;4423;98;264;234;236;910;8,79;15,68;88,1;62,25;87,34;40,36;142,83;00:45:03;1,97;1,41;5,3;5,34;20,57;5,96;20;8;62;66;1;66;288,9;35,1;28,94;
