;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1540;103;245;82;74;404;9,58;20,52;20,13;28,27;26,35;0;38,17;00:15:00;1,7;1,82;5,3;4,74;25,81;15,41;8,1;5,3;19;24,2;0,4;24,2;157,85;40,23;0;
BIANCU;1724;115;329;98;87;478;10,76;21,06;37,39;38,47;29,44;0;61,42;00:15:00;1,71;2,23;5,66;5,05;27,7;19,06;11;4;18;28;0;28;187,3;43,24;0;
DALLA BERNARDINA ;1265;84;123;74;62;254;7,9;21,08;6,98;26,95;23,21;0;29,17;00:15:00;1,84;2,13;5,83;4,9;20,04;9,76;7;5;18;19;0;19;72,47;34,22;0;
DORATIOTTO ;1786;119;302;106;89;522;11,3;22,66;16,39;37,96;30,72;0;56,13;00:15:00;1,72;2,13;5,93;4,96;29,2;16,89;10;8;25;27;1;27;215,52;46,17;0;
LA ROSA ;1372;91;137;61;49;303;8,39;18,59;23,94;18,94;13,23;0;20,33;00:15:00;0,96;1,38;4,45;3,57;22,12;10,01;6;3;14;17;1;17;102,86;35,05;0;
LELLA ;1711;114;352;109;116;521;11,06;25,31;36,76;40,66;46,06;0;70,68;00:15:00;2,69;2,38;6,38;6,76;30,44;20,6;11;11;25;43;1;43;176,51;46,83;0;
MURONI;1698;113;339;81;72;526;10,42;19,01;11,65;26,8;26,08;0;21,69;00:15:00;1,54;1,58;4,78;4,24;30,97;19,96;10;5;28;29;0;29;251,39;45,21;0;
OGUNSEYE;1375;92;160;80;67;294;8,6;21,2;16,45;26,34;25,6;0;33,3;00:15:00;1,86;1,92;5,84;4,87;21,39;11,62;8;5;14;23;1;23;107,39;34,91;0;
PARIGI;1681;112;343;92;82;482;10,45;20,48;42,03;28,23;26,06;0;55,59;00:15:00;1,55;1,68;5,47;4,9;28,67;20,39;7;6;18;20;0;20;188,96;44,07;0;
PISANO;1345;90;100;64;59;279;8,21;18,37;7,71;20,08;22,78;0;13,24;00:15:00;1,69;1,49;4,74;4,35;20,74;7,42;6;3;14;22;0;22;82,98;33,14;0;
PITZALIS;1439;96;264;57;55;387;8,71;17,44;2,01;18,3;20,34;0;20,15;00:15:00;1,41;1,27;3,95;3,81;26,86;18,37;5;3;16;14;0;14;193,13;39,41;0;
