;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;10133;105;757;489;479;2380;9,35;15,15;174,58;137,79;177,49;38,74;272,68;01:36:39;1,74;1,36;4,82;4,71;23,31;7,42;44,56;25,03;128,18;135,33;4,13;135,33;887,4;37,72;29,03;
ALTARE ;5944;102;604;332;336;1502;9,24;17,65;226,35;90,67;124,39;42;231,79;00:58:33;2,09;1,53;5,58;5,65;25,28;10,17;27;23;89;83;4;83;417,45;40,81;30,72;
CADILI;10178;105;685;525;504;2419;9,46;16,05;112,7;153,74;191,25;39,78;250,32;01:36:39;1,88;1,51;5,16;4,95;23,77;6,73;55;24;145;157;3;157;897,19;38,91;30,35;
COCCO;9192;95;661;412;402;1911;8,38;13,86;92,03;118,09;146,58;42,19;201,28;01:36:39;1,59;1,28;4,48;4,37;20,79;7,19;31;17;109;117;0;117;752,98;34,34;27,3;
EMERSON;5219;96;238;203;191;954;8,33;11,99;67,32;55,08;68,98;39,45;83,16;00:54:19;1,32;1,06;3,89;3,66;18,28;4,55;18;8;53;62;3;62;337,37;30,19;29,13;
GIANDONATO;4649;100;97;188;183;726;8,68;12,16;9,32;54,9;58,87;36,61;74,01;00:46:28;1,27;1,18;4,05;3,94;15,61;2,09;12;11;53;54;0;54;248,09;27,91;26,11;
LA ROSA ;9923;103;727;415;407;2304;8,98;12,96;127,6;95,61;128,04;40,26;208,15;01:36:39;1,29;0,96;4,18;4,1;23,22;7,32;24;18;97;98;4;98;942,13;36,87;29,3;
LADINETTI;10631;110;686;496;462;2587;9,8;14,63;136,27;139,54;165,82;37,26;262,18;01:36:13;1,56;1,31;4,66;4,34;24,34;6,45;37;19;118;141;3;141;1004,36;39,11;28,29;
LELLA ;3439;128;263;171;181;1034;11,53;16,81;77,6;43,56;72,74;28,81;90,32;00:26:57;2,12;1,27;4,97;5,25;30,07;7,66;28;8;49;51;2;51;488,33;45,2;30,43;
PENNINGTON;6937;116;593;318;326;1834;10,34;14,75;161,74;86,86;103,03;33,83;161,25;00:59:34;1,49;1,25;4,58;4,71;26,45;8,55;36;20;97;95;5;95;664,44;41,04;28,13;
UDHO;7564;107;949;499;493;2035;10,05;21,44;258,47;163,8;230,81;38,59;420,21;01:10:42;3,05;2,17;6,6;6,52;26,91;12,54;56;34;122;126;6;126;700,04;44;30,53;
