;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;10172;105;676;471;469;2352;9,3;14,47;159,15;137,39;173,33;38,87;251,08;01:37:04;1,68;1,33;4,58;4,57;22,88;6,53;44,1;23,11;119,56;135,95;3,3;135,95;842,72;36,91;29,26;
ALTARE ;9221;95;444;424;408;2058;8,38;13,98;187,13;111,89;149,29;45,47;188,38;01:37:04;1,62;1,21;4,6;4,43;22,31;4,82;44;15;124;135;5;135;670,87;36,1;31,73;
BIANCU;8701;110;421;356;366;2031;9,69;13,33;66,96;92,71;127,96;35,67;147,69;01:18:48;1,47;1,07;4,09;4,2;23,34;4,84;25;10;75;94;1;94;795,83;37,17;30,61;
CADILI;10482;108;753;652;625;2671;9,98;19,4;139,28;221;234,36;39,68;355,44;01:37:04;2,24;2,11;6,22;5,96;25,48;7,18;62;36;167;182;3;182;955,78;42,58;28,72;
EMERSON;4903;95;201;167;158;838;8,14;10,22;38,53;32,8;52,08;40,75;68,48;00:51:23;1,06;0,67;3,4;3,23;17,09;4,1;12;5;35;34;0;34;252,35;27,87;26,52;
GIANDONATO;9199;95;297;286;293;1559;8,06;9,87;35,22;73,4;94,29;39,61;82,29;01:37:04;1,02;0,8;3,11;3,19;16,95;3,23;23;6;71;86;0;86;515,18;27,71;26,32;
LADINETTI;8985;113;653;475;436;2257;10,15;15,74;142,12;126,47;154,96;35,88;221,69;01:19:18;1,72;1,41;5,29;4,85;25,12;7,27;37;15;109;124;3;124;771,71;40,25;28,85;
PENNINGTON;11193;115;987;463;496;3039;10,14;13,6;237,45;134,95;161,26;36,05;237,6;01:37:04;1,44;1,21;4,14;4,44;27,15;8,82;44;27;135;152;5;152;1210,3;41,33;30,55;
PISANO;8141;96;588;328;344;1654;8,35;12,67;226,21;89,1;127,18;43,3;226,55;01:25:00;1,56;1,09;4,03;4,22;20,32;7,22;37;18;77;110;7;110;568,12;33,04;30,03;
RAGATZU;10377;107;924;512;526;2402;9,6;16,01;194,06;161,83;221,83;35,98;368,67;01:37:02;2,14;1,56;4,94;5,07;23,15;8,9;54;36;131;152;3;152;804,41;37,88;28,64;
UDHO;5061;117;464;329;327;1437;10,99;21,7;82,78;121,07;146,77;33,8;232,58;00:43:23;2,9;2,39;6,49;6,46;28,39;9,17;36;28;90;84;1;84;602,38;46,3;30,64;
