;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;4597;59;550;274;239;978;5,48;21,44;35,19;100,4;83,77;0;102,47;01:20:13;1,81;2,2;6,01;5,2;20,94;11,58;25,39;22,22;82,89;84,89;2,56;84,89;380,35;35,22;0;
ARRAS;4495;55;740;333;270;1090;5,37;25,75;58,3;117,1;110,42;0;191,78;01:21:27;2,46;2,61;7,41;6;24,26;16,47;34;26;93;95;5;95;404,08;40,63;0;
BIANCU;4457;54;597;266;257;974;5,14;21,93;48,02;85,63;83,84;0;112;01:21:49;1,88;1,92;5,96;5,76;21,84;13,4;28;15;71;92;6;92;336,47;35,64;0;
COTALI;4373;53;446;249;196;756;4,95;19,85;113,37;95,9;61,75;0;104,42;01:22:00;1,41;2,19;5,7;4,48;17,3;10,19;20;23;78;58;4;58;203,31;30,7;0;
DAMETTO;4567;56;125;247;200;569;5,09;18,17;0,67;85,91;67,11;0;41,89;01:22:00;1,47;1,88;5,4;4,38;12,45;2,74;22;14;87;78;0;78;103,74;24,21;0;
FEOLA;6475;79;954;416;405;1531;7,58;24,05;119,15;139,07;151,38;0;213,34;01:22:00;2,34;2,15;6,42;6,25;23,65;14,74;51;22;108;134;6;134;479,09;38,62;0;
LEVERBE;3673;45;173;211;174;550;4,15;20,21;0,67;82,59;53,14;0;48,95;01:22:16;1,45;2,25;5,73;4,75;14,98;4,7;19;22;72;60;0;60;136,36;27,86;0;
MANCA NICOLA;3821;46;330;191;165;675;4,25;18,11;52,15;65,85;54,28;0;61,2;01:22:16;1,42;1,72;5,01;4,33;17,66;8,64;12;16;67;70;3;70;193,47;29,84;0;
MURGIA;4499;55;559;329;295;1002;5,32;25,76;17,97;117,57;118,41;0;119,38;01:22:16;2,63;2,61;7,32;6,57;22,27;12,43;42;24;93;122;2;122;392,61;37,99;0;
MURONI;5659;69;107;321;234;751;6,37;19,59;0;124,3;95,05;0;52,7;01:22:16;1,68;2,2;5,66;4,14;13,27;1,9;34;19;115;115;0;115;89,72;26,37;0;
OGUNSEYE;4754;58;515;295;252;942;5,47;22,26;14,43;114,43;84,81;0;107,09;01:22:16;1,78;2,41;6,21;5,31;19,82;10,84;18;31;86;79;2;79;390,81;34,71;0;
OLIVEIRA;3866;47;140;269;224;665;4,49;23,38;0;101,7;73,24;0;44,27;01:22:16;1,89;2,63;6,96;5,8;17,21;3,62;16;15;74;87;0;87;123,21;31,89;0;
PENNINGTON;5525;67;693;261;296;1334;6,25;20,31;21,55;91,37;88,35;0;99,18;01:22:16;1,6;1,65;4,72;5,36;24,15;12,54;17;20;84;77;1;77;522,24;38,59;0;
PINNA S.;4048;49;393;251;202;785;4,62;21,24;61,53;89,7;65,9;0;100,21;01:22:16;1,63;2,22;6,2;4,99;19,4;9,71;18;25;78;79;5;79;222,88;33,84;0;
PIREDDA;5199;109;2208;157;147;2411;9,56;13,16;0;55,7;52,95;0;57,87;00:47:38;1,02;1,07;3,02;2,83;46,38;42,47;16;20;49;45;0;45;2074,89;58,94;0;
PISANO;4285;52;381;249;196;777;4,86;20,41;6,11;102,43;68,2;0;95,53;01:22:07;1,59;2,39;5,82;4,58;18,14;8,89;22;24;78;65;1;65;285,58;32,12;0;
RAGATZU;4715;57;653;331;288;1040;5,53;24,66;58,47;131,54;95,08;0;155,05;01:22:16;2,02;2,79;7,01;6,11;22,06;13,84;37;39;98;99;6;99;350,17;38,28;0;
SENESI;3969;48;370;266;216;751;4,57;22,45;43,8;98,06;79,82;0;126,46;01:22:16;2,01;2,47;6,69;5,44;18,92;9,32;22;25;75;78;4;78;205,54;34,2;0;
VISPO;4358;53;522;299;281;1009;5,11;24,58;17,21;108,34;104,07;0;113,19;01:22:16;2,39;2,49;6,86;6,45;23,15;11,97;29;20;86;95;1;95;332,12;39,45;0;
