;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;4850;107;729;253;229;1260;9,95;20,08;69,82;92,59;73,49;0;119,85;00:45:17;1,51;1,92;5,25;4,72;25,69;14,83;22,33;19,53;71,59;79,81;1,8;79,81;475,69;40,64;0;
BELLODI ;4417;98;397;210;179;901;8,95;18,44;16,9;78,87;53,42;0;59,69;00:45:13;1,21;1,79;4,75;4,04;20,4;8,99;20;13;49;64;0;64;282,07;33,97;0;
BIANCU;5399;119;819;272;255;1576;11,16;20,74;77,43;109,39;71,88;0;95,57;00:45:13;1,33;2,03;5,04;4,71;29,19;15,17;22;25;84;93;2;93;553,95;45,22;0;
CETER;4453;98;779;293;241;1164;9,31;22,16;137,24;110,61;81,88;0;190,91;00:45:13;1,84;2,48;6,58;5,41;26,13;17,5;21;26;93;75;4;75;430,39;42,38;0;
COTALI;4588;101;493;207;191;1057;9,32;18,63;52,77;78,22;61,97;0;86,54;00:45:13;1,35;1,7;4,51;4,17;23,03;10,74;17;19;52;74;1;74;331,32;36,82;0;
IOTTI;4280;95;399;240;186;822;8,76;19,57;43,95;81,53;56,62;0;81,64;00:45:13;1,32;1,9;5,62;4,34;19,21;9,32;18;8;58;61;1;61;250,22;32,99;0;
PENNINGTON;5555;123;959;230;245;1610;11,3;18,85;26,11;90,45;82,71;0;105,38;00:45:13;1,49;1,63;4,14;4,41;28,98;17,27;27;24;66;68;0;68;729,15;43,66;0;
PINNA S.;4521;100;680;247;223;1094;9,35;20,85;80,75;93,87;66,56;0;112,51;00:45:13;1,47;2,08;5,46;4,93;24,21;15,05;23;17;66;72;2;72;450,54;39,1;0;
RAGATZU;4938;109;874;271;233;1392;10,06;19,19;96,27;87,01;61,21;0;133,42;00:45:17;1,24;1,76;5,49;4,71;28,2;17,69;15;20;78;92;4;92;539,87;43,59;0;
SENESI;5620;124;1010;282;275;1639;11,51;19,88;95,3;94,35;97,54;0;176,73;00:45:17;1,74;1,68;5,01;4,89;29,16;17,97;21;20;85;105;3;105;645,63;44,48;0;
VALLOCCHIA;4667;103;868;277;260;1324;9,79;22,51;70,6;100,39;100,1;0;154,57;00:45:13;2,14;2,15;5,93;5,57;28,37;18,6;39;23;84;93;1;93;537,5;44,23;0;
