;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;5255;110;369;282;293;1328;9,96;17,18;73,48;92,37;112,1;36,77;154,52;00:47:57;2,1;1,73;5,3;5,52;24,95;6,85;28,01;16,18;76,99;84,24;1,45;84,24;475,53;40,49;27,48;
ALTARE ;5255;111;398;267;281;1419;10;16,52;91,41;82,22;98,27;38,22;155,46;00:47:22;1,87;1,56;5,08;5,35;27,01;7,57;32;16;76;92;1;92;469,59;42,71;26,83;
CADILI;5894;123;612;336;344;1843;11,27;18,5;92,59;109,2;136,49;34,14;189,99;00:47:57;2,32;1,85;5,7;5,84;31,26;10,38;38;15;96;105;3;105;749,71;47,85;27,53;
EMERSON;4661;97;76;173;178;717;8,37;11,34;2,97;46,12;62,13;36,31;51,84;00:47:57;1,33;0,99;3,71;3,82;15,39;1,63;16;8;53;55;0;55;174,22;26,96;24,74;
GAGLIANO;5300;111;533;312;303;1474;10,09;17,96;97,81;100,86;122,46;38,07;205,88;00:47:56;2,31;1,9;5,88;5,71;27,81;10,06;31;17;83;88;2;88;581,4;44,74;29,42;
GIANDONATO;4613;96;187;162;206;845;8,39;12,66;21,93;56,34;70,54;39,14;61,35;00:47:57;1,53;1,22;3,51;4,46;18,31;4,05;13;8;44;69;0;69;284,12;30,67;25,93;
LA ROSA ;5280;110;222;247;256;1264;9,75;14,37;22,6;61,63;83,6;35,31;102,08;00:47:57;1,58;1,17;4,67;4,85;23,93;4,21;24;15;58;71;0;71;551,34;38,46;27,46;
LADINETTI;5307;111;317;303;306;1371;10,16;18,54;92,23;107,16;112,09;38,79;162,71;00:47:55;2,11;2,02;5,72;5,76;25,84;5,98;27;20;86;80;3;80;477,37;42,58;29,55;
LELLA ;5415;113;385;295;293;1352;10,29;17,74;87,24;98,61;121,5;34,44;158,87;00:47:57;2,24;1,82;5,44;5,41;24,97;7,12;30;14;93;90;1;90;412,41;40,86;27,26;
MARIGOSU;5372;115;579;432;461;1620;11,31;27,25;149,76;165,69;197,55;36,5;296,62;00:46:46;3,68;3,08;8,03;8,57;30,15;10,79;40;32;101;105;3;105;561,64;49,81;28,57;
