;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1384;92;186;58;55;302;7,98;12,25;16,94;15,66;18,85;46,74;29,92;00:15:05;1,35;1,11;4,12;3,93;21,6;13,25;4,51;2,8;13,52;14,62;0,4;14,62;106,9;34,77;0;
ALTARE ;1281;85;148;63;61;269;7,61;15,76;2,93;21,75;24,78;50,67;27,36;00:15:05;1,93;1,7;4,96;4,79;21,04;11,56;6;6;14;19;0;19;83,97;35,26;0;
COCCO;1133;75;177;36;47;262;6,49;11,54;20,26;6,77;15,73;55,75;23,27;00:15:05;1,39;0,6;3,22;4,13;23,15;15,66;3;0;7;11;0;11;95,14;35,61;0;
DALLA BERNARDINA ;1414;94;171;47;49;287;8,1;11,63;0;15,26;18,43;45,38;16,5;00:15:05;1,3;1,08;3,33;3,5;20,32;12,13;8;4;9;12;0;12;107,87;32,57;0;
GIANDONATO;1339;89;95;46;42;212;7,45;7,78;0;18,04;13,21;44,67;14,69;00:14:59;0,99;1,35;3,41;3,11;15,85;7,1;3;3;9;12;0;12;66,78;28,24;0;
GOZZI;1187;79;126;33;35;219;6,69;9,81;33,26;7,72;13,99;54,71;17,67;00:15:05;1,18;0,65;2,8;2,94;18,47;10,63;1;0;8;8;1;8;67,62;28,54;0;
LELLA ;1667;111;293;87;87;449;9,9;15,72;43,8;21,14;33,47;37,71;59,29;00:15:05;2,01;1,27;5,2;5,24;26,93;17,55;8;1;19;21;2;21;175,18;42,03;0;
MASTINO;1407;93;265;84;68;397;8,44;17,01;25,39;24,18;25,95;49,33;46,93;00:15:05;1,85;1,72;6;4,82;28,23;18,81;5;4;24;15;0;15;95,36;44,47;0;
OGUNSEYE;1451;96;179;63;55;282;8,27;11,08;27,97;11,94;11,36;43,01;38,24;00:15:05;0,78;0,82;4,37;3,81;19,46;12,32;1;2;13;17;1;17;94,13;32,61;0;
PENNINGTON;1649;109;283;77;61;413;9,62;13,78;1,53;23,06;19,69;36,89;33,76;00:15:05;1,19;1,4;4,67;3,69;25,07;17,16;8;6;25;20;0;20;186,82;40;0;
PISANO;1296;87;123;42;42;226;7,25;8,3;14,08;6,53;11,61;49,26;21,06;00:14:59;0,9;0,5;3,25;3,22;17,45;9,51;2;2;7;11;0;11;94,69;28,27;0;
